Mechanisms	NNS	mechanism O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Our	PRP$	our O TermTag
study	NN	study O TermTag
population	NN	population O TermTag
consisted	VBD	consist O TermTag
of	IN	of O TermTag
25	CD	25 O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
CWP	NN	CWP O TermTag
(	(	( ( NUPOS
16	CD	16 O TermTag
simple	JJ	simple O TermTag
pneumoconiosis	NN	pneumoconiosis O TermTag
,	,	, , NUPOS
SP	NN	sp O TermTag
,	,	, , NUPOS
9	CD	9 crd NUPOS
progressive	JJ	progressive O TermTag
massive	JJ	massive O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
PMF	NN	PMF O TermTag
,	,	, , NUPOS
9	CD	9 crd NUPOS
control	NN	control O TermTag
subjects	NNS	subject O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
6	CD	6 crd NUPOS
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
fibrotic	JJ	fibrotic O TermTag
potency	NN	potency O TermTag
of	IN	of O TermTag
AM	NNP	am O TermTag
supernatants	NNS	supernatant O TermTag
was	VBD	be O TermTag
also	RB	also O TermTag
tested	VBN	test O TermTag
for	IN	for O TermTag
their	PRP$	their O TermTag
ability	NN	ability O TermTag
to	TO	to O TermTag
promote	VB	promote O TermTag
the	DT	the O TermTag
growth	NN	growth O TermTag
of	IN	of O TermTag
a	DT	a dt NUPOS
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblast	NN	fibroblast O TermTag
cell	NN	cell O TermTag
line	NN	line O TermTag
appreciated	VBN	appreciate O TermTag
by	IN	by O TermTag
[	(	[ ( NUPOS
3H	NN	3H O TermTag
]	)	] ) NUPOS
-	:	- : NUPOS
thymidine	NN	thymidine O TermTag
incorporation	NN	incorporation O TermTag
.	.	. . NUPOS

PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
IGF-I	NN	IGF-I GENE TermTag
concentrations	NNS	concentration O TermTag
were	VBD	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
BAL	NN	bal O TermTag
fluids	NNS	fluid O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
PMF	NN	PMF O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
SP	NN	sp O TermTag
and	CC	and O TermTag
control	JJ	control O TermTag
subjects	NNS	subject O TermTag
,	,	, , NUPOS
whereas	IN	whereas O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
concentration	NN	concentration O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
in	IN	in O TermTag
BAL	NN	bal O TermTag
fluid	NN	fluid O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
SP	NN	sp O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
PMF	NN	PMF O TermTag
and	CC	and O TermTag
control	JJ	control O TermTag
subjects	NNS	subject O TermTag
.	.	. . NUPOS

PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
IGF-I	NN	IGF-I GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
concentrations	NNS	concentration O TermTag
in	IN	in O TermTag
AM	NNP	am O TermTag
supernatants	NNS	supernatant O TermTag
followed	VBD	follow O TermTag
the	DT	the O TermTag
same	JJ	same O TermTag
profile	NN	profile O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
BAL	NN	bal O TermTag
fluids	NNS	fluid O TermTag
,	,	, , NUPOS
suggesting	VBG	suggest O TermTag
that	IN	that O TermTag
AM	NNP	am O TermTag
is	VBZ	be O TermTag
one	CD	one O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
main	JJ	main O TermTag
cell	NN	cell O TermTag
sources	NNS	source O TermTag
of	IN	of O TermTag
PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
IGF-I	NN	IGF-I GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
of	IN	of O TermTag
pneumoconiotic	JJ	pneumoconiotic O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

After	IN	after O TermTag
treatment	NN	treatment O TermTag
by	IN	by O TermTag
acidification	NN	acidification O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
activated	VBD	activate O TermTag
the	DT	the O TermTag
latent	JJ	latent O TermTag
form	NN	form O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
,	,	, , NUPOS
AM	VBP	be O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
SP	NN	sp O TermTag
induced	VBD	induce O TermTag
an	DT	a O TermTag
inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
[	(	[ ( NUPOS
3H	NN	3H O TermTag
]	)	] ) NUPOS
-	:	- : NUPOS
thymidine	NN	thymidine O TermTag
incorporation	NN	incorporation O TermTag
and	CC	and O TermTag
fibroblast	NN	fibroblast O TermTag
growth	NN	growth O TermTag
was	VBD	be O TermTag
restored	VBN	restore O TermTag
after	IN	after O TermTag
neutralization	NN	neutralization O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
by	IN	by O TermTag
specific	JJ	specific O TermTag
antibodies	NNS	antibody O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
contrast	NN	contrast O TermTag
,	,	, , NUPOS
AM	VBP	be O TermTag
supernatants	NNS	supernatant O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
PMF	NN	PMF O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
promoted	VBD	promote O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
treatment	NN	treatment O TermTag
by	IN	by O TermTag
acidification	NN	acidification O TermTag
did	VBD	do O TermTag
not	RB	not O TermTag
modify	VB	modify O TermTag
this	DT	this O TermTag
effect	NN	effect O TermTag
.	.	. . NUPOS

(	(	( ( NUPOS
ABSTRACT	NN	abstract O TermTag
TRUNCATED	VBN	truncate O TermTag
AT	IN	at O TermTag
250	CD	250 O TermTag
WORDS	NNS	word O TermTag
)	)	) ) NUPOS
