MicroRNA-29c	NN	MicroRNA-29c O TermTag
is	VBZ	be O TermTag
not	RB	not O TermTag
fully	RB	full O TermTag
understood	VBN	understand O TermTag
.	.	. . NUPOS

Here	RB	here O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
miR-29	NN	miR-29 O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
is	VBZ	be O TermTag
the	DT	the O TermTag
most	RBS	much O TermTag
downregulated	JJ	downregulated O TermTag
microRNA	NN	microRNA O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
and	CC	and O TermTag
is	VBZ	be O TermTag
also	RB	also O TermTag
known	VBN	know O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
regulator	NN	regulator O TermTag
of	IN	of O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
(	(	( ( NUPOS
ECM	NN	ecm O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
mechanism	NN	mechanism O TermTag
of	IN	of O TermTag
apoptosis	NN	apoptosis O TermTag
resistance	NN	resistance O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
functional	JJ	functional O TermTag
inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
miR-29c	NN	miR-29c O TermTag
caused	VBD	cause O TermTag
resistance	NN	resistance O TermTag
to	TO	to O TermTag
Fas-mediated	JJ	fas-mediated O TermTag
apoptosis	NN	apoptosis O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
experiments	NNS	experiment O TermTag
using	VBG	use O TermTag
miR-29c	JJ	mir-29c O TermTag
inhibitor	NN	inhibitor O TermTag
and	CC	and O TermTag
miR-29c	NN	miR-29c O TermTag
mimic	VBP	mimic O TermTag
revealed	VBD	reveal O TermTag
that	IN	that O TermTag
miR-29c	NN	miR-29c O TermTag
regulated	VBN	regulate O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
death	NN	death O TermTag
receptor	NN	receptor O TermTag
,	,	, , NUPOS
Fas	NN	fas O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
formation	NN	formation O TermTag
of	IN	of O TermTag
death-inducing	JJ	death-inducing O TermTag
signaling	NN	signaling O TermTag
complex	NN	complex O TermTag
(	(	( ( NUPOS
DISC	NN	disc O TermTag
)	)	) ) NUPOS
leading	VBG	lead O TermTag
to	TO	to O TermTag
extrinsic	JJ	extrinsic O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
representative	JJ	representative O TermTag
profibrotic	JJ	profibrotic O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
downregulated	VBD	downregulate O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
miR-29c	NN	miR-29c O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
Fas	NN	fas O TermTag
receptor	NN	receptor O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
conferred	VBD	confer O TermTag
resistance	NN	resistance O TermTag
to	TO	to O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
also	RB	also O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
introduction	NN	introduction O TermTag
of	IN	of O TermTag
miR-29c	NN	miR-29c O TermTag
mimic	VBP	mimic O TermTag
abrogated	VBN	abrogate O TermTag
these	DT	these O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
phenotypes	NNS	phenotype O TermTag
of	IN	of O TermTag
Fas	NN	fas O TermTag
repression	NN	repression O TermTag
and	CC	and O TermTag
apoptosis	NN	apoptosis O TermTag
resistance	NN	resistance O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
results	NNS	result O TermTag
presented	VBN	present O TermTag
here	RB	here O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
miR-29	NN	miR-29 O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
apoptosis-resistant	JJ	apoptosis-resistant O TermTag
phenotype	NN	phenotype O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
via	IN	via O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
Fas	NN	fas O TermTag
receptor	NN	receptor O TermTag
.	.	. . NUPOS

Therefore	RB	therefore O TermTag
,	,	, , NUPOS
restoration	NN	restoration O TermTag
of	IN	of O TermTag
miR-29	NN	miR-29 O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
could	MD	can O TermTag
not	RB	not O TermTag
only	RB	only O TermTag
inhibit	VBP	inhibit O TermTag
the	DT	the O TermTag
accumulation	NN	accumulation O TermTag
of	IN	of O TermTag
ECM	NN	ecm O TermTag
but	CC	but O TermTag
also	RB	also O TermTag
normalize	VB	normalize O TermTag
the	DT	the O TermTag
sensitivity	NN	sensitivity O TermTag
to	TO	to O TermTag
apoptosis	NN	apoptosis O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
an	DT	a O TermTag
effective	JJ	effective O TermTag
strategy	NN	strategy O TermTag
for	IN	for O TermTag
treatment	NN	treatment O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

