BAL	NN	bal O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
SSc	NN	ssc O TermTag
associated	VBN	associate O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
(	(	( ( NUPOS
SSc-ILD	NN	SSc-ILD O TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
n.	NN	N. O TermTag
34	CD	34 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
n.	FW	n. O TermTag
13	CD	13 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
stage	NN	stage O TermTag
II	CD	II O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
(	(	( ( NUPOS
n.	NN	N. O TermTag
14	CD	14 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
9	CD	9 crd NUPOS
controls	NNS	control O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Interleukin	NN	interleukin O TermTag
(	(	( ( NUPOS
IL	NN	IL O TermTag
)	)	) ) NUPOS
8	CD	8 crd NUPOS
,	,	, , NUPOS
monocyte	NN	monocyte GENE TermTag
chemoattractant	NN	chemoattractant GENE TermTag
protein	NN	protein GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
MCP-1	NN	MCP-1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
gamma-interferon	NN	gamma-interferon O TermTag
(	(	( ( NUPOS
IFN-gamma	NN	IFN-gamma GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
IL12	NN	IL12 O TermTag
,	,	, , NUPOS
IL18	NN	IL18 GENE TermTag
and	CC	and O TermTag
IL10	NN	IL10 GENE TermTag
and	CC	and O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
ELISA	NN	elisa O TermTag
in	IN	in O TermTag
concentrated	JJ	concentrated O TermTag
BAL-f	NN	BAL-f O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
Levels	NNS	level O TermTag
of	IN	of O TermTag
IL8	NN	IL8 GENE TermTag
and	CC	and O TermTag
MCP-1	NN	MCP-1 GENE TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
elevated	JJ	elevated O TermTag
in	IN	in O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
as	IN	as O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
(	(	( ( NUPOS
Mann	NNP	Mann O TermTag
Whitney	NNP	whitney O TermTag
test	NN	test O TermTag
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
while	IN	while O TermTag
MCP-1	NN	MCP-1 GENE TermTag
values	NNS	value O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
lower	JJR	low O TermTag
in	IN	in O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

A	DT	a dt NUPOS
significant	JJ	significant O TermTag
correlation	NN	correlation O TermTag
between	IN	between O TermTag
neutrophils	NNS	neutrophil O TermTag
and	CC	and O TermTag
IL8	NN	IL8 GENE TermTag
levels	NNS	level O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.047	CD	0.047 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
between	IN	between O TermTag
eosinophils	NNS	eosinophil O TermTag
and	CC	and O TermTag
MCP-1	NN	MCP-1 GENE TermTag
levels	NNS	level O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.004	CD	0.004 O TermTag
)	)	) ) NUPOS
was	VBD	be O TermTag
also	RB	also O TermTag
observed	VBN	observe O TermTag
.	.	. . NUPOS

IFN-gamma	NN	IFN-gamma GENE TermTag
levels	NNS	level O TermTag
were	VBD	be O TermTag
slightly	RB	slight O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
normal	JJ	normal O TermTag
only	RB	only O TermTag
in	IN	in O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.06	CD	0.06 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
whereas	IN	whereas O TermTag
IL12	NN	IL12 O TermTag
levels	NNS	level O TermTag
increased	VBD	increase O TermTag
both	CC	both O TermTag
in	IN	in O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
and	CC	and O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

No	DT	no O TermTag
differences	NNS	difference O TermTag
were	VBD	be O TermTag
found	VBN	find O TermTag
in	IN	in O TermTag
IL18	NN	IL18 GENE TermTag
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
levels	NNS	level O TermTag
.	.	. . NUPOS

Finally	RB	final O TermTag
,	,	, , NUPOS
IL10	NN	IL10 GENE TermTag
levels	NNS	level O TermTag
were	VBD	be O TermTag
higher	JJR	high O TermTag
in	IN	in O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
and	CC	and O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
controls	NNS	control O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
BAL-f	NN	BAL-f O TermTag
cytokine	NN	cytokine O TermTag
profile	NN	profile O TermTag
differentiates	VBZ	differentiate O TermTag
ILD	NNP	ILD O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
SSc	NN	ssc O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
lower	JJR	low O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
MCP-1	NN	MCP-1 GENE TermTag
and	CC	and O TermTag
the	DT	the O TermTag
higher	JJR	high O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
anti-fibrotic	JJ	anti-fibrotic O TermTag
IL12	NN	IL12 O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
anti-inflammatory	JJ	anti-inflammatory O TermTag
IL10	NN	IL10 GENE TermTag
,	,	, , NUPOS
observed	VBD	observe O TermTag
both	CC	both O TermTag
in	IN	in O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
,	,	, , NUPOS
could	MD	can O TermTag
account	VB	account O TermTag
for	IN	for O TermTag
the	DT	the O TermTag
better	JJR	good O TermTag
prognosis	NN	prognosis O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
ILDs	NNS	ild O TermTag
.	.	. . NUPOS

Further	JJ	further O TermTag
longitudinal	JJ	longitudinal O TermTag
studies	NNS	study O TermTag
are	VBP	be O TermTag
required	VBN	require O TermTag
to	TO	to O TermTag
confirm	VB	confirm O TermTag
whether	IN	whether O TermTag
a	DT	a dt NUPOS
different	JJ	different O TermTag
cytokine	NN	cytokine O TermTag
phenotype	NN	phenotype O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
considered	VBN	consider O TermTag
predictive	JJ	predictive O TermTag
of	IN	of O TermTag
clinical	JJ	clinical O TermTag
outcome	NN	outcome O TermTag
in	IN	in O TermTag
SSc-ILD	NN	SSc-ILD O TermTag
.	.	. . NUPOS

