Type	NN	type O TermTag
efficacy	NN	efficacy O TermTag
of	IN	of O TermTag
nebulized	JJ	nebulized O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
in	IN	in O TermTag
pre-clinical	JJ	pre-clinical O TermTag
IPF	NN	IPF O TermTag
models	NNS	model O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
and	CC	and O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
expression	NN	expression O TermTag
profile	NN	profile O TermTag
was	VBD	be O TermTag
analyzed	VBN	analyse O TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
human	JJ	human O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
tissues	NNS	tissue O TermTag
.	.	. . NUPOS

C57-BL6	NN	C57-BL6 O TermTag
mice	NNS	mouse O TermTag
were	VBD	be O TermTag
intratracheally	RB	intratracheal O TermTag
instilled	VBN	instil O TermTag
with	IN	with O TermTag
bleomycin	NN	bleomycin O TermTag
(	(	( ( NUPOS
0.025	CD	0.025 O TermTag
U	NN	u NN PennPOS
)	)	) ) NUPOS
followed	VBN	follow O TermTag
by	IN	by O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
nebulization	NN	nebulization O TermTag
at	IN	at O TermTag
pre	JJ	pre O TermTag
-	:	- : NUPOS
/	:	/ : NUPOS
post-fibrotic	JJ	post-fibrotic O TermTag
stage	NN	stage O TermTag
and	CC	and O TermTag
analyzed	VBN	analyse O TermTag
for	IN	for O TermTag
systemic	JJ	systemic O TermTag
and	CC	and O TermTag
local	JJ	local O TermTag
responses	NNS	response O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
Compared	VBN	compare O TermTag
to	TO	to O TermTag
normal	JJ	normal O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
had	VBD	have O TermTag
higher	JJR	high O TermTag
protein	NN	protein O TermTag
and	CC	and O TermTag
transcript	NN	transcript O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
alpha	NN	alpha O TermTag
1	CD	1 crd NUPOS
chain	NN	chain O TermTag
of	IN	of O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
and	CC	and O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Systemic	JJ	systemic O TermTag
anti-col	JJ	anti-col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
antibody	NN	antibody O TermTag
concentrations	NNS	concentration O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
of	IN	of O TermTag
anti-col	JJ	anti-col O TermTag
(	(	( ( NUPOS
I	PRP	i pns11 NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
were	VBD	be O TermTag
higher	JJR	high O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

Nebulized	VBN	nebulize O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
prevented	VBD	prevent O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
collagen	NN	collagen O TermTag
deposition	NN	deposition O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
myofibroblast	NN	myofibroblast O TermTag
differentiation	NN	differentiation O TermTag
.	.	. . NUPOS

Col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
treatment	NN	treatment O TermTag
suppressed	VBD	suppress O TermTag
systemic	JJ	systemic O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
anti-col	JJ	anti-col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
antibodies	NNS	antibody O TermTag
,	,	, , NUPOS
IL-6	NN	IL-6 GENE TermTag
and	CC	and O TermTag
TNF-a	NN	TNF-a GENE TermTag
;	:	; : NUPOS
and	CC	and O TermTag
local	JJ	local O TermTag
Il-17a	NN	Il-17a O TermTag
transcripts	NNS	transcript O TermTag
.	.	. . NUPOS

Compared	VBN	compare O TermTag
to	TO	to O TermTag
controls	NNS	control O TermTag
,	,	, , NUPOS
nebulized	JJ	nebulized O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
tolerance	NN	tolerance O TermTag
abrogated	VBD	abrogate O TermTag
antigen-specific	JJ	antigen-specific O TermTag
proliferation	NN	proliferation O TermTag
in	IN	in O TermTag
mediastinal	JJ	mediastinal O TermTag
lymphocytes	NNS	lymphocyte O TermTag
and	CC	and O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
IL-17A	NN	IL-17A GENE TermTag
,	,	, , NUPOS
IL-6	NN	IL-6 GENE TermTag
,	,	, , NUPOS
TNF-a	NN	TNF-a GENE TermTag
and	CC	and O TermTag
IFN-y	NN	IFN-y O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
a	DT	a dt NUPOS
clinically	RB	clinical O TermTag
relevant	JJ	relevant O TermTag
established	JJ	established O TermTag
fibrosis	NN	fibrosis O TermTag
model	NN	model O TermTag
,	,	, , NUPOS
nebulized	JJ	nebulized O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
decreased	VBD	decrease O TermTag
collagen	NN	collagen O TermTag
deposition	NN	deposition O TermTag
.	.	. . NUPOS

mRNA	NN	mRNA O TermTag
array	NN	array O TermTag
revealed	VBD	reveal O TermTag
downregulation	NN	downregulation O TermTag
of	IN	of O TermTag
genes	NNS	gene O TermTag
specific	JJ	specific O TermTag
to	TO	to O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
Tgf-b	NN	Tgf-b O TermTag
,	,	, , NUPOS
Il-1b	NN	Il-1b O TermTag
,	,	, , NUPOS
Pdgfb	NN	Pdgfb O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
matrix	NN	matrix O TermTag
(	(	( ( NUPOS
Acta2	NN	Acta2 O TermTag
,	,	, , NUPOS
Col1a2	NN	Col1a2 GENE TermTag
,	,	, , NUPOS
Col3a1	NN	Col3a1 O TermTag
,	,	, , NUPOS
Lox	NN	lox O TermTag
,	,	, , NUPOS
Itgb1/6	NN	Itgb1/6 O TermTag
,	,	, , NUPOS
Itga2/3	NN	Itga2/3 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
members	NNS	member O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
TGF-b	NN	TGF-b GENE TermTag
superfamily	NN	superfamily O TermTag
(	(	( ( NUPOS
Tgfbr1/2	NN	Tgfbr1/2 O TermTag
,	,	, , NUPOS
Smad2/3	NN	Smad2/3 GENE TermTag
,	,	, , NUPOS
Ltbp1	NN	Ltbp1 O TermTag
,	,	, , NUPOS
Serpine1	NN	Serpine1 O TermTag
,	,	, , NUPOS
Nfkb/Sp1/Cebpb	NN	Nfkb/Sp1/Cebpb O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
Anti-col	NN	Anti-col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity O TermTag
is	VBZ	be O TermTag
pathogenic	JJ	pathogenic O TermTag
in	IN	in O TermTag
IPF	NNP	IPF O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
col	NN	col O TermTag
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
tolerance	NN	tolerance O TermTag
abrogates	VBZ	abrogate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
fibrogenesis	NN	fibrogenesis O TermTag
and	CC	and O TermTag
down	RB	down O TermTag
regulates	VBZ	regulate O TermTag
TGF	NN	tgf O TermTag
--	:	-- O TermTag
b-related	JJ	b-related O TermTag
signaling	NN	signaling O TermTag
pathways	NNS	pathway O TermTag
.	.	. . NUPOS

