N-acetyl-L-cysteine	NN	N-acetyl-L-cysteine O TermTag
.	.	. . NUPOS

OBJECTIVES	NNS	objective O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
aim	NN	aim O TermTag
of	IN	of O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
evaluate	VB	evaluate O TermTag
whether	IN	whether O TermTag
the	DT	the O TermTag
antioxidant	JJ	antioxidant O TermTag
N-acetyl-l-cysteine	NN	N-acetyl-l-cysteine O TermTag
(	(	( ( NUPOS
NAC	NN	nac O TermTag
)	)	) ) NUPOS
can	MD	can O TermTag
affect	VB	affect O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
mediated	VBN	mediate O TermTag
tissue	NN	tissue O TermTag
remodeling	NN	remodeling O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
or	CC	or O TermTag
modulate	VB	modulate O TermTag
the	DT	the O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
fibronectin	NN	fibronectin GENE TermTag
and	CC	and O TermTag
vascular	NN	vascular GENE TermTag
endothelial	NN	endothelial GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
(	(	( ( NUPOS
VEGF	NN	vegf GENE TermTag
)	)	) ) NUPOS
which	WDT	which O TermTag
are	VBP	be O TermTag
believed	VBN	believe O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
important	JJ	important O TermTag
mediators	NNS	mediator O TermTag
of	IN	of O TermTag
tissue	NN	tissue O TermTag
repair	NN	repair O TermTag
and	CC	and O TermTag
remodeling	NN	remodeling O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
accomplish	VB	accomplish O TermTag
this	DT	this O TermTag
,	,	, , NUPOS
human	JJ	human O TermTag
fetal	JJ	fetal O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
(	(	( ( NUPOS
HFL-1	NN	HFL-1 O TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
assess	VB	assess O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
NAC	NN	nac O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
mediated	VBN	mediate O TermTag
contraction	NN	contraction O TermTag
of	IN	of O TermTag
floating	VBG	float O TermTag
gels	NNS	gel O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
mediator	NN	mediator O TermTag
production	NN	production O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
addition	NN	addition O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
NAC	NN	nac O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBD	induce O TermTag
differentiation	NN	differentiation O TermTag
to	TO	to O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
was	VBD	be O TermTag
evaluated	VBN	evaluate O TermTag
by	IN	by O TermTag
assessing	VBG	assess O TermTag
alpha-smooth-muscle-actin	NN	alpha-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
)	)	) ) NUPOS
expression	NN	expression O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
NAC	NN	nac O TermTag
significantly	RB	significant O TermTag
abolished	VBD	abolish O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
augmented	VBD	augment O TermTag
gel	NN	gel O TermTag
contraction	NN	contraction O TermTag
(	(	( ( NUPOS
at	IN	at O TermTag
3mM	NN	3mM O TermTag
,	,	, , NUPOS
gel	NN	gel O TermTag
size	NN	size O TermTag
63.4	CD	63.4 O TermTag
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-2.6	CD	-2.6 O TermTag
%	NN	% NN PennPOS
vs.	CC	vs. O TermTag
39.1	CD	39.1 O TermTag
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-4.1	CD	-4.1 O TermTag
%	NN	% NN PennPOS
;	:	; : NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
compared	VBN	compare O TermTag
with	IN	with O TermTag
control	NN	control O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
concentration-dependent	JJ	concentration-dependent O TermTag
manner	NN	manner O TermTag
.	.	. . NUPOS

NAC	NN	nac O TermTag
also	RB	also O TermTag
significantly	RB	significant O TermTag
inhibited	VBD	inhibit O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
augmented	VBD	augment O TermTag
fibronectin	NN	fibronectin GENE TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
VEGF	NN	vegf GENE TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
production	NN	production O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
media	NNS	medium O TermTag
of	IN	of O TermTag
both	CC	both O TermTag
the	DT	the O TermTag
three-dimensional	JJ	three-dimensional O TermTag
gel	NN	gel O TermTag
and	CC	and O TermTag
monolayer	NN	monolayer O TermTag
culture	NN	culture O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
NAC	NN	nac O TermTag
reversed	VBD	reverse O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
stimulated	VBN	stimulate O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
expression	NN	expression O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
These	DT	these O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
NAC	NN	nac O TermTag
can	MD	can O TermTag
affect	VB	affect O TermTag
the	DT	the O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
tissue	NN	tissue O TermTag
remodeling	NN	remodeling O TermTag
or	CC	or O TermTag
fibrotic	JJ	fibrotic O TermTag
process	NN	process O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
.	.	. . NUPOS

