Up-regulation	NN	Up-regulation O TermTag
including	VBG	include O TermTag
those	DT	those O TermTag
lining	VBG	line O TermTag
the	DT	the O TermTag
honeycomb	NN	honeycomb O TermTag
cysts	NNS	cyst O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
whereas	IN	whereas O TermTag
HS6ST1	NN	HS6ST1 O TermTag
had	VBD	have O TermTag
a	DT	a dt NUPOS
broad	JJ	broad O TermTag
expression	NN	expression O TermTag
pattern	NN	pattern O TermTag
.	.	. . NUPOS

Lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
fibroblastic	JJ	fibroblastic O TermTag
foci	NNS	focus O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
expressed	VBD	express O TermTag
HS6ST1	NN	HS6ST1 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
HS6ST1	NN	HS6ST1 O TermTag
mRNA	NN	mRNA O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
primary	JJ	primary O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
isolated	VBN	isolate O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
those	DT	those O TermTag
from	IN	from O TermTag
normal	JJ	normal O TermTag
lungs	NNS	lung O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
small	JJ	small O TermTag
interference	NN	interference O TermTag
RNA-mediated	JJ	rna-mediated O TermTag
silencing	NN	silencing O TermTag
of	IN	of O TermTag
HS6ST1	NN	HS6ST1 O TermTag
in	IN	in O TermTag
primary	JJ	primary O TermTag
normal	JJ	normal O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
reduced	VBN	reduce O TermTag
Smad2	NN	Smad2 GENE TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
reduced	VBN	reduce O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
I	NN	i NN PennPOS
and	CC	and O TermTag
a-smooth-muscle-actin	NN	a-smooth-muscle-actin GENE TermTag
after	IN	after O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
stimulation	NN	stimulation O TermTag
.	.	. . NUPOS

Similar	JJ	similar O TermTag
results	NNS	result O TermTag
were	VBD	be O TermTag
obtained	VBN	obtain O TermTag
in	IN	in O TermTag
primary	JJ	primary O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
silencing	NN	silencing O TermTag
of	IN	of O TermTag
HS6ST1	NN	HS6ST1 O TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
significant	JJ	significant O TermTag
down-regulation	NN	down-regulation O TermTag
of	IN	of O TermTag
TbRIII	NN	TbRIII O TermTag
(	(	( ( NUPOS
betaglycan	NN	betaglycan O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in O TermTag
summary	NN	summary O TermTag
,	,	, , NUPOS
HS	NN	HS O TermTag
6-O-sulfation	NN	6-O-sulfation O TermTag
is	VBZ	be O TermTag
up-regulated	VBN	upregulate O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
with	IN	with O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
HS6ST1	NN	HS6ST1 O TermTag
and	CC	and O TermTag
HS6ST2	NN	HS6ST2 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
HS6ST1	NN	HS6ST1 O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
may	MD	may O TermTag
regulate	VB	regulate O TermTag
their	PRP$	their O TermTag
fibrotic	JJ	fibrotic O TermTag
responses	NNS	response O TermTag
to	TO	to O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
.	.	. . NUPOS

