Regulation	NN	regulation O TermTag
C1q	NN	c1q GENE TermTag
binding	NN	binding O TermTag
[	(	[ ( NUPOS
Narayanan	NN	Narayanan O TermTag
,	,	, , NUPOS
Lurton	NNP	Lurton O TermTag
and	CC	and O TermTag
Raghu	NNP	Raghu O TermTag
:	:	: : NUPOS
Am	VBP	be O TermTag
J	NN	j NN PennPOS
Resp	NN	Resp O TermTag
Cell	NN	cell O TermTag
Mol	NNP	mol O TermTag
Biol	NNP	Biol O TermTag
.	.	. . NUPOS

1998	CD	1998 O TermTag
;	:	; : NUPOS
17:84	CD	17:84 O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
referred	VBN	refer O TermTag
to	TO	to O TermTag
as	IN	as O TermTag
HH	NN	hh O TermTag
and	CC	and O TermTag
NL	NN	NL O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
,	,	, , NUPOS
were	VBD	be O TermTag
exposed	VBN	expose O TermTag
to	TO	to O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
in	IN	in O TermTag
serum-free	JJ	serum-free O TermTag
conditions	NNS	condition O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
mRNA	NN	mRNA O TermTag
were	VBD	be O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
in	FW	in O TermTag
situ	FW	situ O TermTag
hybridization	NN	hybridization O TermTag
and	CC	and O TermTag
Northern	NN	northern O TermTag
analysis	NN	analysis O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
protein	NN	protein O TermTag
levels	NNS	level O TermTag
compared	VBN	compare O TermTag
after	IN	after O TermTag
SDS-polyacrylamide	NN	SDS-polyacrylamide O TermTag
gel	NN	gel O TermTag
electrophoresis	NN	electrophoresis O TermTag
and	CC	and O TermTag
Western	NN	western O TermTag
blotting	NN	blotting O TermTag
.	.	. . NUPOS

NL	NNP	NL O TermTag
cells	NNS	cell O TermTag
exposed	VBN	expose O TermTag
to	TO	to O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
contained	VBD	contain O TermTag
1.4	CD	1.4 O TermTag
and	CC	and O TermTag
1.6	CD	1.6 O TermTag
times	NNS	time O TermTag
as	RB	as O TermTag
much	JJ	much O TermTag
cC1q-R	NN	cC1q-R O TermTag
mRNA	NN	mRNA O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
,	,	, , NUPOS
whereas	IN	whereas O TermTag
in	IN	in O TermTag
HH	NN	hh O TermTag
cells	NNS	cell O TermTag
cC1q-R	NN	cC1q-R O TermTag
mRNA	NN	mRNA O TermTag
increased	VBD	increase O TermTag
2.0	CD	2.0 O TermTag
-	:	- : NUPOS
and	CC	and O TermTag
2.4-fold	RB	2.4-fold O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
gC1q-R	NN	gC1q-R O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
increased	VBD	increase O TermTag
to	TO	to O TermTag
a	DT	a dt NUPOS
lesser	JJR	less O TermTag
extent	NN	extent O TermTag
in	IN	in O TermTag
both	CC	both O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
increases	NNS	increase O TermTag
were	VBD	be O TermTag
not	RB	not O TermTag
reflected	VBN	reflect O TermTag
in	IN	in O TermTag
protein	NN	protein O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
CC1q-R	NN	CC1q-R O TermTag
and	CC	and O TermTag
gC1q-R	NN	gC1q-R O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
were	VBD	be O TermTag
similar	JJ	similar O TermTag
to	TO	to O TermTag
or	CC	or O TermTag
less	JJR	little O TermTag
than	IN	than O TermTag
controls	NNS	control O TermTag
.	.	. . NUPOS

Both	DT	both O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
also	RB	also O TermTag
increased	VBD	increase O TermTag
procollagen	NN	procollagen O TermTag
[	(	[ ( NUPOS
I	PRP	i pns11 NUPOS
]	)	] ) NUPOS
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
both	DT	both O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Overall	RB	overall O TermTag
,	,	, , NUPOS
TNF-alpha	NN	TNF-alpha GENE TermTag
caused	VBD	cause O TermTag
a	DT	a dt NUPOS
greater	JJR	great O TermTag
increase	NN	increase O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
degree	NN	degree O TermTag
of	IN	of O TermTag
response	NN	response O TermTag
by	IN	by O TermTag
HH	NN	hh O TermTag
fibroblasts	NNS	fibroblast O TermTag
to	TO	to O TermTag
both	DT	both O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
was	VBD	be O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
NL	NN	NL O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
results	NNS	result O TermTag
indicated	VBD	indicate O TermTag
that	IN	that O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
and	CC	and O TermTag
TNF-alpha	NN	TNF-alpha GENE TermTag
upregulate	VBP	upregulate O TermTag
the	DT	the O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
for	IN	for O TermTag
cC1q-R	NN	cC1q-R O TermTag
and	CC	and O TermTag
collagen	NN	collagen O TermTag
and	CC	and O TermTag
that	IN	that O TermTag
they	PRP	they O TermTag
do	VBP	do O TermTag
not	RB	not O TermTag
affect	VB	affect O TermTag
gC1q-R	NN	gC1q-R O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
significantly	RB	significant O TermTag
.	.	. . NUPOS

They	PRP	they O TermTag
also	RB	also O TermTag
indicated	VBD	indicate O TermTag
different	JJ	different O TermTag
subsets	NNS	subset O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
respond	VBP	respond O TermTag
differently	RB	different O TermTag
to	TO	to O TermTag
inflammatory	JJ	inflammatory O TermTag
mediators	NNS	mediator O TermTag
.	.	. . NUPOS

