Activated	VBN	activate O TermTag
METHODS	NNS	method O TermTag
:	:	: : NUPOS
Small	JJ	small O TermTag
airways	NNS	airway O TermTag
,	,	, , NUPOS
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
lung	NN	lung O TermTag
parenchyma	NN	parenchyma O TermTag
were	VBD	be O TermTag
subjected	VBN	subject O TermTag
to	TO	to O TermTag
detailed	JJ	detailed O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
analyses	NNS	analysis O TermTag
using	VBG	use O TermTag
lungs	NNS	lung O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
CF	NN	cf O TermTag
(	(	( ( NUPOS
20	CD	20 O TermTag
lung	NN	lung O TermTag
regions	NNS	region O TermTag
;	:	; : NUPOS
5	CD	5 crd NUPOS
patients	NNS	patient O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
IPF	NN	IPF O TermTag
(	(	( ( NUPOS
21	CD	21 O TermTag
regions	NNS	region O TermTag
;	:	; : NUPOS
7	CD	7 crd NUPOS
patients	NNS	patient O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
controls	NNS	control O TermTag
(	(	( ( NUPOS
16	CD	16 O TermTag
regions	NNS	region O TermTag
;	:	; : NUPOS
8	CD	8 crd NUPOS
subjects	NNS	subject O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in O TermTag
each	DT	each O TermTag
compartment	NN	compartment O TermTag
the	DT	the O TermTag
densities	NNS	density O TermTag
and	CC	and O TermTag
distribution	NN	distribution O TermTag
of	IN	of O TermTag
MCT	NNP	MCT O TermTag
and	CC	and O TermTag
MCTC	NNP	MCTC O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
populations	NNS	population O TermTag
were	VBD	be O TermTag
studied	VBN	study O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
the	DT	the O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
IL-6	NN	IL-6 GENE TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
the	DT	the O TermTag
alveolar	JJ	alveolar O TermTag
parenchyma	NN	parenchyma O TermTag
in	IN	in O TermTag
lungs	NNS	lung O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
CF	NN	cf O TermTag
,	,	, , NUPOS
MCTC	NN	MCTC O TermTag
numbers	NNS	number O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
areas	NNS	area O TermTag
showing	VBG	show O TermTag
cellular	JJ	cellular O TermTag
inflammation	NN	inflammation O TermTag
or	CC	or O TermTag
fibrosis	NN	fibrosis O TermTag
compared	VBN	compare O TermTag
to	TO	to O TermTag
controls	NNS	control O TermTag
.	.	. . NUPOS

Apart	RB	apart O TermTag
from	IN	from O TermTag
an	DT	a O TermTag
altered	JJ	altered O TermTag
balance	NN	balance O TermTag
between	IN	between O TermTag
MCTC	NNP	MCTC O TermTag
and	CC	and O TermTag
MCT	NNP	MCT O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
mast	NN	mast O TermTag
cell	NN	cell O TermTag
in	IN	in O TermTag
CF	NN	cf O TermTag
lungs	NNS	lung O TermTag
showed	VBD	show O TermTag
elevated	JJ	elevated O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
IL-6	NN	IL-6 GENE TermTag
.	.	. . NUPOS

In	IN	in O TermTag
CF	NN	cf O TermTag
,	,	, , NUPOS
a	DT	a dt NUPOS
decrease	NN	decrease O TermTag
in	IN	in O TermTag
total	JJ	total O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
numbers	NNS	number O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
small	JJ	small O TermTag
airways	NNS	airway O TermTag
and	CC	and O TermTag
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
a	DT	a dt NUPOS
significantly	RB	significant O TermTag
elevated	JJ	elevated O TermTag
MCTC	NN	MCTC O TermTag
density	NN	density O TermTag
was	VBD	be O TermTag
present	JJ	present O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
areas	NNS	area O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
alveolar	JJ	alveolar O TermTag
parenchyma	NN	parenchyma O TermTag
with	IN	with O TermTag
increased	VBN	increase O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-b	NN	TGF-b GENE TermTag
.	.	. . NUPOS

The	DT	the O TermTag
total	JJ	total O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
density	NN	density O TermTag
was	VBD	be O TermTag
unchanged	JJ	unchanged O TermTag
in	IN	in O TermTag
small	JJ	small O TermTag
airways	NNS	airway O TermTag
and	CC	and O TermTag
decreased	VBN	decrease O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Both	CC	both O TermTag
the	DT	the O TermTag
density	NN	density O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
the	DT	the O TermTag
percentage	NN	percentage O TermTag
,	,	, , NUPOS
of	IN	of O TermTag
MCTC	NN	MCTC O TermTag
correlated	VBD	correlate O TermTag
positively	RB	positive O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
degree	NN	degree O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
increased	VBN	increase O TermTag
density	NN	density O TermTag
of	IN	of O TermTag
MCTC	NNP	MCTC O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
MCTC	NN	MCTC O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-b	NN	TGF-b GENE TermTag
,	,	, , NUPOS
correlated	VBD	correlate O TermTag
negatively	RB	negative O TermTag
with	IN	with O TermTag
patient	NN	patient O TermTag
lung	NN	lung O TermTag
function	NN	function O TermTag
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
present	JJ	present O TermTag
study	NN	study O TermTag
reveals	VBZ	reveal O TermTag
that	IN	that O TermTag
altered	JJ	altered O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
populations	NNS	population O TermTag
,	,	, , NUPOS
with	IN	with O TermTag
increased	VBN	increase O TermTag
numbers	NNS	number O TermTag
of	IN	of O TermTag
MCTC	NN	MCTC O TermTag
in	IN	in O TermTag
diseased	JJ	diseased O TermTag
alveolar	JJ	alveolar O TermTag
parenchyma	NN	parenchyma O TermTag
,	,	, , NUPOS
represents	VBZ	represent O TermTag
a	DT	a dt NUPOS
significant	JJ	significant O TermTag
component	NN	component O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
histopathology	NN	histopathology O TermTag
in	IN	in O TermTag
CF	NN	cf O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
alterations	NNS	alteration O TermTag
correlated	VBD	correlate O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
degree	NN	degree O TermTag
of	IN	of O TermTag
tissue	NN	tissue O TermTag
remodelling	NN	remodelling O TermTag
and	CC	and O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
function	NN	function O TermTag
parameters	NNS	parameter O TermTag
.	.	. . NUPOS

Further	JJ	further O TermTag
investigations	NNS	investigation O TermTag
of	IN	of O TermTag
mast	NN	mast O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
these	DT	these O TermTag
diseases	NNS	disease O TermTag
may	MD	may O TermTag
open	VB	open O TermTag
for	IN	for O TermTag
new	JJ	new O TermTag
therapeutic	JJ	therapeutic O TermTag
strategies	NNS	strategy O TermTag
.	.	. . NUPOS

