STAT3-mediated	JJ	stat3-mediated O TermTag
constitutively	RB	constitutive O TermTag
phosphorylated	VBN	phosphorylate O TermTag
STAT3	NN	STAT3 GENE TermTag
,	,	, , NUPOS
lower	JJR	low O TermTag
proliferation	NN	proliferation O TermTag
rates	NNS	rate O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
diminished	VBN	diminish O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
a-SMA	NN	a-SMA GENE TermTag
,	,	, , NUPOS
Thy-1	NN	Thy-1 GENE TermTag
/	:	/ : NUPOS
CD90	NN	CD90 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
control	NN	control O TermTag
LFs	NNS	LFS O TermTag
.	.	. . NUPOS

Staining	NN	staining O TermTag
of	IN	of O TermTag
UIP	NNP	UIP O TermTag
lung	NN	lung O TermTag
biopsy	NN	biopsy O TermTag
specimens	NNS	specimen O TermTag
demonstrated	VBD	demonstrate O TermTag
that	IN	that O TermTag
phosphorylated	VBN	phosphorylate O TermTag
STAT3	NN	STAT3 GENE TermTag
was	VBD	be O TermTag
not	RB	not O TermTag
present	JJ	present O TermTag
in	IN	in O TermTag
a-SMA-positive	JJ	a-sma-positive O TermTag
fibroblastic	JJ	fibroblastic O TermTag
foci	NNS	focus O TermTag
but	CC	but O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
nuclei	NNS	nucleus O TermTag
of	IN	of O TermTag
cells	NNS	cell O TermTag
located	VBN	locate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
areas	NNS	area O TermTag
of	IN	of O TermTag
dense	JJ	dense O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

STAT3	NN	STAT3 GENE TermTag
activation	NN	activation O TermTag
in	IN	in O TermTag
LFs	NNS	LFS O TermTag
did	VBD	do O TermTag
not	RB	not O TermTag
significantly	RB	significant O TermTag
influence	VB	influence O TermTag
basal	JJ	basal O TermTag
or	CC	or O TermTag
transforming	JJ	transforming GENE TermTag
growth	JJ	growth GENE TermTag
factor	JJ	factor GENE TermTag
b	JJ	b GENE TermTag
(	(	( ( NUPOS
1	LS	1 LS PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
collagen	NN	collagen O TermTag
I	NN	i NN PennPOS
expression	NN	expression O TermTag
but	CC	but O TermTag
inhibited	VBD	inhibit O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
a-SMA	NN	a-SMA GENE TermTag
,	,	, , NUPOS
Thy-1	NN	Thy-1 GENE TermTag
/	:	/ : NUPOS
CD90	NN	CD90 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
av	NN	av O TermTag
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin O TermTag
.	.	. . NUPOS

Suppression	NN	suppression O TermTag
of	IN	of O TermTag
STAT3	NN	STAT3 GENE TermTag
signaling	NN	signaling O TermTag
diminished	VBD	diminish O TermTag
resistance	NN	resistance O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
LFs	NNS	LFS O TermTag
to	TO	to O TermTag
staurosporine-induced	JJ	staurosporine-induced O TermTag
apoptosis	NN	apoptosis O TermTag
and	CC	and O TermTag
responsiveness	NN	responsiveness O TermTag
to	TO	to O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b	NN	b GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
but	CC	but O TermTag
increased	VBD	increase O TermTag
basal	JJ	basal O TermTag
a-SMA	NN	a-SMA GENE TermTag
and	CC	and O TermTag
restored	VBD	restore O TermTag
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrin	NN	integrin O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
LFs	NNS	LFS O TermTag
via	IN	via O TermTag
an	DT	a O TermTag
ALK-5-dependent	JJ	alk-5-dependent O TermTag
,	,	, , NUPOS
SMAD3/7-independent	JJ	SMAD3/7-independent O TermTag
mechanism	NN	mechanism O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
data	NNS	datum O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
STAT3	NN	STAT3 GENE TermTag
activation	NN	activation O TermTag
regulates	VBZ	regulate O TermTag
several	JJ	several O TermTag
pathways	NNS	pathway O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
LFs	NNS	LFS O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
normal	JJ	normal O TermTag
wound	NN	wound O TermTag
healing	NN	healing O TermTag
,	,	, , NUPOS
whereas	IN	whereas O TermTag
aberrant	JJ	aberrant O TermTag
STAT3	NN	STAT3 GENE TermTag
signaling	NN	signaling O TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
critical	JJ	critical O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
UIP/IPF	NN	UIP/IPF O TermTag
pathogenesis	NN	pathogenesis O TermTag
.	.	. . NUPOS

