Overexpression	NN	overexpression O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
focused	VBD	focus O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
Sulf2	NN	Sulf2 GENE TermTag
in	IN	in O TermTag
modulating	VBG	modulate O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
function	NN	function O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
Sulf2	NN	Sulf2 GENE TermTag
mRNA	NN	mRNA O TermTag
was	VBD	be O TermTag
overexpressed	VBN	overexpress O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
samples	NNS	sample O TermTag
from	IN	from O TermTag
human	JJ	human O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
Sulf2	NN	Sulf2 GENE TermTag
protein	NN	protein O TermTag
was	VBD	be O TermTag
specifically	RB	specific O TermTag
localized	JJ	localized O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
hyperplastic	JJ	hyperplastic O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
AECs	NNS	aec O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
induced	VBD	induce O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
Sulf2	NN	Sulf2 GENE TermTag
with	IN	with O TermTag
accompanied	VBN	accompany O TermTag
HS	NN	HS O TermTag
6-O-desulfation	NN	6-O-desulfation O TermTag
in	IN	in O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
adenocarcinoma	NN	adenocarcinoma O TermTag
cells	NNS	cell O TermTag
derived	VBN	derive O TermTag
from	IN	from O TermTag
the	DT	the O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
alveolar	JJ	alveolar O TermTag
epithelium	NN	epithelium O TermTag
.	.	. . NUPOS

Using	VBG	use O TermTag
small	JJ	small O TermTag
interference	NN	interference O TermTag
RNA	NN	rna O TermTag
to	TO	to O TermTag
block	VB	block O TermTag
Sulf2	NN	Sulf2 GENE TermTag
expression	NN	expression O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
observed	VBD	observe O TermTag
a	DT	a dt NUPOS
biphasic	JJ	biphasic O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
response	NN	response O TermTag
with	IN	with O TermTag
early	JJ	early O TermTag
enhanced	VBN	enhance O TermTag
Smad	NN	SMAD O TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
eventually	RB	eventual O TermTag
reduced	VBD	reduce O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
target	NN	target O TermTag
gene	NN	gene O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
Sulf2	NN	Sulf2 GENE TermTag
knockdown	NN	knockdown O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

To	TO	to O TermTag
study	VB	study O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
Sulf2	NN	Sulf2 GENE TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
AECs	NNS	aec O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
isolated	VBD	isolate O TermTag
primary	JJ	primary O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
cells	NNS	cell O TermTag
from	IN	from O TermTag
wild-type	JJ	wild-type O TermTag
and	CC	and O TermTag
Sulf2	NN	Sulf2 GENE TermTag
knockout	NN	knockout O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
observed	VBD	observe O TermTag
enhanced	VBN	enhance O TermTag
Smad	NN	SMAD O TermTag
activation	NN	activation O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
enhanced	VBN	enhance O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
target	NN	target O TermTag
gene	NN	gene O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
Sulf2	NN	Sulf2 GENE TermTag
knockout	NN	knockout O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
AECs	NNS	aec O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
wild-type	JJ	wild-type O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
AECs	NNS	aec O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
conclusion	NN	conclusion O TermTag
,	,	, , NUPOS
Sulf2	NN	Sulf2 GENE TermTag
is	VBZ	be O TermTag
overexpressed	VBN	overexpress O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
may	MD	may O TermTag
play	VB	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
regulating	VBG	regulate O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
AECs	NNS	aec O TermTag
.	.	. . NUPOS

