Protective	JJ	protective O TermTag
fibrosis	NN	fibrosis O TermTag
was	VBD	be O TermTag
investigated	VBN	investigate O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
stimulated	VBD	stimulate O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
with	IN	with O TermTag
GA	NN	ga O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
reduction	NN	reduction O TermTag
of	IN	of O TermTag
EMT	NN	emt GENE TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
decrease	NN	decrease O TermTag
in	IN	in O TermTag
vimentin	NN	vimentin GENE TermTag
and	CC	and O TermTag
p-Smad3	NN	p-Smad3 O TermTag
and	CC	and O TermTag
an	DT	a O TermTag
increase	NN	increase O TermTag
in	IN	in O TermTag
E-cadherin	NN	e-cadherin GENE TermTag
instead	RB	instead O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
stimulated	VBD	stimulate O TermTag
HPMECs	NNS	hpmec O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
with	IN	with O TermTag
GA	NN	ga O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
reduction	NN	reduction O TermTag
of	IN	of O TermTag
EndoMT	NN	EndoMT O TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
decrease	NN	decrease O TermTag
in	IN	in O TermTag
vimentin	NN	vimentin GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
an	DT	a O TermTag
increase	NN	increase O TermTag
in	IN	in O TermTag
VE-cadherin	NN	VE-cadherin O TermTag
instead	RB	instead O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
the	DT	the O TermTag
hypoxic	JJ	hypoxic O TermTag
HPMECs	NNS	hpmec O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
with	IN	with O TermTag
GA	NN	ga O TermTag
reduced	VBD	reduce O TermTag
Vasohibin-2	NN	Vasohibin-2 GENE TermTag
(	(	( ( NUPOS
VASH-2	NN	VASH-2 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
whereas	IN	whereas O TermTag
increased	VBN	increase O TermTag
VASH-1	NN	VASH-1 GENE TermTag
.	.	. . NUPOS

In	IN	in O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
stimulated	VBD	stimulate O TermTag
HLF-1	NN	HLF-1 O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
with	IN	with O TermTag
GA	NN	ga O TermTag
reduced	VBD	reduce O TermTag
HLF-1	NN	HLF-1 O TermTag
proliferation	NN	proliferation O TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
decrease	NN	decrease O TermTag
in	IN	in O TermTag
platelet-derived	JJ	platelet-derived O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
PDGF	NN	PDGF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
fibroblast	NN	fibroblast O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
FGF-2	NN	FGF-2 GENE TermTag
)	)	) ) NUPOS
expressions	NNS	expression O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vivo	FW	vivo O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
with	IN	with O TermTag
GA	NN	ga O TermTag
for	IN	for O TermTag
2	CD	2 crd NUPOS
weeks	NNS	week O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
an	DT	a O TermTag
amelioration	NN	amelioration O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
BLM-induced	JJ	blm-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
rats	NNS	rat O TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
lower	JJR	low O TermTag
VASH-2	NN	VASH-2 GENE TermTag
.	.	. . NUPOS

Instead	RB	instead O TermTag
,	,	, , NUPOS
it	PRP	it O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
a	DT	a dt NUPOS
higher	JJR	high O TermTag
VASH-1	NN	VASH-1 GENE TermTag
expression	NN	expression O TermTag
at	IN	at O TermTag
early	JJ	early O TermTag
stage	NN	stage O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
at	IN	at O TermTag
1	CD	1 crd NUPOS
mg/kg	NN	mg/kg O TermTag
,	,	, , NUPOS
with	IN	with O TermTag
reductions	NNS	reduction O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
pathological	JJ	pathological O TermTag
score	NN	score O TermTag
,	,	, , NUPOS
collagen	NN	collagen O TermTag
deposition	NN	deposition O TermTag
,	,	, , NUPOS
a-SMA	NN	a-SMA GENE TermTag
,	,	, , NUPOS
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
FGF-2	NN	FGF-2 GENE TermTag
expressions	NNS	expression O TermTag
at	IN	at O TermTag
fibrotic	JJ	fibrotic O TermTag
stage	NN	stage O TermTag
at	IN	at O TermTag
0.5	CD	0.5 O TermTag
mg/kg	NN	mg/kg O TermTag
and	CC	and O TermTag
1	CD	1 crd NUPOS
mg/kg	NN	mg/kg O TermTag
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
summary	NN	summary O TermTag
,	,	, , NUPOS
GA	NN	ga O TermTag
reversed	VBD	reverse O TermTag
EMT	NNP	emt GENE TermTag
and	CC	and O TermTag
EndoMT	NNP	EndoMT O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
HLF-1	NN	HLF-1 O TermTag
proliferation	NN	proliferation O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
and	CC	and O TermTag
prevented	VBD	prevent O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
by	IN	by O TermTag
modulating	VBG	modulate O TermTag
VASH-2	NN	VASH-2 GENE TermTag
/	:	/ : NUPOS
VASH-1	NN	VASH-1 GENE TermTag
and	CC	and O TermTag
suppressing	VBG	suppress O TermTag
the	DT	the O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
/	:	/ : NUPOS
Smad3	NN	Smad3 GENE TermTag
pathway	NN	pathway O TermTag
.	.	. . NUPOS

