Secreted	VBN	secrete O TermTag
(	(	( ( NUPOS
SPARC	NN	sparc GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
matricellular	JJ	matricellular O TermTag
protein	NN	protein O TermTag
regulating	VBG	regulate O TermTag
ECM	NN	ecm O TermTag
deposition	NN	deposition O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
factors	NNS	factor O TermTag
regulating	VBG	regulate O TermTag
SPARC	NN	sparc GENE TermTag
expression	NN	expression O TermTag
or	CC	or O TermTag
roles	NNS	role O TermTag
of	IN	of O TermTag
SPARC	NNP	sparc GENE TermTag
in	IN	in O TermTag
fibrosis	NN	fibrosis O TermTag
have	VBP	have O TermTag
not	RB	not O TermTag
been	VBN	be O TermTag
fully	RB	full O TermTag
elucidated	VBN	elucidate O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
Among	IN	among O TermTag
the	DT	the O TermTag
profibrotic	JJ	profibrotic O TermTag
factors	NNS	factor O TermTag
examined	VBN	examine O TermTag
in	IN	in O TermTag
cultured	VBN	culture O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
showed	VBD	show O TermTag
that	IN	that O TermTag
SPARC	NN	sparc GENE TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
upregulated	VBN	upregulate O TermTag
mainly	RB	main O TermTag
by	IN	by O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
.	.	. . NUPOS

We	PRP	we O TermTag
also	RB	also O TermTag
showed	VBD	show O TermTag
that	IN	that O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SPARC	NNP	sparc GENE TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
was	VBD	be O TermTag
upregulated	VBN	upregulate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
murine	JJ	murine O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
model	NN	model O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
was	VBD	be O TermTag
inhibited	VBN	inhibit O TermTag
by	IN	by O TermTag
TGF-b	NN	TGF-b GENE TermTag
receptor	NN	receptor O TermTag
I	PRP	i pns11 NUPOS
inhibitor	NN	inhibitor O TermTag
.	.	. . NUPOS

Knockdown	NNP	knockdown O TermTag
of	IN	of O TermTag
SPARC	NNP	sparc GENE TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
using	VBG	use O TermTag
siRNA	NN	siRNA O TermTag
or	CC	or O TermTag
treatment	NN	treatment O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
antioxidant	JJ	antioxidant O TermTag
N-acetylcysteine	NN	N-acetylcysteine O TermTag
attenuated	VBD	attenuate O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
injury	NN	injury O TermTag
induced	VBN	induce O TermTag
by	IN	by O TermTag
TGF-b-activated	JJ	tgf-b-activated O TermTag
fibroblasts	NNS	fibroblast O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
coculture	NN	coculture O TermTag
system	NN	system O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
also	RB	also O TermTag
demonstrated	VBD	demonstrate O TermTag
that	IN	that O TermTag
SPARC	NNP	sparc GENE TermTag
was	VBD	be O TermTag
required	VBN	require O TermTag
for	IN	for O TermTag
hydrogen	NN	hydrogen O TermTag
peroxide	NN	peroxide O TermTag
(	(	( ( NUPOS
H2O2	NN	H2O2 O TermTag
)	)	) ) NUPOS
production	NN	production O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
treated	VBN	treat O TermTag
with	IN	with O TermTag
TGF-b	NN	TGF-b GENE TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
TGF-b	NN	TGF-b GENE TermTag
activated	VBD	activate O TermTag
integrin-linked-kinase	NN	integrin-linked-kinase GENE TermTag
(	(	( ( NUPOS
ILK	NN	ilk GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which O TermTag
was	VBD	be O TermTag
inhibited	VBN	inhibit O TermTag
by	IN	by O TermTag
SPARC	NNP	sparc GENE TermTag
siRNA	NNP	siRNA O TermTag
.	.	. . NUPOS

Knockdown	NNP	knockdown O TermTag
of	IN	of O TermTag
ILK	NNP	ilk GENE TermTag
attenuated	VBD	attenuate O TermTag
extracellular	JJ	extracellular O TermTag
H2O2	NN	H2O2 O TermTag
generation	NN	generation O TermTag
in	IN	in O TermTag
TGF-b-stimulated	JJ	tgf-b-stimulated O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
results	NNS	result O TermTag
indicated	VBD	indicate O TermTag
that	IN	that O TermTag
SPARC	NNP	sparc GENE TermTag
is	VBZ	be O TermTag
upregulated	VBN	upregulate O TermTag
by	IN	by O TermTag
TGF-b	NN	TGF-b GENE TermTag
and	CC	and O TermTag
is	VBZ	be O TermTag
required	VBN	require O TermTag
for	IN	for O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
H2O2	NN	H2O2 O TermTag
production	NN	production O TermTag
via	IN	via O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
ILK	NNP	ilk GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
this	DT	this O TermTag
H2O2	NN	H2O2 O TermTag
production	NN	production O TermTag
from	IN	from O TermTag
fibroblasts	NNS	fibroblast O TermTag
is	VBZ	be O TermTag
capable	JJ	capable O TermTag
of	IN	of O TermTag
causing	VBG	cause O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
injury	NN	injury O TermTag
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
results	NNS	result O TermTag
presented	VBN	present O TermTag
in	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
SPARC	NNP	sparc GENE TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
epithelial	JJ	epithelial O TermTag
damage	NN	damage O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
via	IN	via O TermTag
enhanced	VBN	enhance O TermTag
H2O2	NN	H2O2 O TermTag
production	NN	production O TermTag
from	IN	from O TermTag
fibroblasts	NNS	fibroblast O TermTag
activated	VBN	activate O TermTag
by	IN	by O TermTag
TGF-b	NN	TGF-b GENE TermTag
.	.	. . NUPOS

Therefore	RB	therefore O TermTag
,	,	, , NUPOS
SPARC	NN	sparc GENE TermTag
inhibition	NN	inhibition O TermTag
may	MD	may O TermTag
prevent	VB	prevent O TermTag
epithelial	JJ	epithelial O TermTag
injury	NN	injury O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
and	CC	and O TermTag
represent	VBP	represent O TermTag
a	DT	a dt NUPOS
potential	JJ	potential O TermTag
therapeutic	JJ	therapeutic O TermTag
approach	NN	approach O TermTag
for	IN	for O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

