Participation	NN	participation O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
AECs	NNS	aec O TermTag
from	IN	from O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
experimental	JJ	experimental O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
had	VBD	have O TermTag
diminished	VBN	diminish O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
miR-200	NN	miR-200 O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
miR-200	NN	miR-200 O TermTag
family	NN	family O TermTag
members	NNS	member O TermTag
inhibit	VBP	inhibit O TermTag
transforming-growth-factor-b1-induced	JJ	transforming-growth-factor-b1-induced O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
of	IN	of O TermTag
AECs	NNS	aec O TermTag
.	.	. . NUPOS

miR-200	NN	miR-200 O TermTag
family	NN	family O TermTag
members	NNS	member O TermTag
can	MD	can O TermTag
reverse	VB	reverse O TermTag
the	DT	the O TermTag
fibrogenic	JJ	fibrogenic O TermTag
activity	NN	activity O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
experimental	JJ	experimental O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Indeed	RB	indeed O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
introduction	NN	introduction O TermTag
of	IN	of O TermTag
miR-200c	NN	miR-200c O TermTag
diminishes	VBZ	diminish O TermTag
experimental	JJ	experimental O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Thus	RB	thus O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
miR-200	NN	miR-200 O TermTag
family	NN	family O TermTag
members	NNS	member O TermTag
participate	VBP	participate O TermTag
importantly	RB	important O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
and	CC	and O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
restoring	VBG	restore O TermTag
miR-200	NN	miR-200 O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
may	MD	may O TermTag
represent	VB	represent O TermTag
a	DT	a dt NUPOS
novel	JJ	novel O TermTag
therapeutic	JJ	therapeutic O TermTag
approach	NN	approach O TermTag
in	IN	in O TermTag
treating	VBG	treat O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrotic	JJ	fibrotic O TermTag
diseases	NNS	disease O TermTag
.	.	. . NUPOS

