Syndecan-2	NN	Syndecan-2 GENE TermTag
TGF-b	NN	TGF-b GENE TermTag
receptor	NN	receptor O TermTag
TbRI	NN	TbRI O TermTag
inhibits	VBZ	inhibit O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
and	CC	and O TermTag
could	MD	can O TermTag
attenuate	VB	attenuate O TermTag
development	NN	development O TermTag
of	IN	of O TermTag
experimental	JJ	experimental O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

OBJECTIVES	NNS	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
demonstrate	VB	demonstrate O TermTag
that	IN	that O TermTag
after	IN	after O TermTag
experimental	JJ	experimental O TermTag
lung	NN	lung O TermTag
injury	NN	injury O TermTag
,	,	, , NUPOS
human	JJ	human O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
confers	VBZ	confer O TermTag
antifibrotic	JJ	antifibrotic O TermTag
effects	NNS	effect O TermTag
by	IN	by O TermTag
inhibiting	VBG	inhibit O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Microarray	NN	Microarray O TermTag
assays	NNS	assay O TermTag
were	VBD	be O TermTag
performed	VBN	perform O TermTag
to	TO	to O TermTag
identify	VB	identify O TermTag
genes	NNS	gene O TermTag
differentially	RB	differential O TermTag
expressed	VBN	express O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
versus	CC	versus O TermTag
control	NN	control O TermTag
subjects	NNS	subject O TermTag
.	.	. . NUPOS

Transgenic	JJ	transgenic O TermTag
mice	NNS	mouse O TermTag
that	WDT	that O TermTag
constitutively	RB	constitutive O TermTag
overexpress	VBP	overexpress O TermTag
human	JJ	human O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
in	IN	in O TermTag
macrophages	NNS	macrophage O TermTag
were	VBD	be O TermTag
developed	VBN	develop O TermTag
to	TO	to O TermTag
test	VB	test O TermTag
the	DT	the O TermTag
antifibrotic	JJ	antifibrotic O TermTag
properties	NNS	property O TermTag
of	IN	of O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
assays	NNS	assay O TermTag
were	VBD	be O TermTag
performed	VBN	perform O TermTag
to	TO	to O TermTag
determine	VB	determine O TermTag
syndecan-2-dependent	JJ	syndecan-2-dependent O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TbRI	NN	TbRI O TermTag
internalization	NN	internalization O TermTag
and	CC	and O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

Wild-type	JJ	wild-type O TermTag
mice	NNS	mouse O TermTag
were	VBD	be O TermTag
treated	VBN	treat O TermTag
with	IN	with O TermTag
recombinant	JJ	recombinant O TermTag
human	JJ	human O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
during	IN	during O TermTag
the	DT	the O TermTag
fibrotic	JJ	fibrotic O TermTag
phase	NN	phase O TermTag
of	IN	of O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
lung	NN	lung O TermTag
injury	NN	injury O TermTag
.	.	. . NUPOS

MEASUREMENTS	NNS	measurement O TermTag
AND	CC	and O TermTag
MAIN	NNS	main O TermTag
RESULTS	NNS	result O TermTag
:	:	: : NUPOS
We	PRP	we O TermTag
observed	VBD	observe O TermTag
significant	JJ	significant O TermTag
increases	NNS	increase O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
macrophage	NN	macrophage O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Macrophage-specific	JJ	macrophage-specific O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
in	IN	in O TermTag
transgenic	JJ	transgenic O TermTag
mice	NNS	mouse O TermTag
conferred	VBD	confer O TermTag
antifibrotic	JJ	antifibrotic O TermTag
effects	NNS	effect O TermTag
after	IN	after O TermTag
lung	NN	lung O TermTag
injury	NN	injury O TermTag
by	IN	by O TermTag
inhibiting	VBG	inhibit O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
and	CC	and O TermTag
downstream	JJ	downstream O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
target	NN	target O TermTag
genes	NNS	gene O TermTag
,	,	, , NUPOS
reducing	VBG	reduce O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
production	NN	production O TermTag
and	CC	and O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
syndecan-2	NN	syndecan-2 GENE TermTag
promoted	VBD	promote O TermTag
caveolin-1-dependent	JJ	caveolin-1-dependent O TermTag
internalization	NN	internalization O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
and	CC	and O TermTag
TbRI	NN	TbRI O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
inhibited	VBD	inhibit O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
and	CC	and O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
apoptosis	NN	apoptosis O TermTag
.	.	. . NUPOS

Therapeutic	JJ	therapeutic O TermTag
administration	NN	administration O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
abrogated	VBD	abrogate O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
Alveolar	JJ	alveolar O TermTag
macrophage	NN	macrophage O TermTag
syndecan-2	NN	syndecan-2 GENE TermTag
exerts	VBZ	exert O TermTag
antifibrotic	JJ	antifibrotic O TermTag
effects	NNS	effect O TermTag
by	IN	by O TermTag
promoting	VBG	promote O TermTag
caveolin-1-dependent	JJ	caveolin-1-dependent O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
and	CC	and O TermTag
TbRI	NN	TbRI O TermTag
internalization	NN	internalization O TermTag
and	CC	and O TermTag
inhibiting	VBG	inhibit O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Hence	RB	hence O TermTag
,	,	, , NUPOS
molecules	NNS	molecule O TermTag
that	WDT	that O TermTag
facilitate	VBP	facilitate O TermTag
TbRI	NN	TbRI O TermTag
degradation	NN	degradation O TermTag
via	IN	via O TermTag
endocytosis	NN	endocytosis O TermTag
represent	VBP	represent O TermTag
potential	JJ	potential O TermTag
therapies	NNS	therapy O TermTag
for	IN	for O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

