Up-regulation	NN	Up-regulation NN PennPOS
with	IN	with pp NUPOS
those	DT	those d NUPOS
from	IN	from pp NUPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
small	JJ	small JJ PennPOS
interference	NN	interference NN PennPOS
RNA-mediated	JJ	rna-mediated JJ PennPOS
silencing	NN	silencing NN PennPOS
of	IN	of pp-f NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
in	IN	in IN PennPOS
primary	JJ	primary JJ PennPOS
normal	JJ	normal JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
reduced	VBN	reduce VBN PennPOS
Smad2	NN	Smad2 NN PennPOS
expression	NN	expression NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
reduced	VBN	reduce VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
I	NN	i NN PennPOS
and	CC	and cc NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
after	IN	after c-acp NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
stimulation	NN	stimulation NN PennPOS
.	.	. . NUPOS

Similar	JJ	similar JJ PennPOS
results	NNS	result NNS PennPOS
were	VBD	be vbd NUPOS
obtained	VBN	obtain VBN PennPOS
in	IN	in IN PennPOS
primary	JJ	primary JJ PennPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
silencing	NN	silencing NN PennPOS
of	IN	of pp-f NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
in	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
significant	JJ	significant JJ PennPOS
down-regulation	NN	down-regulation NN PennPOS
of	IN	of pp-f NUPOS
TbRIII	NN	TbRIII NN PennPOS
(	(	( ( NUPOS
betaglycan	NN	betaglycan NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
summary	NN	summary NN PennPOS
,	,	, , NUPOS
HS	NN	HS NN PennPOS
6-O-sulfation	NN	6-O-sulfation NN PennPOS
is	VBZ	be vbz NUPOS
up-regulated	VBN	upregulate VBN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
with	IN	with pp NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
and	CC	and cc NUPOS
HS6ST2	NN	HS6ST2 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
HS6ST1	NN	HS6ST1 NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
may	MD	may vmb NUPOS
regulate	VB	regulate VBP PennPOS
their	PRP$	their po32 NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
responses	NNS	response NNS PennPOS
to	TO	to p-acp NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
.	.	. . NUPOS

