Leucine-rich	JJ	leucine-rich JJ PennPOS
knockout	NN	knockout NN PennPOS
(	(	( ( NUPOS
KO	NN	ko NN PennPOS
)	)	) ) NUPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
an	DT	a dt NUPOS
animal	NN	animal NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
amount	NN	amount NN PennPOS
of	IN	of pp-f NUPOS
LRG	NNP	LRG NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
wild-type	JJ	wild-type JJ PennPOS
(	(	( ( NUPOS
WT	JJ	wt JJ PennPOS
)	)	) ) NUPOS
mice	NNS	mouse n2 NUPOS
was	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
by	IN	by IN PennPOS
bleomycin	NN	bleomycin NN PennPOS
administration	NN	administration NN PennPOS
prior	RB	prior RB PennPOS
to	TO	to p-acp NUPOS
fibrosis	NN	fibrosis NN PennPOS
development	NN	development NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
LRG	NNP	LRG NN PennPOS
KO	NNP	ko NN PennPOS
mice	NNS	mouse n2 NUPOS
,	,	, , NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
suppressed	VBN	suppress VBN PennPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
indicated	VBN	indicate VBN PennPOS
by	IN	by IN PennPOS
attenuated	VBN	attenuate VBN PennPOS
Masson	NNP	Masson np1 NUPOS
's	POS	's POS PennPOS
trichrome	NN	trichrome NN PennPOS
staining	NN	staining NN PennPOS
and	CC	and cc NUPOS
lower	JJR	low JJR PennPOS
collagen	NN	collagen NN PennPOS
content	NN	content NN PennPOS
than	IN	than cs NUPOS
those	DT	those d NUPOS
in	IN	in IN PennPOS
WT	NNP	wt NN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Moreover	RB	moreover av NUPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
LRG	NNP	LRG NN PennPOS
KO	NNP	ko NN PennPOS
mice	NNS	mouse n2 NUPOS
,	,	, , NUPOS
phosphorylation	NN	phosphorylation NN PennPOS
of	IN	of pp-f NUPOS
Smad2	NN	Smad2 NN PennPOS
was	VBD	be vbd NUPOS
reduced	VBN	reduce VBN PennPOS
and	CC	and cc NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
a-SMA	NN	a-SMA NN PennPOS
was	VBD	be vbd NUPOS
decreased	VBN	decrease VBN PennPOS
relative	JJ	relative JJ PennPOS
to	TO	to p-acp NUPOS
those	DT	those d NUPOS
in	IN	in IN PennPOS
WT	NNP	wt NN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
experiments	NNS	experiment NNS PennPOS
indicated	VBD	indicate VBD PennPOS
that	IN	that cst NUPOS
LRG	NNP	LRG NN PennPOS
enhanced	VBD	enhance VBD PennPOS
the	DT	the dt NUPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
of	IN	of pp-f NUPOS
Smad2	NN	Smad2 NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
Serpine1	NN	Serpine1 NN PennPOS
and	CC	and cc NUPOS
Acta2	NN	Acta2 NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
downstream	JJ	downstream JJ PennPOS
of	IN	of pp-f NUPOS
Smad2	NN	Smad2 NN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Although	IN	although cs NUPOS
endoglin	NN	endoglin NN PennPOS
,	,	, , NUPOS
an	DT	a dt NUPOS
accessory	JJ	accessory JJ PennPOS
TGF-b	NN	TGF-b NN PennPOS
receptor	NN	receptor NN PennPOS
,	,	, , NUPOS
is	VBZ	be vbz NUPOS
essential	JJ	essential JJ PennPOS
for	IN	for c-acp NUPOS
LRG	NNP	LRG NN PennPOS
to	TO	to p-acp NUPOS
promote	VB	promote VBP PennPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
endothelial	JJ	endothelial JJ PennPOS
cells	NNS	cell NNS PennPOS
during	IN	during pp NUPOS
angiogenesis	NN	angiogenesis NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
endoglin	NN	endoglin NN PennPOS
did	VBD	do vdd NUPOS
not	RB	not xx NUPOS
contribute	VB	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
ability	NN	ability NN PennPOS
of	IN	of pp-f NUPOS
LRG	NNP	LRG NN PennPOS
to	TO	to p-acp NUPOS
enhance	VB	enhance VBP PennPOS
Smad2	NN	Smad2 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Taken	VBN	take VBN PennPOS
together	RB	together av NUPOS
,	,	, , NUPOS
our	PRP$	our po12 NUPOS
data	NNS	datum NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
LRG	NNP	LRG NN PennPOS
promotes	VBZ	promote VBZ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
modulating	VBG	modulate VBG PennPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
Smad2	NN	Smad2 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
and	CC	and cc NUPOS
activating	VBG	activate VBG PennPOS
profibrotic	JJ	profibrotic JJ PennPOS
responses	NNS	response NNS PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

