Targeting	NN	Targeting NN PennPOS
and	CC	and cc NUPOS
resistance	NN	resistance NN PennPOS
to	TO	to p-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
bleomycin-challenged	JJ	bleomycin-challenged JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Administration	NN	administration NN PennPOS
of	IN	of pp-f NUPOS
SphK	NN	SphK NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
reduced	VBD	reduce VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
mortality	NN	mortality NN PennPOS
and	CC	and cc NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Knockdown	NNP	knockdown NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
or	CC	or cc NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
SphK	NN	SphK NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
S1P	NN	S1P NN PennPOS
generation	NN	generation NN PennPOS
and	CC	and cc NUPOS
TGF-b	NN	TGF-b NN PennPOS
secretion	NN	secretion NN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
mouse	NN	mouse NN PennPOS
model	NN	model NN PennPOS
that	WDT	that WDT PennPOS
was	VBD	be vbd NUPOS
accompanied	VBN	accompany VBN PennPOS
by	IN	by IN PennPOS
reduced	VBN	reduce VBN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
of	IN	of pp-f NUPOS
Smad2	NN	Smad2 NN PennPOS
and	CC	and cc NUPOS
MAPKs	NNS	mapk NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblast	NN	fibroblast NN PennPOS
was	VBD	be vbd NUPOS
found	VBN	find VBN PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
TGF-b	JJ	tgf-b JJ PennPOS
dependent	JJ	dependent JJ PennPOS
.	.	. . NUPOS

Taken	VBN	take VBN PennPOS
together	RB	together av NUPOS
,	,	, , NUPOS
these	DT	these d NUPOS
data	NNS	datum NNS PennPOS
indicate	VBP	indicate VBP PennPOS
that	IN	that cst NUPOS
SphK1	NN	SphK1 NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
critical	JJ	critical JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathology	NN	pathology NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
novel	JJ	novel JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
target	NN	target NN PennPOS
.	.	. . NUPOS

