Association	NNP	association NN PennPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
been	VBN	be vbn NUPOS
reported	VBN	report VBN PennPOS
to	TO	to p-acp NUPOS
improve	VB	improve VBP PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
oxygenation	NN	oxygenation NN PennPOS
and	CC	and cc NUPOS
survival	NN	survival NN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
although	IN	although cs NUPOS
its	PRP$	its po31 NUPOS
mechanism	NN	mechanism NN PennPOS
of	IN	of pp-f NUPOS
action	NN	action NN PennPOS
remains	VBZ	remain VBZ PennPOS
unknown	JJ	unknown JJ PennPOS
.	.	. . NUPOS

To	TO	to p-acp NUPOS
gain	VB	gain VBP PennPOS
insights	NNS	insight NNS PennPOS
into	IN	into pp NUPOS
the	DT	the dt NUPOS
pathobiology	NN	pathobiology NN PennPOS
of	IN	of pp-f NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
through	IN	through IN PennPOS
the	DT	the dt NUPOS
beneficial	JJ	beneficial JJ PennPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
analyzed	VBD	analyse VBD PennPOS
the	DT	the dt NUPOS
profile	NN	profile NN PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
adsorbed	VBN	adsorb VBN PennPOS
onto	IN	onto pp NUPOS
PMX-fibers	NNS	pmx-fiber NNS PennPOS
used	VBN	use VBN PennPOS
in	IN	in IN PennPOS
9	CD	9 crd NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
sera	NN	serum NNS PennPOS
of	IN	of pp-f NUPOS
these	DT	these d NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
patients	NNS	patient NNS PennPOS
collected	VBN	collect VBN PennPOS
immediately	RB	immediate av-j NUPOS
before	IN	before c-acp NUPOS
and	CC	and cc NUPOS
after	IN	after c-acp NUPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
,	,	, , NUPOS
9	CD	9 crd NUPOS
stable	JJ	stable JJ PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
and	CC	and cc NUPOS
8	CD	8 crd NUPOS
healthy	JJ	healthy JJ PennPOS
individuals	NNS	individual NNS PennPOS
were	VBD	be vbd NUPOS
also	RB	also av NUPOS
analyzed	VBN	analyse VBN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
serum	NN	serum NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
including	VBG	include VBG PennPOS
IL-9	NN	IL-9 NN PennPOS
,	,	, , NUPOS
IL-12	NN	IL-12 NN PennPOS
,	,	, , NUPOS
IL-17	NN	IL-17 NN PennPOS
,	,	, , NUPOS
PDGF	NN	PDGF NN PennPOS
and	CC	and cc NUPOS
VEGF	NN	vegf NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
decreased	VBN	decrease VBN PennPOS
immediately	RB	immediate av-j NUPOS
after	IN	after c-acp NUPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.02	CD	0.02 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
VEGF	NN	vegf NN PennPOS
and	CC	and cc NUPOS
IL-12	NN	IL-12 NN PennPOS
were	VBD	be vbd NUPOS
most	RBS	much RBS PennPOS
prominently	RB	prominent av-j NUPOS
reduced	VBN	reduce VBN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
to	TO	to p-acp NUPOS
PDGF	NN	PDGF NN PennPOS
and	CC	and cc NUPOS
VEGF	NN	vegf NN PennPOS
,	,	, , NUPOS
IL-1b	NN	IL-1b NN PennPOS
,	,	, , NUPOS
IL-1ra	NN	IL-1ra NN PennPOS
,	,	, , NUPOS
IL-8	NN	IL-8 NN PennPOS
,	,	, , NUPOS
IL-23	NN	IL-23 NN PennPOS
,	,	, , NUPOS
FGF	NN	FGF NN PennPOS
basic	JJ	basic JJ PennPOS
,	,	, , NUPOS
GM-CSF	NN	gm-csf NN PennPOS
,	,	, , NUPOS
IP-10	NN	IP-10 NN PennPOS
,	,	, , NUPOS
RANTES	NN	RANTES NN PennPOS
and	CC	and cc NUPOS
TGF-b	NN	TGF-b NN PennPOS
were	VBD	be vbd NUPOS
eluted	VBN	elute VBN PennPOS
from	IN	from pp NUPOS
used	VBN	use VBN PennPOS
PMX-fibers	NNS	pmx-fiber NNS PennPOS
.	.	. . NUPOS

Interestingly	RB	interesting RB PennPOS
,	,	, , NUPOS
improved	VBD	improve VBD PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
oxygenation	NN	oxygenation NN PennPOS
after	IN	after c-acp NUPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
was	VBD	be vbd NUPOS
correlated	VBN	correlate VBN PennPOS
well	RB	well av NUPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
quantities	NNS	quantity NNS PennPOS
of	IN	of pp-f NUPOS
eluted	VBN	elute VBN PennPOS
VEGF	NN	vegf NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
adsorption	NN	adsorption NN PennPOS
of	IN	of pp-f NUPOS
proinflammatory	JJ	proinflammatory JJ PennPOS
,	,	, , NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
and	CC	and cc NUPOS
proangiogenic	JJ	proangiogenic JJ PennPOS
cytokines	NNS	cytokine NNS PennPOS
onto	IN	onto pp NUPOS
PMX-fibers	NNS	pmx-fiber NNS PennPOS
is	VBZ	be vbz NUPOS
one	CD	one crd NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
action	NN	action NN PennPOS
of	IN	of pp-f NUPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
in	IN	in IN PennPOS
AE-IPF	NN	AE-IPF NN PennPOS
.	.	. . NUPOS

Notably	RB	notable av-j NUPOS
,	,	, , NUPOS
removal	NN	removal NN PennPOS
of	IN	of pp-f NUPOS
VEGF	NN	vegf NN PennPOS
by	IN	by IN PennPOS
PMX-DHP	NN	PMX-DHP NN PennPOS
may	MD	may vmb NUPOS
contribute	VB	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
rapid	JJ	rapid JJ PennPOS
improvement	NN	improvement NN PennPOS
in	IN	in IN PennPOS
oxygenation	NN	oxygenation NN PennPOS
by	IN	by IN PennPOS
suppressing	VBG	suppress VBG PennPOS
vascular	JJ	vascular JJ PennPOS
permeability	NN	permeability NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
.	.	. . NUPOS

