MicroRNA-101	NN	MicroRNA-101 NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
The	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
miR-101	NN	miR-101 NN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
was	VBD	be vbd NUPOS
studied	VBN	study VBN PennPOS
using	VBG	use VBG PennPOS
adenovirus-mediated	JJ	adenovirus-mediated JJ PennPOS
gene	NN	gene NN PennPOS
transfer	NN	transfer NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
miR-101	NN	miR-101 NN PennPOS
was	VBD	be vbd NUPOS
down-regulated	VBN	downregulate VBN PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
lungs	NNS	lung NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
bleomycin-treated	JJ	bleomycin-treated JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
down-regulation	NN	down-regulation NN PennPOS
of	IN	of pp-f NUPOS
miR-101	NN	miR-101 NN PennPOS
occurred	VBD	occur VBD PennPOS
via	IN	via IN PennPOS
the	DT	the dt NUPOS
E26	NN	E26 NN PennPOS
transformation-specific	JJ	transformation-specific JJ PennPOS
(	(	( ( NUPOS
ETS	NN	Ets NN PennPOS
)	)	) ) NUPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
.	.	. . NUPOS

miR-101	NN	miR-101 NN PennPOS
suppressed	VBD	suppress VBD PennPOS
the	DT	the dt NUPOS
WNT5a-induced	JJ	wnt5a-induced JJ PennPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
by	IN	by IN PennPOS
inhibiting	VBG	inhibit VBG PennPOS
NFATc2	NN	NFATc2 NN PennPOS
signaling	NN	signaling NN PennPOS
via	IN	via IN PennPOS
targeting	VBG	target VBG PennPOS
Frizzled	JJ	frizzle j-vvn NUPOS
receptor	NN	receptor NN PennPOS
4/6	CD	4/6 CD PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
by	IN	by IN PennPOS
inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
SMAD2/3	NN	SMAD2/3 NN PennPOS
signaling	NN	signaling NN PennPOS
via	IN	via IN PennPOS
targeting	VBG	target VBG PennPOS
the	DT	the dt NUPOS
TGF-b	NN	TGF-b NN PennPOS
receptor	NN	receptor NN PennPOS
1	CD	1 crd NUPOS
.	.	. . NUPOS

Adenovirus-mediated	JJ	adenovirus-mediated JJ PennPOS
miR-101	NN	miR-101 NN PennPOS
gene	NN	gene NN PennPOS
transfer	NN	transfer NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
mouse	NN	mouse NN PennPOS
lung	NN	lung NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
improved	VBD	improve VBD PennPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
data	NNS	datum NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
miR-101	NN	miR-101 NN PennPOS
is	VBZ	be vbz NUPOS
an	DT	a dt NUPOS
anti-fibrotic	JJ	anti-fibrotic JJ PennPOS
microRNA	NN	microRNA NN PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
potential	JJ	potential JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
target	NN	target NN PennPOS
for	IN	for c-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

