Amplification	NN	amplification NN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
time	NN	time NN PennPOS
-	:	- : NUPOS
and	CC	and cc NUPOS
concentration-dependent	JJ	concentration-dependent JJ PennPOS
manner	NN	manner NN PennPOS
.	.	. . NUPOS

TGFb1-induced	JJ	tgfb1-induced JJ PennPOS
ITGB6	NN	ITGB6 NN PennPOS
expression	NN	expression NN PennPOS
occurs	VBZ	occur VBZ PennPOS
via	IN	via IN PennPOS
transcriptional	JJ	transcriptional JJ PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
ITGB6	NN	ITGB6 NN PennPOS
gene	NN	gene NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
does	VBZ	do vdz NUPOS
not	RB	not xx NUPOS
result	VB	result VBP PennPOS
from	IN	from pp NUPOS
effects	NNS	effect NNS PennPOS
on	IN	on IN PennPOS
ITGB6	NN	ITGB6 NN PennPOS
mRNA	NN	mRNA NN PennPOS
stability	NN	stability NN PennPOS
.	.	. . NUPOS

Basal	JJ	basal JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
ITGB6	NN	ITGB6 NN PennPOS
in	IN	in IN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
avb6	NN	avb6 NN PennPOS
integrins	NNS	integrin NNS PennPOS
on	IN	on IN PennPOS
,	,	, , NUPOS
lung	NN	lung NN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
occurs	VBZ	occur VBZ PennPOS
via	IN	via IN PennPOS
homeostatic	JJ	homeostatic JJ PennPOS
avb6-mediated	JJ	avb6-mediated JJ PennPOS
TGFb1	NN	TGFb1 NN PennPOS
activation	NN	activation NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
absence	NN	absence NN PennPOS
of	IN	of pp-f NUPOS
exogenous	JJ	exogenous JJ PennPOS
stimulation	NN	stimulation NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
can	MD	can vmb NUPOS
be	VB	be vbi NUPOS
amplified	VBN	amplify VBN PennPOS
by	IN	by IN PennPOS
TGFb1	NN	TGFb1 NN PennPOS
activation	NN	activation NN PennPOS
.	.	. . NUPOS

Fundamentally	RB	fundamental RB PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
for	IN	for c-acp NUPOS
the	DT	the dt NUPOS
first	JJ	first JJ PennPOS
time	NN	time NN PennPOS
that	WDT	that WDT PennPOS
TGFb1-induced	JJ	tgfb1-induced JJ PennPOS
ITGB6	NN	ITGB6 NN PennPOS
expression	NN	expression NN PennPOS
occurs	VBZ	occur VBZ PennPOS
via	IN	via IN PennPOS
canonical	JJ	canonical JJ PennPOS
Smad	NN	SMAD NN PennPOS
signalling	NN	signalling NN PennPOS
since	IN	since c-acp NUPOS
dominant	JJ	dominant JJ PennPOS
negative	JJ	negative JJ PennPOS
constructs	NNS	construct NNS PennPOS
directed	VBN	direct VBN PennPOS
against	IN	against pp NUPOS
Smad3	NN	Smad3 NN PennPOS
and	CC	and cc NUPOS
4	CD	4 crd NUPOS
inhibit	VBP	inhibit VBP PennPOS
ITGB6	NN	ITGB6 NN PennPOS
transcriptional	JJ	transcriptional JJ PennPOS
activity	NN	activity NN PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
disruption	NN	disruption NN PennPOS
of	IN	of pp-f NUPOS
a	DT	a dt NUPOS
Smad	NN	SMAD NN PennPOS
binding	NN	binding NN PennPOS
site	NN	site NN PennPOS
at	IN	at pp NUPOS
-798	CD	-798 CD PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
ITGB6	NN	ITGB6 NN PennPOS
promoter	NN	promoter NN PennPOS
abolishes	VBZ	abolish VBZ PennPOS
TGFb1-induced	JJ	tgfb1-induced JJ PennPOS
ITGB6	NN	ITGB6 NN PennPOS
transcriptional	JJ	transcriptional JJ PennPOS
activity	NN	activity NN PennPOS
.	.	. . NUPOS

Using	VBG	use VBG PennPOS
chromatin	NN	chromatin NN PennPOS
immunoprecipitation	NN	immunoprecipitation NN PennPOS
we	PRP	we pns12 NUPOS
demonstrate	VBP	demonstrate VBP PennPOS
that	IN	that cst NUPOS
TGFb1	NN	TGFb1 NN PennPOS
stimulation	NN	stimulation NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
results	VBZ	result VBZ PennPOS
in	IN	in IN PennPOS
direct	JJ	direct JJ PennPOS
binding	NN	binding NN PennPOS
of	IN	of pp-f NUPOS
Smad3	NN	Smad3 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
Smad4	NN	Smad4 NN PennPOS
,	,	, , NUPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
ITGB6	NN	ITGB6 NN PennPOS
gene	NN	gene NN PennPOS
promoter	NN	promoter NN PennPOS
within	IN	within pp NUPOS
this	DT	this d NUPOS
region	NN	region NN PennPOS
.	.	. . NUPOS

Finally	RB	final av-j NUPOS
,	,	, , NUPOS
using	VBG	use VBG PennPOS
an	DT	a dt NUPOS
adenoviral	JJ	adenoviral JJ PennPOS
TGFb1	NN	TGFb1 NN PennPOS
over-expression	NN	over-expression NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
we	PRP	we pns12 NUPOS
demonstrate	VBP	demonstrate VBP PennPOS
that	IN	that cst NUPOS
Smad3	NN	Smad3 NN PennPOS
is	VBZ	be vbz NUPOS
crucial	JJ	crucial JJ PennPOS
for	IN	for c-acp NUPOS
TGFb1-induced	JJ	tgfb1-induced JJ PennPOS
avb6	NN	avb6 NN PennPOS
integrin	NN	integrin NN PennPOS
expression	NN	expression NN PennPOS
within	IN	within pp NUPOS
the	DT	the dt NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelium	NN	epithelium NN PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
.	.	. . NUPOS

Together	RB	together av NUPOS
,	,	, , NUPOS
these	DT	these d NUPOS
data	NNS	datum NNS PennPOS
confirm	VBP	confirm VBP PennPOS
that	IN	that cst NUPOS
a	DT	a dt NUPOS
homeostatic	JJ	homeostatic JJ PennPOS
,	,	, , NUPOS
autocrine	JJ	autocrine JJ PennPOS
loop	NN	loop NN PennPOS
of	IN	of pp-f NUPOS
avb6	NN	avb6 NN PennPOS
integrin	NN	integrin NN PennPOS
activated	VBD	activate VBD PennPOS
TGFb1-induced	JJ	tgfb1-induced JJ PennPOS
ITGB6	NN	ITGB6 NN PennPOS
gene	NN	gene NN PennPOS
expression	NN	expression NN PennPOS
regulates	VBZ	regulate VBZ PennPOS
epithelial	JJ	epithelial JJ PennPOS
basal	JJ	basal JJ PennPOS
avb6	NN	avb6 NN PennPOS
integrin	NN	integrin NN PennPOS
expression	NN	expression NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
demonstrates	VBZ	demonstrate VBZ PennPOS
that	IN	that cst NUPOS
this	DT	this d NUPOS
occurs	VBZ	occur VBZ PennPOS
via	IN	via IN PennPOS
Smad-dependent	JJ	smad-dependent JJ PennPOS
transcriptional	JJ	transcriptional JJ PennPOS
regulation	NN	regulation NN PennPOS
at	IN	at pp NUPOS
a	DT	a dt NUPOS
single	JJ	single JJ PennPOS
Smad	NN	SMAD NN PennPOS
binding	NN	binding NN PennPOS
site	NN	site NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
promoter	NN	promoter NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
b6	NN	b6 NN PennPOS
subunit	NN	subunit NN PennPOS
gene	NN	gene NN PennPOS
.	.	. . NUPOS

Active	JJ	active JJ PennPOS
TGFb1	NN	TGFb1 NN PennPOS
amplifies	VBZ	amplify VBZ PennPOS
this	DT	this d NUPOS
pathway	NN	pathway NN PennPOS
both	CC	both CC PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
and	CC	and cc NUPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
may	MD	may vmb NUPOS
promote	VB	promote VBP PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

