MiR-185	NN	MiR-185 NN PennPOS
.	.	. . NUPOS

Importantly	RB	important av-j NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
downregulation	NN	downregulation NN PennPOS
of	IN	of pp-f NUPOS
miR-29a	NN	miR-29a NN PennPOS
inversely	RB	inverse av-j NUPOS
correlated	VBD	correlate VBD PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
significantly	RB	significant av-j NUPOS
increased	VBN	increase VBN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
COL1A1	NN	COL1A1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
in	IN	in IN PennPOS
IPF	NNP	IPF NN PennPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Collagen	NNP	collagen NN PennPOS
1	CD	1 crd NUPOS
a	DT	a dt NUPOS
was	VBD	be vbd NUPOS
found	VBN	find VBN PennPOS
mainly	RB	main av-j NUPOS
overexpressed	VBN	overexpress VBN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
and	CC	and cc NUPOS
not	RB	not xx NUPOS
other	JJ	other JJ PennPOS
cell	NN	cell NN PennPOS
types	NNS	type NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
BAL	NN	bal NN PennPOS
by	IN	by IN PennPOS
immunofluorescence	NN	immunofluorescence NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
view	NN	view NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
downregulation	NN	downregulation NN PennPOS
of	IN	of pp-f NUPOS
miR-185	NN	miR-185 NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
tested	VBD	test VBD PennPOS
the	DT	the dt NUPOS
response	NN	response NN PennPOS
of	IN	of pp-f NUPOS
THP-1	NN	THP-1 NN PennPOS
macrophages	NNS	macrophage NNS PennPOS
to	TO	to p-acp NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
cytokine	NN	cytokine NN PennPOS
TGFb	NN	Tgfb NN PennPOS
and	CC	and cc NUPOS
observed	VBD	observe VBD PennPOS
the	DT	the dt NUPOS
downregulation	NN	downregulation NN PennPOS
of	IN	of pp-f NUPOS
miR-185	NN	miR-185 NN PennPOS
.	.	. . NUPOS

Conversely	RB	converse RB PennPOS
,	,	, , NUPOS
proinflammatory	JJ	proinflammatory JJ PennPOS
stimulation	NN	stimulation NN PennPOS
lead	NN	lead NN PennPOS
to	TO	to p-acp NUPOS
miR-185	NN	miR-185 NN PennPOS
upregulation	NN	upregulation NN PennPOS
.	.	. . NUPOS

Upon	IN	upon IN PennPOS
examination	NN	examination NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
known	JJ	known j-vvn NUPOS
miR-185	NN	miR-185 NN PennPOS
targets	NNS	target NNS PennPOS
AKT1	NN	AKT1 NN PennPOS
,	,	, , NUPOS
DNMT1	NN	DNMT1 NN PennPOS
and	CC	and cc NUPOS
HMGA2	NN	HMGA2 NN PennPOS
,	,	, , NUPOS
no	DT	no dx NUPOS
significant	JJ	significant JJ PennPOS
correlations	NNS	correlation NNS PennPOS
were	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
increased	VBN	increase VBN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
total	JJ	total JJ PennPOS
AKT	NNP	akt NN PennPOS
and	CC	and cc NUPOS
AKTser473	NN	AKTser473 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
were	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IPF	NNP	IPF NN PennPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
miR-185	NN	miR-185 NN PennPOS
inhibition	NN	inhibition NN PennPOS
in	IN	in IN PennPOS
THP-1	NN	THP-1 NN PennPOS
macrophages	NNS	macrophage NNS PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
significant	JJ	significant JJ PennPOS
increase	NN	increase NN PennPOS
of	IN	of pp-f NUPOS
AKTser473	NN	AKTser473 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
study	NN	study NN PennPOS
highlights	VBZ	highlight VBZ PennPOS
the	DT	the dt NUPOS
importance	NN	importance NN PennPOS
of	IN	of pp-f NUPOS
BAL	NN	bal NN PennPOS
microRNA	NN	microRNA NN PennPOS
signatures	NNS	signature n2 NUPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
identifies	VBZ	identify VBZ PennPOS
significant	JJ	significant JJ PennPOS
differences	NNS	difference NNS PennPOS
in	IN	in IN PennPOS
miR-185	NN	miR-185 NN PennPOS
/	:	/ : NUPOS
AKT	NN	akt NN PennPOS
and	CC	and cc NUPOS
miR-29a	NN	miR-29a NN PennPOS
/	:	/ : NUPOS
collagen	NN	collagen NN PennPOS
axes	NNS	axis NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

