Overproduction	NN	overproduction NN PennPOS
in	IN	in IN PennPOS
increased	VBN	increase VBN PennPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
suppressed	VBD	suppress VBD PennPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
.	.	. . NUPOS

IFN-gamma	NN	IFN-gamma NN PennPOS
suppressed	VBD	suppress VBD PennPOS
spontaneous	JJ	spontaneous JJ PennPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
even	RB	even av-j NUPOS
in	IN	in IN PennPOS
SOCS1-deficient	JJ	socs1-deficient JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
indicating	VBG	indicate VBG PennPOS
that	IN	that cst NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
inhibition	NN	inhibition NN PennPOS
is	VBZ	be vbz NUPOS
SOCS1-independent	JJ	socs1-independent JJ PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
contrast	NN	contrast NN PennPOS
,	,	, , NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
suppressed	VBD	suppress VBD PennPOS
the	DT	the dt NUPOS
increase	NN	increase NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
induced	VBN	induce VBN PennPOS
by	IN	by IN PennPOS
IL-4	NN	IL-4 NN PennPOS
in	IN	in IN PennPOS
wild	JJ	wild JJ PennPOS
type	NN	type NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
SOCS1-deficient	JJ	socs1-deficient JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
suggesting	VBG	suggest VBG PennPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
acted	VBD	act VBD PennPOS
exclusively	RB	exclusive av-j NUPOS
via	IN	via IN PennPOS
SOCS1	NN	SOCS1 NN PennPOS
in	IN	in IN PennPOS
this	DT	this d NUPOS
case	NN	case NN PennPOS
.	.	. . NUPOS

Following	VBG	follow VBG PennPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
stimulation	NN	stimulation NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
amount	NN	amount NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
expressed	VBN	express VBN PennPOS
by	IN	by IN PennPOS
IPF	NN	IPF NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
was	VBD	be vbd NUPOS
comparable	JJ	comparable JJ PennPOS
to	TO	to p-acp NUPOS
that	DT	that d NUPOS
of	IN	of pp-f NUPOS
normal	JJ	normal JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Thus	RB	thus av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
extent	NN	extent NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
increase	NN	increase NN PennPOS
after	IN	after c-acp NUPOS
stimulation	NN	stimulation NN PennPOS
by	IN	by IN PennPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
extent	NN	extent NN PennPOS
to	TO	to p-acp NUPOS
which	WDT	which r-crq NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
inhibited	VBD	inhibit VBD PennPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
larger	JJR	large JJR PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
than	IN	than cs NUPOS
in	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
exaggerated	JJ	exaggerated JJ PennPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
is	VBZ	be vbz NUPOS
causally	RB	causal RB PennPOS
related	JJ	related JJ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
diminished	VBN	diminish VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
are	VBP	be vbb NUPOS
more	RBR	much RBR PennPOS
susceptible	JJ	susceptible JJ PennPOS
to	TO	to p-acp NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
because	IN	because c-acp NUPOS
of	IN	of pp-f NUPOS
decreased	VBN	decrease VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SOCS1	NN	SOCS1 NN PennPOS
.	.	. . NUPOS

