Secreted	VBN	secrete VBN PennPOS
Knockdown	NNP	knockdown NN PennPOS
of	IN	of pp-f NUPOS
SPARC	NNP	sparc NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
using	VBG	use VBG PennPOS
siRNA	NN	siRNA NN PennPOS
or	CC	or cc NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
antioxidant	JJ	antioxidant JJ PennPOS
N-acetylcysteine	NN	N-acetylcysteine NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
injury	NN	injury NN PennPOS
induced	VBN	induce VBN PennPOS
by	IN	by IN PennPOS
TGF-b-activated	JJ	tgf-b-activated JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
coculture	NN	coculture NN PennPOS
system	NN	system NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
also	RB	also av NUPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
SPARC	NNP	sparc NN PennPOS
was	VBD	be vbd NUPOS
required	VBN	require VBN PennPOS
for	IN	for c-acp NUPOS
hydrogen	NN	hydrogen NN PennPOS
peroxide	NN	peroxide NN PennPOS
(	(	( ( NUPOS
H2O2	NN	H2O2 NN PennPOS
)	)	) ) NUPOS
production	NN	production NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
treated	VBN	treat VBN PennPOS
with	IN	with pp NUPOS
TGF-b	NN	TGF-b NN PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
TGF-b	NN	TGF-b NN PennPOS
activated	VBD	activate VBD PennPOS
integrin-linked-kinase	NN	integrin-linked-kinase NN PennPOS
(	(	( ( NUPOS
ILK	NN	ilk NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
was	VBD	be vbd NUPOS
inhibited	VBN	inhibit VBN PennPOS
by	IN	by IN PennPOS
SPARC	NNP	sparc NN PennPOS
siRNA	NNP	siRNA NNP PennPOS
.	.	. . NUPOS

Knockdown	NNP	knockdown NN PennPOS
of	IN	of pp-f NUPOS
ILK	NNP	ilk NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
extracellular	JJ	extracellular JJ PennPOS
H2O2	NN	H2O2 NN PennPOS
generation	NN	generation NN PennPOS
in	IN	in IN PennPOS
TGF-b-stimulated	JJ	tgf-b-stimulated JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
results	NNS	result NNS PennPOS
indicated	VBD	indicate VBD PennPOS
that	IN	that cst NUPOS
SPARC	NNP	sparc NN PennPOS
is	VBZ	be vbz NUPOS
upregulated	VBN	upregulate VBN PennPOS
by	IN	by IN PennPOS
TGF-b	NN	TGF-b NN PennPOS
and	CC	and cc NUPOS
is	VBZ	be vbz NUPOS
required	VBN	require VBN PennPOS
for	IN	for c-acp NUPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
H2O2	NN	H2O2 NN PennPOS
production	NN	production NN PennPOS
via	IN	via IN PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
ILK	NNP	ilk NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
this	DT	this d NUPOS
H2O2	NN	H2O2 NN PennPOS
production	NN	production NN PennPOS
from	IN	from pp NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
is	VBZ	be vbz NUPOS
capable	JJ	capable JJ PennPOS
of	IN	of pp-f NUPOS
causing	VBG	cause VBG PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
injury	NN	injury NN PennPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
results	NNS	result NNS PennPOS
presented	VBN	present VBN PennPOS
in	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
SPARC	NNP	sparc NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
damage	NN	damage NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
via	IN	via IN PennPOS
enhanced	VBN	enhance VBN PennPOS
H2O2	NN	H2O2 NN PennPOS
production	NN	production NN PennPOS
from	IN	from pp NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
activated	VBN	activate VBN PennPOS
by	IN	by IN PennPOS
TGF-b	NN	TGF-b NN PennPOS
.	.	. . NUPOS

Therefore	RB	therefore av NUPOS
,	,	, , NUPOS
SPARC	NN	sparc NN PennPOS
inhibition	NN	inhibition NN PennPOS
may	MD	may vmb NUPOS
prevent	VB	prevent VBP PennPOS
epithelial	JJ	epithelial JJ PennPOS
injury	NN	injury NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
and	CC	and cc NUPOS
represent	VBP	represent VBP PennPOS
a	DT	a dt NUPOS
potential	JJ	potential JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
approach	NN	approach NN PennPOS
for	IN	for c-acp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

