Mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
[	(	[ ( NUPOS
3H	NN	3H NN PennPOS
]	)	] ) NUPOS
-	:	- : NUPOS
thymidine	NN	thymidine NN PennPOS
incorporation	NN	incorporation NN PennPOS
and	CC	and cc NUPOS
fibroblast	NN	fibroblast NN PennPOS
growth	NN	growth NN PennPOS
was	VBD	be vbd NUPOS
restored	VBN	restore VBN PennPOS
after	IN	after c-acp NUPOS
neutralization	NN	neutralization NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
by	IN	by IN PennPOS
specific	JJ	specific JJ PennPOS
antibodies	NNS	antibody NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
contrast	NN	contrast NN PennPOS
,	,	, , NUPOS
AM	VBP	be vbm NUPOS
supernatants	NNS	supernatant NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
PMF	NN	PMF NN PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
promoted	VBD	promote VBD PennPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
treatment	NN	treatment NN PennPOS
by	IN	by IN PennPOS
acidification	NN	acidification NN PennPOS
did	VBD	do vdd NUPOS
not	RB	not xx NUPOS
modify	VB	modify VBP PennPOS
this	DT	this d NUPOS
effect	NN	effect NN PennPOS
.	.	. . NUPOS

(	(	( ( NUPOS
ABSTRACT	NN	abstract NN PennPOS
TRUNCATED	VBN	truncate VBN PennPOS
AT	IN	at pp NUPOS
250	CD	250 CD PennPOS
WORDS	NNS	word NNS PennPOS
)	)	) ) NUPOS
