[	(	[ ( NUPOS
PDGF	NN	PDGF NN PennPOS
,	,	, , NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
in	IN	in IN PennPOS
TBLB	NN	TBLB NN PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
,	,	, , NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
mainly	RB	main av-j NUPOS
existed	VBD	exist VBD PennPOS
at	IN	at pp NUPOS
tiny	JJ	tiny JJ PennPOS
bronchial	JJ	bronchial JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
type-II	JJ	type-ii JJ PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
,	,	, , NUPOS
showing	VBG	show VBG PennPOS
strong	JJ	strong JJ PennPOS
expression	NN	expression NN PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
controls	NNS	control NNS PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

PDGF	NN	PDGF NN PennPOS
mainly	RB	main av-j NUPOS
existed	VBD	exist VBD PennPOS
at	IN	at pp NUPOS
fibroblast-like	JJ	fibroblast-like JJ PennPOS
cells	NNS	cell NNS PennPOS
surrounding	VBG	surround VBG PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
vessels	NNS	vessel NNS PennPOS
,	,	, , NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
tiny	JJ	tiny JJ PennPOS
bronchial	JJ	bronchial JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
type-II	JJ	type-ii JJ PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
,	,	, , NUPOS
showing	VBG	show VBG PennPOS
strong	JJ	strong JJ PennPOS
expression	NN	expression NN PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
controls	NNS	control NNS PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
PDGF	NN	PDGF NN PennPOS
and	CC	and cc NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
interact	VBP	interact VBP PennPOS
with	IN	with pp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
are	VBP	be vbb NUPOS
involved	VBN	involve VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
formation	NN	formation NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

