Type	NN	type NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
efficacy	NN	efficacy NN PennPOS
of	IN	of pp-f NUPOS
nebulized	JJ	nebulized JJ PennPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
pre-clinical	JJ	pre-clinical JJ PennPOS
IPF	NN	IPF NN PennPOS
models	NNS	model NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
expression	NN	expression NN PennPOS
profile	NN	profile NN PennPOS
was	VBD	be vbd NUPOS
analyzed	VBN	analyse VBN PennPOS
in	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
human	JJ	human JJ PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
tissues	NNS	tissue NNS PennPOS
.	.	. . NUPOS

C57-BL6	NN	C57-BL6 NN PennPOS
mice	NNS	mouse n2 NUPOS
were	VBD	be vbd NUPOS
intratracheally	RB	intratracheal RB PennPOS
instilled	VBN	instil vvn NUPOS
with	IN	with pp NUPOS
bleomycin	NN	bleomycin NN PennPOS
(	(	( ( NUPOS
0.025	CD	0.025 CD PennPOS
U	NN	u NN PennPOS
)	)	) ) NUPOS
followed	VBN	follow VBN PennPOS
by	IN	by IN PennPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
nebulization	NN	nebulization NN PennPOS
at	IN	at pp NUPOS
pre	JJ	pre JJ PennPOS
-	:	- : NUPOS
/	:	/ : NUPOS
post-fibrotic	JJ	post-fibrotic JJ PennPOS
stage	NN	stage NN PennPOS
and	CC	and cc NUPOS
analyzed	VBN	analyse VBN PennPOS
for	IN	for c-acp NUPOS
systemic	JJ	systemic JJ PennPOS
and	CC	and cc NUPOS
local	JJ	local JJ PennPOS
responses	NNS	response NNS PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
Compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
,	,	, , NUPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
had	VBD	have vhd NUPOS
higher	JJR	high JJR PennPOS
protein	NN	protein NN PennPOS
and	CC	and cc NUPOS
transcript	NN	transcript NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
alpha	NN	alpha NN PennPOS
1	CD	1 crd NUPOS
chain	NN	chain NN PennPOS
of	IN	of pp-f NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Systemic	JJ	systemic JJ PennPOS
anti-col	JJ	anti-col JJ PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
antibody	NN	antibody NN PennPOS
concentrations	NNS	concentration NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
of	IN	of pp-f NUPOS
anti-col	JJ	anti-col JJ PennPOS
(	(	( ( NUPOS
I	PRP	i pns11 NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
were	VBD	be vbd NUPOS
higher	JJR	high JJR PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

Nebulized	VBN	nebulize VBN PennPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
prevented	VBD	prevent VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
collagen	NN	collagen NN PennPOS
deposition	NN	deposition NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
.	.	. . NUPOS

Col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
treatment	NN	treatment NN PennPOS
suppressed	VBD	suppress VBD PennPOS
systemic	JJ	systemic JJ PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
anti-col	JJ	anti-col JJ PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
antibodies	NNS	antibody NNS PennPOS
,	,	, , NUPOS
IL-6	NN	IL-6 NN PennPOS
and	CC	and cc NUPOS
TNF-a	NN	TNF-a NN PennPOS
;	:	; : NUPOS
and	CC	and cc NUPOS
local	JJ	local JJ PennPOS
Il-17a	NN	Il-17a NN PennPOS
transcripts	NNS	transcript NNS PennPOS
.	.	. . NUPOS

Compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
controls	NNS	control NNS PennPOS
,	,	, , NUPOS
nebulized	JJ	nebulized JJ PennPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
tolerance	NN	tolerance NN PennPOS
abrogated	VBD	abrogate VBD PennPOS
antigen-specific	JJ	antigen-specific JJ PennPOS
proliferation	NN	proliferation NN PennPOS
in	IN	in IN PennPOS
mediastinal	JJ	mediastinal JJ PennPOS
lymphocytes	NNS	lymphocyte NNS PennPOS
and	CC	and cc NUPOS
production	NN	production NN PennPOS
of	IN	of pp-f NUPOS
IL-17A	NN	IL-17A NN PennPOS
,	,	, , NUPOS
IL-6	NN	IL-6 NN PennPOS
,	,	, , NUPOS
TNF-a	NN	TNF-a NN PennPOS
and	CC	and cc NUPOS
IFN-y	NN	IFN-y NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
a	DT	a dt NUPOS
clinically	RB	clinical RB PennPOS
relevant	JJ	relevant JJ PennPOS
established	JJ	established JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
model	NN	model NN PennPOS
,	,	, , NUPOS
nebulized	JJ	nebulized JJ PennPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
decreased	VBD	decrease VBD PennPOS
collagen	NN	collagen NN PennPOS
deposition	NN	deposition NN PennPOS
.	.	. . NUPOS

mRNA	NN	mRNA NN PennPOS
array	NN	array NN PennPOS
revealed	VBD	reveal VBD PennPOS
downregulation	NN	downregulation NN PennPOS
of	IN	of pp-f NUPOS
genes	NNS	gene NNS PennPOS
specific	JJ	specific JJ PennPOS
to	TO	to p-acp NUPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
Tgf-b	NN	Tgf-b NN PennPOS
,	,	, , NUPOS
Il-1b	NN	Il-1b NN PennPOS
,	,	, , NUPOS
Pdgfb	NN	Pdgfb NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
matrix	NN	matrix NN PennPOS
(	(	( ( NUPOS
Acta2	NN	Acta2 NN PennPOS
,	,	, , NUPOS
Col1a2	NN	Col1a2 NN PennPOS
,	,	, , NUPOS
Col3a1	NN	Col3a1 NN PennPOS
,	,	, , NUPOS
Lox	NN	lox NN PennPOS
,	,	, , NUPOS
Itgb1/6	NN	Itgb1/6 NN PennPOS
,	,	, , NUPOS
Itga2/3	NN	Itga2/3 NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
members	NNS	member NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
TGF-b	NN	TGF-b NN PennPOS
superfamily	NN	superfamily NN PennPOS
(	(	( ( NUPOS
Tgfbr1/2	NN	Tgfbr1/2 NN PennPOS
,	,	, , NUPOS
Smad2/3	NN	Smad2/3 NN PennPOS
,	,	, , NUPOS
Ltbp1	NN	Ltbp1 NN PennPOS
,	,	, , NUPOS
Serpine1	NN	Serpine1 NN PennPOS
,	,	, , NUPOS
Nfkb/Sp1/Cebpb	NN	Nfkb/Sp1/Cebpb NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
Anti-col	NN	Anti-col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity NN PennPOS
is	VBZ	be vbz NUPOS
pathogenic	JJ	pathogenic JJ PennPOS
in	IN	in IN PennPOS
IPF	NNP	IPF NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
tolerance	NN	tolerance NN PennPOS
abrogates	VBZ	abrogate VBZ PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
fibrogenesis	NN	fibrogenesis NN PennPOS
and	CC	and cc NUPOS
down	RB	down a-acp NUPOS
regulates	VBZ	regulate VBZ PennPOS
TGF	NN	tgf NN PennPOS
--	:	-- : NUPOS
b-related	JJ	b-related JJ PennPOS
signaling	NN	signaling NN PennPOS
pathways	NNS	pathway n2 NUPOS
.	.	. . NUPOS

