Data	NNS	datum NNS PennPOS
COL1A2	NN	COL1A2 NN PennPOS
and	CC	and cc NUPOS
regulated	VBN	regulate VBN PennPOS
COL1	NN	COL1 NN PennPOS
.	.	. . NUPOS

Further	RB	further av-jc NUPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
scleroderma	NN	scleroderma NN PennPOS
(	(	( ( NUPOS
SSc	NN	ssc NN PennPOS
)	)	) ) NUPOS
lung	NN	lung NN PennPOS
and	CC	and cc NUPOS
diffuse	JJ	diffuse JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
damage	NN	damage NN PennPOS
lung	NN	lung NN PennPOS
sections	NNS	section NNS PennPOS
,	,	, , NUPOS
CUX1	NN	CUX1 NN PennPOS
localized	JJ	localized JJ PennPOS
within	IN	within pp NUPOS
the	DT	the dt NUPOS
a	SYM	a sy NUPOS
-	:	- : NUPOS
smooth	JJ	smooth JJ PennPOS
muscle	NN	muscle NN PennPOS
actin	NN	actin NN PennPOS
(	(	( ( NUPOS
a-SMA	NN	a-SMA NN PennPOS
)	)	) ) NUPOS
positive	JJ	positive JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
Fragiadaki	NNP	Fragiadaki NNP PennPOS
et	FW	et fw-fr NUPOS
al.	FW	al. FW PennPOS
,	,	, , NUPOS
2011	CD	2011 CD PennPOS
)	)	) ) NUPOS
[	(	[ ( NUPOS
1	CD	1 crd NUPOS
]	)	] ) NUPOS
,	,	, , NUPOS
``	``	`` `` NONE
High	JJ	high JJ PennPOS
doses	NNS	dose NNS PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
potently	RB	potent av-j NUPOS
suppress	VBP	suppress VBP PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
collagen	NN	collagen NN PennPOS
via	IN	via IN PennPOS
the	DT	the dt NUPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
CUX1	NN	CUX1 NN PennPOS
''	''	'' '' NONE
(	(	( ( NUPOS
Ikeda	NNP	Ikeda NNP PennPOS
et	FW	et fw-fr NUPOS
al.	FW	al. FW PennPOS
,	,	, , NUPOS
2016	CD	2016 CD PennPOS
)	)	) ) NUPOS
[	(	[ ( NUPOS
2	CD	2 crd NUPOS
]	)	] ) NUPOS
.	.	. . NUPOS

Here	RB	here av NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
that	IN	that cst NUPOS
CUX1	NN	CUX1 NN PennPOS
isoforms	NNS	isoform NNS PennPOS
are	VBP	be vbb NUPOS
localized	JJ	localized JJ PennPOS
within	IN	within pp NUPOS
a-smooth-muscle-actin-positive	JJ	a-smooth-muscle-actin-positive JJ PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
SSc	NN	ssc NN PennPOS
skin	NN	skin NN PennPOS
and	CC	and cc NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
sections	NNS	section NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
particular	JJ	particular JJ PennPOS
,	,	, , NUPOS
at	IN	at pp NUPOS
the	DT	the dt NUPOS
granular	JJ	granular JJ PennPOS
and	CC	and cc NUPOS
prickle	NN	prickle NN PennPOS
cell	NN	cell NN PennPOS
layers	NNS	layer NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
SSc	NN	ssc NN PennPOS
skin	NN	skin NN PennPOS
sections	NNS	section NNS PennPOS
,	,	, , NUPOS
CUX1	NN	CUX1 NN PennPOS
and	CC	and cc NUPOS
a-SMA	NN	a-SMA NN PennPOS
are	VBP	be vbb NUPOS
co-localized	VBN	colocalize VBN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
,	,	, , NUPOS
at	IN	at pp NUPOS
the	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
loci	NNS	locus NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
sections	NNS	section NNS PennPOS
,	,	, , NUPOS
CUX1	NN	CUX1 NN PennPOS
localized	JJ	localized JJ PennPOS
within	IN	within pp NUPOS
the	DT	the dt NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
a-SMA	NN	a-SMA NN PennPOS
)	)	) ) NUPOS
positive	JJ	positive JJ PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

