Syndecan-2	NN	Syndecan-2 NN PennPOS
in	IN	in IN PennPOS
macrophages	NNS	macrophage NNS PennPOS
were	VBD	be vbd NUPOS
developed	VBN	develop VBN PennPOS
to	TO	to p-acp NUPOS
test	VB	test VBP PennPOS
the	DT	the dt NUPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
properties	NNS	property NNS PennPOS
of	IN	of pp-f NUPOS
syndecan-2	NN	syndecan-2 NN PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
assays	NNS	assay n2 NUPOS
were	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
syndecan-2-dependent	JJ	syndecan-2-dependent JJ PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TbRI	NN	TbRI NN PennPOS
internalization	NN	internalization NN PennPOS
and	CC	and cc NUPOS
apoptosis	NN	apoptosis NN PennPOS
.	.	. . NUPOS

Wild-type	JJ	wild-type JJ PennPOS
mice	NNS	mouse n2 NUPOS
were	VBD	be vbd NUPOS
treated	VBN	treat VBN PennPOS
with	IN	with pp NUPOS
recombinant	JJ	recombinant JJ PennPOS
human	JJ	human JJ PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
during	IN	during pp NUPOS
the	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
phase	NN	phase NN PennPOS
of	IN	of pp-f NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
lung	NN	lung NN PennPOS
injury	NN	injury NN PennPOS
.	.	. . NUPOS

MEASUREMENTS	NNS	measurement NNS PennPOS
AND	CC	and cc NUPOS
MAIN	NNS	main NN PennPOS
RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
We	PRP	we pns12 NUPOS
observed	VBD	observe VBD PennPOS
significant	JJ	significant JJ PennPOS
increases	NNS	increase NNS PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
macrophage	NN	macrophage NN PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Macrophage-specific	JJ	macrophage-specific JJ PennPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
in	IN	in IN PennPOS
transgenic	JJ	transgenic JJ PennPOS
mice	NNS	mouse n2 NUPOS
conferred	VBD	confer VBD PennPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
effects	NNS	effect NNS PennPOS
after	IN	after c-acp NUPOS
lung	NN	lung NN PennPOS
injury	NN	injury NN PennPOS
by	IN	by IN PennPOS
inhibiting	VBG	inhibit VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
and	CC	and cc NUPOS
downstream	JJ	downstream JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
target	NN	target NN PennPOS
genes	NNS	gene NNS PennPOS
,	,	, , NUPOS
reducing	VBG	reduce VBG PennPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
production	NN	production NN PennPOS
and	CC	and cc NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
apoptosis	NN	apoptosis NN PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
syndecan-2	NN	syndecan-2 NN PennPOS
promoted	VBD	promote VBD PennPOS
caveolin-1-dependent	JJ	caveolin-1-dependent JJ PennPOS
internalization	NN	internalization NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
TbRI	NN	TbRI NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
inhibited	VBD	inhibit VBD PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
and	CC	and cc NUPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
apoptosis	NN	apoptosis NN PennPOS
.	.	. . NUPOS

Therapeutic	JJ	therapeutic JJ PennPOS
administration	NN	administration NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
abrogated	VBD	abrogate VBD PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
Alveolar	JJ	alveolar JJ PennPOS
macrophage	NN	macrophage NN PennPOS
syndecan-2	NN	syndecan-2 NN PennPOS
exerts	VBZ	exert VBZ PennPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
effects	NNS	effect NNS PennPOS
by	IN	by IN PennPOS
promoting	VBG	promote VBG PennPOS
caveolin-1-dependent	JJ	caveolin-1-dependent JJ PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
TbRI	NN	TbRI NN PennPOS
internalization	NN	internalization NN PennPOS
and	CC	and cc NUPOS
inhibiting	VBG	inhibit VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Hence	RB	hence av NUPOS
,	,	, , NUPOS
molecules	NNS	molecule NNS PennPOS
that	WDT	that WDT PennPOS
facilitate	VBP	facilitate VBP PennPOS
TbRI	NN	TbRI NN PennPOS
degradation	NN	degradation NN PennPOS
via	IN	via IN PennPOS
endocytosis	NN	endocytosis NN PennPOS
represent	VBP	represent VBP PennPOS
potential	JJ	potential JJ PennPOS
therapies	NNS	therapy NNS PennPOS
for	IN	for c-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

