Regulation	NN	regulation NN PennPOS
.	.	. . NUPOS

TGF-beta	NN	TGF-beta NN PennPOS
latency	NN	latency NN PennPOS
binding	NN	binding NN PennPOS
protein	NN	protein NN PennPOS
1	CD	1 crd NUPOS
(	(	( ( NUPOS
LTBP-1	NN	LTBP-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
facilitates	VBZ	facilitate VBZ PennPOS
the	DT	the dt NUPOS
release	NN	release NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
L-TGF-beta-1	NN	L-TGF-beta-1 NN PennPOS
,	,	, , NUPOS
is	VBZ	be vbz NUPOS
also	RB	also av NUPOS
important	JJ	important JJ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
biology	NN	biology NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Open	VB	open VBP PennPOS
lung	NN	lung NN PennPOS
biopsy	NN	biopsy NN PennPOS
samples	NNS	sample NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
normal	JJ	normal JJ PennPOS
controls	NNS	control NNS PennPOS
were	VBD	be vbd NUPOS
examined	VBN	examine VBN PennPOS
to	TO	to p-acp NUPOS
localise	VB	localise VBP PennPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
,	,	, , NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-II	NN	R-II NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
LTBP-1	NN	LTBP-1 NN PennPOS
.	.	. . NUPOS

Alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
(	(	( ( NUPOS
AM	NNP	am NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
bronchoalveolar	JJ	bronchoalveolar JJ PennPOS
lavage	NN	lavage NN PennPOS
(	(	( ( NUPOS
BAL	NN	bal NN PennPOS
)	)	) ) NUPOS
fluid	NN	fluid NN PennPOS
were	VBD	be vbd NUPOS
examined	VBN	examine VBN PennPOS
using	VBG	use VBG PennPOS
the	DT	the dt NUPOS
CCL-64	NN	CCL-64 NN PennPOS
bioassay	NN	bioassay NN PennPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
if	IN	if cs NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
is	VBZ	be vbz NUPOS
present	JJ	present JJ PennPOS
in	IN	in IN PennPOS
its	PRP$	its po31 NUPOS
active	JJ	active JJ PennPOS
form	NN	form NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
Immunoreactive	JJ	immunoreactive JJ PennPOS
L-TGF-beta-1	NN	L-TGF-beta-1 NN PennPOS
was	VBD	be vbd NUPOS
present	JJ	present JJ PennPOS
in	IN	in IN PennPOS
all	DT	all d NUPOS
lung	NN	lung NN PennPOS
cells	NNS	cell NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
except	IN	except c-acp NUPOS
for	IN	for c-acp NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
subepithelial	JJ	subepithelial JJ PennPOS
regions	NNS	region NNS PennPOS
of	IN	of pp-f NUPOS
honeycomb	NN	honeycomb NN PennPOS
cysts	NNS	cyst NNS PennPOS
.	.	. . NUPOS

LTBP-1	NN	LTBP-1 NN PennPOS
was	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
primarily	RB	primary RB PennPOS
in	IN	in IN PennPOS
AM	NNP	am NN PennPOS
and	CC	and cc NUPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
lining	JJ	lining JJ PennPOS
honeycomb	NN	honeycomb NN PennPOS
cysts	NNS	cyst NNS PennPOS
in	IN	in IN PennPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
advanced	JJ	advanced JJ PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
LTBP-1	NN	LTBP-1 NN PennPOS
immunoreactivity	NN	immunoreactivity NN PennPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
few	JJ	few JJ PennPOS
AM	NNP	am NN PennPOS
.	.	. . NUPOS

AM	NNP	am NN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
upper	JJ	upper JJ PennPOS
and	CC	and cc NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
secreted	VBN	secrete VBN PennPOS
1.6	CD	1.6 CD PennPOS
(	(	( ( NUPOS
0.6	CD	0.6 CD PennPOS
)	)	) ) NUPOS
fmol	NN	fmol NN PennPOS
and	CC	and cc NUPOS
4.1	CD	4.1 CD PennPOS
(	(	( ( NUPOS
1.9	CD	1.9 CD PennPOS
)	)	) ) NUPOS
fmol	NN	fmol NN PennPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
,	,	, , NUPOS
while	IN	while cs NUPOS
AM	NNP	am NN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
control	NN	control NN PennPOS
patients	NNS	patient NNS PennPOS
secreted	VBN	secrete VBN PennPOS
no	DT	no dx NUPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
or	CC	or cc NUPOS
=	JJ	= JJ PennPOS
0.01	CD	0.01 CD PennPOS
for	IN	for c-acp NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
conditioned	VBN	condition vvn NUPOS
media	NNS	medium NNS PennPOS
from	IN	from pp NUPOS
AM	NNP	am NN PennPOS
obtained	VBN	obtain VBN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
v	LS	v LS PennPOS
normal	JJ	normal JJ PennPOS
controls	NNS	control NNS PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
difference	NN	difference NN PennPOS
in	IN	in IN PennPOS
percentage	NN	percentage NN PennPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
secreted	VBN	secrete VBN PennPOS
by	IN	by IN PennPOS
AM	NNP	am NN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
control	NN	control NN PennPOS
patients	NNS	patient NNS PennPOS
was	VBD	be vbd NUPOS
significant	JJ	significant JJ PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
or	CC	or cc NUPOS
=	JJ	= JJ PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
the	DT	the dt NUPOS
difference	NN	difference NN PennPOS
between	IN	between IN PennPOS
the	DT	the dt NUPOS
total	JJ	total JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
secreted	VBN	secrete VBN PennPOS
from	IN	from pp NUPOS
these	DT	these d NUPOS
lobes	NNS	lobe NNS PennPOS
was	VBD	be vbd NUPOS
not	RB	not xx NUPOS
significant	JJ	significant JJ PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
difference	NN	difference NN PennPOS
in	IN	in IN PennPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
in	IN	in IN PennPOS
conditioned	VBN	condition vvn NUPOS
media	NNS	medium NNS PennPOS
of	IN	of pp-f NUPOS
AM	NNP	am NN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
upper	JJ	upper JJ PennPOS
and	CC	and cc NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
not	RB	not xx NUPOS
statistically	RB	statistical av-j NUPOS
significant	JJ	significant JJ PennPOS
.	.	. . NUPOS

BAL	NN	bal NN PennPOS
fluid	NN	fluid NN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
upper	JJ	upper JJ PennPOS
and	CC	and cc NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
contained	VBD	contain VBD PennPOS
0.7	CD	0.7 CD PennPOS
(	(	( ( NUPOS
0.2	CD	0.2 CD PennPOS
)	)	) ) NUPOS
fmol	NN	fmol NN PennPOS
and	CC	and cc NUPOS
2.9	CD	2.9 CD PennPOS
(	(	( ( NUPOS
1.2	CD	1.2 CD PennPOS
)	)	) ) NUPOS
fmol	NN	fmol NN PennPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
or	CC	or cc NUPOS
=	JJ	= JJ PennPOS
0.03	CD	0.03 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
percentage	NN	percentage NN PennPOS
of	IN	of pp-f NUPOS
active	JJ	active JJ PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
upper	JJ	upper JJ PennPOS
and	CC	and cc NUPOS
lower	JJR	low JJR PennPOS
lobes	NNS	lobe NNS PennPOS
was	VBD	be vbd NUPOS
17.6	CD	17.6 CD PennPOS
(	(	( ( NUPOS
1.0	CD	1.0 CD PennPOS
)	)	) ) NUPOS
%	NN	% NN PennPOS
and	CC	and cc NUPOS
78.4	CD	78.4 CD PennPOS
(	(	( ( NUPOS
1.6	CD	1.6 CD PennPOS
)	)	) ) NUPOS
%	NN	% NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
or	CC	or cc NUPOS
=	JJ	= JJ PennPOS
0.03	CD	0.03 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
contrast	NN	contrast NN PennPOS
,	,	, , NUPOS
BAL	NN	bal NN PennPOS
fluid	NN	fluid NN PennPOS
from	IN	from pp NUPOS
control	NN	control NN PennPOS
patients	NNS	patient NNS PennPOS
contained	VBD	contain VBD PennPOS
small	JJ	small JJ PennPOS
amounts	NNS	amount NNS PennPOS
of	IN	of pp-f NUPOS
L-TGF-beta	NN	L-TGF-beta NN PennPOS
.	.	. . NUPOS

Using	VBG	use VBG PennPOS
immunostaining	NN	immunostaining NN PennPOS
,	,	, , NUPOS
both	CC	both CC PennPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
and	CC	and cc NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-II	NN	R-II NN PennPOS
were	VBD	be vbd NUPOS
present	JJ	present JJ PennPOS
on	IN	on IN PennPOS
all	DT	all d NUPOS
cells	NNS	cell NNS PennPOS
of	IN	of pp-f NUPOS
normal	JJ	normal JJ PennPOS
lungs	NNS	lung NNS PennPOS
but	CC	but cc-acp NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
was	VBD	be vbd NUPOS
markedly	RB	marked RB PennPOS
reduced	VBN	reduce VBN PennPOS
in	IN	in IN PennPOS
most	JJS	many JJS PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
honeycomb	NN	honeycomb NN PennPOS
cysts	NNS	cyst NNS PennPOS
except	IN	except c-acp NUPOS
for	IN	for c-acp NUPOS
interstitial	JJ	interstitial JJ PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
in	IN	in IN PennPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

TGF-beta-1	NN	TGF-beta-1 NN PennPOS
inhibits	VBZ	inhibit VBZ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
lack	NN	lack NN PennPOS
of	IN	of pp-f NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
expression	NN	expression NN PennPOS
by	IN	by IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
lining	JJ	lining JJ PennPOS
honeycomb	NN	honeycomb NN PennPOS
cysts	NNS	cyst NNS PennPOS
would	MD	will vmd NUPOS
facilitate	VB	facilitate VBP PennPOS
repair	NN	repair NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
alveoli	NNS	alveolus NNS PennPOS
by	IN	by IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
proliferation	NN	proliferation NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
presence	NN	presence NN PennPOS
of	IN	of pp-f NUPOS
both	CC	both CC PennPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
Rs	NN	rs NN PennPOS
on	IN	on IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
is	VBZ	be vbz NUPOS
likely	JJ	likely JJ PennPOS
to	TO	to p-acp NUPOS
result	VB	result VBP PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
response	NN	response NN PennPOS
to	TO	to p-acp NUPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
for	IN	for c-acp NUPOS
synthesis	NN	synthesis NN PennPOS
of	IN	of pp-f NUPOS
connective	JJ	connective JJ PennPOS
tissue	NN	tissue NN PennPOS
proteins	NNS	protein NNS PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
findings	NNS	finding n2 NUPOS
show	VBP	show VBP PennPOS
that	IN	that cst NUPOS
biologically	RB	biological RB PennPOS
active	JJ	active JJ PennPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
is	VBZ	be vbz NUPOS
only	RB	only av-j NUPOS
present	JJ	present JJ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
on	IN	on IN PennPOS
cells	NNS	cell NNS PennPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
further	RB	further av-jc NUPOS
regulated	VBN	regulate VBN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
Rs	NN	rs NN PennPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
Activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
L-TGF-beta-1	NN	L-TGF-beta-1 NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
differential	JJ	differential JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
Rs	NN	rs NN PennPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
important	JJ	important JJ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
remodelling	NN	remodelling NN PennPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

