Discovery	NNP	discovery NN PennPOS
.	.	. . NUPOS

Target	NN	target NN PennPOS
prediction	NN	prediction NN PennPOS
and	CC	and cc NUPOS
pathway	NN	pathway NN PennPOS
analysis	NN	analysis NN PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
significant	JJ	significant JJ PennPOS
differential	JJ	differential JJ PennPOS
miRNAs	NNS	mirna NNS PennPOS
were	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
using	VBG	use VBG PennPOS
DIANA-mirPath	NN	DIANA-mirPath NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
47	CD	47 CD PennPOS
significantly	RB	significant av-j NUPOS
differentially	RB	differential RB PennPOS
expressed	VBN	express VBN PennPOS
serum	NN	serum NN PennPOS
miRNAs	NNS	mirna NNS PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
rapid	JJ	rapid JJ PennPOS
progressive	JJ	progressive JJ PennPOS
or	CC	or cc NUPOS
slowly	RB	slow av-j NUPOS
progressive	JJ	progressive JJ PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
healthy	JJ	healthy JJ PennPOS
controls	NNS	control NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
21	CD	21 crd NUPOS
up-regulated	VBN	upregulate VBN PennPOS
miRNAs	NNS	mirna NNS PennPOS
and	CC	and cc NUPOS
26	CD	26 crd NUPOS
down-regulated	VBD	downregulate VBD PennPOS
miRNAs	NNS	mirna NNS PennPOS
.	.	. . NUPOS

Bioinformatic	JJ	bioinformatic JJ PennPOS
analysis	NN	analysis NN PennPOS
by	IN	by IN PennPOS
DIANA-mirPath	NN	DIANA-mirPath NN PennPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
53	CD	53 crd NUPOS
KEGG	NN	KEGG NN PennPOS
biological	JJ	biological JJ PennPOS
processes	NNS	process n2 NUPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
enriched	JJ	enriched JJ PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 CD PennPOS
,	,	, , NUPOS
FDR	NNP	fdr NN PennPOS
corrected	VBN	correct vvn NUPOS
)	)	) ) NUPOS
among	IN	among IN PennPOS
differentially	RB	differential RB PennPOS
expressed	VBN	express VBN PennPOS
serum	NN	serum NN PennPOS
miRNAs	NNS	mirna NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
MAPK	NN	mapk NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
PI3K-Akt	NN	PI3K-Akt NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Wnt	NN	Wnt NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
HIF-1	NN	HIF-1 NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
actin	NN	actin NN PennPOS
cytoskeleton	NN	cytoskeleton NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Jak-STAT	JJ	jak-stat JJ PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Notch	NN	notch NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
Cytokine-cytokine	NN	Cytokine-cytokine NN PennPOS
receptor	NN	receptor NN PennPOS
interaction	NN	interaction NN PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.0062	CD	0.0062 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
further	RB	further av-jc NUPOS
validated	VBD	validate VBD PennPOS
six	CD	six crd NUPOS
miRNAs	NNS	mirna NNS PennPOS
(	(	( ( NUPOS
miR-21	NN	miR-21 NN PennPOS
,	,	, , NUPOS
miR-199a-5p	NN	miR-199a-5p NN PennPOS
,	,	, , NUPOS
miR-200c	NN	miR-200c NN PennPOS
,	,	, , NUPOS
miR-31	NN	miR-31 NN PennPOS
,	,	, , NUPOS
let-7a	NN	let-7a NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
let-7d	NN	let-7d NN PennPOS
)	)	) ) NUPOS
for	IN	for c-acp NUPOS
further	JJ	further JJ PennPOS
validation	NN	validation NN PennPOS
using	VBG	use VBG PennPOS
an	DT	a dt NUPOS
independent	JJ	independent JJ PennPOS
cohort	NN	cohort NN PennPOS
of	IN	of pp-f NUPOS
20	CD	20 crd NUPOS
rapid	JJ	rapid JJ PennPOS
progressive	JJ	progressive JJ PennPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
24	CD	24 crd NUPOS
slowly	RB	slow av-j NUPOS
progressive	JJ	progressive JJ PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
and	CC	and cc NUPOS
20	CD	20 crd NUPOS
healthy	JJ	healthy JJ PennPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
agreement	NN	agreement NN PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
preliminary	JJ	preliminary JJ PennPOS
data	NNS	datum NNS PennPOS
from	IN	from pp NUPOS
miRNA	NN	miRNA NN PennPOS
assay	NN	assay NN PennPOS
,	,	, , NUPOS
miR-21	NN	miR-21 NN PennPOS
,	,	, , NUPOS
miR-199a-5p	NN	miR-199a-5p NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
miR-200c	NN	miR-200c NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
serums	NNS	serum NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
while	IN	while cs NUPOS
miR-31	NN	miR-31 NN PennPOS
,	,	, , NUPOS
let-7a	NN	let-7a NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
let-7d	NN	let-7d NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
under	IN	under IN PennPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
serums	NNS	serum NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
healthy	JJ	healthy JJ PennPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
These	DT	these d NUPOS
studies	NNS	study NNS PennPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
extracellular/circulating	VBG	extracellular/circulating VBG PennPOS
miRNAs	NNS	mirna NNS PennPOS
in	IN	in IN PennPOS
serum	NN	serum NN PennPOS
could	MD	can vmd NUPOS
be	VB	be vbi NUPOS
potentially	RB	potential av-j NUPOS
served	VBN	serve VBN PennPOS
as	IN	as c-acp NUPOS
novel	JJ	novel JJ PennPOS
regulators	NNS	regulator NNS PennPOS
influencing	VBG	influence VBG PennPOS
disease	NN	disease NN PennPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

