Matrix	NNP	matrix NN PennPOS
MMP-3	NN	MMP-3 NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
through	IN	through IN PennPOS
i	LS	i LS PennPOS
)	)	) ) NUPOS
determination	NN	determination NN PennPOS
of	IN	of pp-f NUPOS
MMP-3	NN	MMP-3 NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
ii	LS	ii LS PennPOS
)	)	) ) NUPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
experiments	NNS	experiment NNS PennPOS
examining	VBG	examine VBG PennPOS
the	DT	the dt NUPOS
relevance	NN	relevance NN PennPOS
of	IN	of pp-f NUPOS
MMP-3	NN	MMP-3 NN PennPOS
in	IN	in IN PennPOS
experimental	JJ	experimental JJ PennPOS
models	NNS	model NNS PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
iii	LS	iii LS PennPOS
)	)	) ) NUPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
experiments	NNS	experiment NNS PennPOS
to	TO	to p-acp NUPOS
elucidate	VB	elucidate VBP PennPOS
possible	JJ	possible JJ PennPOS
mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
action	NN	action NN PennPOS
.	.	. . NUPOS

Gene	NN	gene NN PennPOS
expression	NN	expression NN PennPOS
analysis	NN	analysis NN PennPOS
,	,	, , NUPOS
quantitative	JJ	quantitative JJ PennPOS
RT-PCR	NN	rt-pcr NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
Western	NN	western NN PennPOS
blot	NN	blot NN PennPOS
analysis	NN	analysis NN PennPOS
of	IN	of pp-f NUPOS
explanted	VBN	explant VBN PennPOS
human	JJ	human JJ PennPOS
lungs	NNS	lung NNS PennPOS
revealed	VBD	reveal VBD PennPOS
enhanced	VBN	enhance VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
MMP-3	NN	MMP-3 NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
control	NN	control NN PennPOS
.	.	. . NUPOS

Transient	JJ	transient JJ PennPOS
adenoviral	JJ	adenoviral JJ PennPOS
vector-mediated	JJ	vector-mediated JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
recombinant	JJ	recombinant JJ PennPOS
MMP-3	NN	MMP-3 NN PennPOS
in	IN	in IN PennPOS
rat	NN	rat NN PennPOS
lung	NN	lung NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
accumulation	NN	accumulation NN PennPOS
of	IN	of pp-f NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
and	CC	and cc NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Conversely	RB	converse RB PennPOS
,	,	, , NUPOS
MMP-3-null	JJ	mmp-3-null JJ PennPOS
mice	NNS	mouse n2 NUPOS
were	VBD	be vbd NUPOS
protected	VBN	protect VBN PennPOS
against	IN	against pp NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
treatment	NN	treatment NN PennPOS
of	IN	of pp-f NUPOS
cultured	VBN	culture vvn NUPOS
lung	NN	lung NN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
with	IN	with pp NUPOS
purified	VBN	purify VBN PennPOS
MMP-3	NN	MMP-3 NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
b-catenin	NN	b-catenin NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
,	,	, , NUPOS
via	IN	via IN PennPOS
cleavage	NN	cleavage NN PennPOS
of	IN	of pp-f NUPOS
E-cadherin	NN	e-cadherin NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
processes	NNS	process n2 NUPOS
were	VBD	be vbd NUPOS
inhibited	VBN	inhibit VBN PennPOS
in	IN	in IN PennPOS
bleomycin-treated	JJ	bleomycin-treated JJ PennPOS
MMP-3-null	NN	MMP-3-null NN PennPOS
mice	NNS	mouse n2 NUPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
assessed	VBN	assess VBN PennPOS
by	IN	by IN PennPOS
cytosolic	JJ	cytosolic JJ PennPOS
translocation	NN	translocation NN PennPOS
of	IN	of pp-f NUPOS
b-catenin	NN	b-catenin NN PennPOS
and	CC	and cc NUPOS
cyclin-D1	NN	cyclin-D1 NN PennPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
observations	NNS	observation NNS PennPOS
support	VBP	support VBP PennPOS
a	DT	a dt NUPOS
novel	JJ	novel JJ PennPOS
role	NN	role NN PennPOS
for	IN	for c-acp NUPOS
MMP-3	NN	MMP-3 NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
through	IN	through IN PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
b-catenin	NN	b-catenin NN PennPOS
signaling	NN	signaling NN PennPOS
and	CC	and cc NUPOS
induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
.	.	. . NUPOS

