Overexpression	NN	overexpression NN PennPOS
Sulf2	NN	Sulf2 NN PennPOS
mRNA	NN	mRNA NN PennPOS
was	VBD	be vbd NUPOS
overexpressed	VBN	overexpress VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
samples	NNS	sample NNS PennPOS
from	IN	from pp NUPOS
human	JJ	human JJ PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
Sulf2	NN	Sulf2 NN PennPOS
protein	NN	protein NN PennPOS
was	VBD	be vbd NUPOS
specifically	RB	specific av-j NUPOS
localized	JJ	localized JJ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
hyperplastic	JJ	hyperplastic JJ PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
AECs	NNS	aec NNS PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
induced	VBD	induce VBD PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
Sulf2	NN	Sulf2 NN PennPOS
with	IN	with pp NUPOS
accompanied	VBN	accompany VBN PennPOS
HS	NN	HS NN PennPOS
6-O-desulfation	NN	6-O-desulfation NN PennPOS
in	IN	in IN PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
adenocarcinoma	NN	adenocarcinoma NN PennPOS
cells	NNS	cell NNS PennPOS
derived	VBN	derive VBN PennPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelium	NN	epithelium NN PennPOS
.	.	. . NUPOS

Using	VBG	use VBG PennPOS
small	JJ	small JJ PennPOS
interference	NN	interference NN PennPOS
RNA	NN	rna NN PennPOS
to	TO	to p-acp NUPOS
block	VB	block VBP PennPOS
Sulf2	NN	Sulf2 NN PennPOS
expression	NN	expression NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
observed	VBD	observe VBD PennPOS
a	DT	a dt NUPOS
biphasic	JJ	biphasic JJ PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
response	NN	response NN PennPOS
with	IN	with pp NUPOS
early	JJ	early JJ PennPOS
enhanced	VBN	enhance VBN PennPOS
Smad	NN	SMAD NN PennPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
eventually	RB	eventual av-j NUPOS
reduced	VBD	reduce VBD PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
target	NN	target NN PennPOS
gene	NN	gene NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
Sulf2	NN	Sulf2 NN PennPOS
knockdown	NN	knockdown NN PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
control	NN	control NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

To	TO	to p-acp NUPOS
study	VB	study VBP PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
Sulf2	NN	Sulf2 NN PennPOS
in	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
AECs	NNS	aec NNS PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
isolated	VBD	isolate VBD PennPOS
primary	JJ	primary JJ PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
cells	NNS	cell NNS PennPOS
from	IN	from pp NUPOS
wild-type	JJ	wild-type JJ PennPOS
and	CC	and cc NUPOS
Sulf2	NN	Sulf2 NN PennPOS
knockout	NN	knockout NN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
observed	VBD	observe VBD PennPOS
enhanced	VBN	enhance VBN PennPOS
Smad	NN	SMAD NN PennPOS
activation	NN	activation NN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
enhanced	VBN	enhance VBN PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
target	NN	target NN PennPOS
gene	NN	gene NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
Sulf2	NN	Sulf2 NN PennPOS
knockout	NN	knockout NN PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
AECs	NNS	aec NNS PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
wild-type	JJ	wild-type JJ PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
AECs	NNS	aec NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
conclusion	NN	conclusion NN PennPOS
,	,	, , NUPOS
Sulf2	NN	Sulf2 NN PennPOS
is	VBZ	be vbz NUPOS
overexpressed	VBN	overexpress VBN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
may	MD	may vmb NUPOS
play	VB	play VBP PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
regulating	VBG	regulate VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
AECs	NNS	aec NNS PennPOS
.	.	. . NUPOS

