Activated	VBN	activate VBN PennPOS
decreased	VBN	decrease VBN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
vessels	NNS	vessel NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Both	CC	both CC PennPOS
the	DT	the dt NUPOS
density	NN	density NN PennPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
the	DT	the dt NUPOS
percentage	NN	percentage NN PennPOS
,	,	, , NUPOS
of	IN	of pp-f NUPOS
MCTC	NN	MCTC NN PennPOS
correlated	VBD	correlate VBD PennPOS
positively	RB	positive av-j NUPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
degree	NN	degree NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
increased	VBN	increase VBN PennPOS
density	NN	density NN PennPOS
of	IN	of pp-f NUPOS
MCTC	NNP	MCTC NNP PennPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
MCTC	NN	MCTC NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-b	NN	TGF-b NN PennPOS
,	,	, , NUPOS
correlated	VBD	correlate VBD PennPOS
negatively	RB	negative av-jn NUPOS
with	IN	with pp NUPOS
patient	NN	patient NN PennPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
present	JJ	present JJ PennPOS
study	NN	study NN PennPOS
reveals	VBZ	reveal VBZ PennPOS
that	IN	that cst NUPOS
altered	JJ	altered JJ PennPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
populations	NNS	population NNS PennPOS
,	,	, , NUPOS
with	IN	with pp NUPOS
increased	VBN	increase VBN PennPOS
numbers	NNS	number NNS PennPOS
of	IN	of pp-f NUPOS
MCTC	NN	MCTC NN PennPOS
in	IN	in IN PennPOS
diseased	JJ	diseased JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
parenchyma	NN	parenchyma NN PennPOS
,	,	, , NUPOS
represents	VBZ	represent VBZ PennPOS
a	DT	a dt NUPOS
significant	JJ	significant JJ PennPOS
component	NN	component NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
histopathology	NN	histopathology NN PennPOS
in	IN	in IN PennPOS
CF	NN	cf NN PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
mast	NN	mast NN PennPOS
cell	NN	cell NN PennPOS
alterations	NNS	alteration NNS PennPOS
correlated	VBD	correlate VBD PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
degree	NN	degree NN PennPOS
of	IN	of pp-f NUPOS
tissue	NN	tissue NN PennPOS
remodelling	NN	remodelling NN PennPOS
and	CC	and cc NUPOS
to	TO	to p-acp NUPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
parameters	NNS	parameter NNS PennPOS
.	.	. . NUPOS

Further	JJ	further JJ PennPOS
investigations	NNS	investigation NNS PennPOS
of	IN	of pp-f NUPOS
mast	NN	mast NN PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
these	DT	these d NUPOS
diseases	NNS	disease NNS PennPOS
may	MD	may vmb NUPOS
open	VB	open VBP PennPOS
for	IN	for c-acp NUPOS
new	JJ	new JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
strategies	NNS	strategy NNS PennPOS
.	.	. . NUPOS

