Angiotensin-TGF-beta-1	NN	Angiotensin-TGF-beta-1 NN PennPOS
normal	JJ	normal JJ PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
(	(	( ( NUPOS
NLFs	NNS	nlf NNS PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
IMR90	NN	IMR90 NN PennPOS
and	CC	and cc NUPOS
WI38	NN	WI38 NN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
cell	NN	cell NN PennPOS
lines	NNS	line NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
paraffin	NN	paraffin NN PennPOS
sections	NNS	section NNS PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
biopsies	NNS	biopsy NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
normal	JJ	normal JJ PennPOS
NLF	NN	NLF NN PennPOS
isolates	NNS	isolate NNS PennPOS
,	,	, , NUPOS
HIPF	NN	HIPF NN PennPOS
primary	JJ	primary JJ PennPOS
fibroblast	NN	fibroblast NN PennPOS
isolates	NNS	isolate NNS PennPOS
constitutively	RB	constitutive RB PennPOS
synthesized	VBN	synthesize VBN PennPOS
more	JJR	many JJR PennPOS
AGT	NN	AGT NN PennPOS
and	CC	and cc NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
released	VBD	release VBD PennPOS
more	JJR	many JJR PennPOS
AGT	NN	AGT NN PennPOS
protein	NN	protein NN PennPOS
,	,	, , NUPOS
ANGII	NN	ANGII NN PennPOS
and	CC	and cc NUPOS
active	JJ	active JJ PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
protein	NN	protein NN PennPOS
into	IN	into pp NUPOS
serum-free	JJ	serum-free JJ PennPOS
conditioned	VBN	condition vvn NUPOS
media	NNS	medium NNS PennPOS
(	(	( ( NUPOS
both	CC	both CC PennPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Incubation	NN	incubation NN PennPOS
of	IN	of pp-f NUPOS
HIPF	NN	HIPF NN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
isolates	NNS	isolate NNS PennPOS
with	IN	with pp NUPOS
the	DT	the dt NUPOS
ANGII	NN	ANGII NN PennPOS
receptor	NN	receptor NN PennPOS
antagonist	NN	antagonist NN PennPOS
saralasin	NN	saralasin NN PennPOS
reduced	VBD	reduce VBD PennPOS
both	CC	both CC PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
active	JJ	active JJ PennPOS
protein	NN	protein NN PennPOS
,	,	, , NUPOS
suggesting	VBG	suggest VBG PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
constitutive	JJ	constitutive JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
AGT	NN	AGT NN PennPOS
drives	VBZ	drive VBZ PennPOS
the	DT	the dt NUPOS
higher	JJR	high JJR PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
HIPF	NN	HIPF NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Consistent	JJ	consistent JJ PennPOS
with	IN	with pp NUPOS
this	DT	this d NUPOS
premise	NN	premise NN PennPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
of	IN	of pp-f NUPOS
either	CC	either CC PennPOS
the	DT	the dt NUPOS
primary	JJ	primary JJ PennPOS
NLFs	NNS	nlf NNS PennPOS
or	CC	or cc NUPOS
the	DT	the dt NUPOS
WI38	NN	WI38 NN PennPOS
cell	NN	cell NN PennPOS
line	NN	line NN PennPOS
with	IN	with pp NUPOS
10	CD	10 crd NUPOS
(	(	( ( NUPOS
-7	CD	-7 CD PennPOS
)	)	) ) NUPOS
M	NN	m NN PennPOS
ANGII	NN	ANGII NN PennPOS
increased	VBD	increase VBD PennPOS
both	CC	both CC PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
soluble	JJ	soluble JJ PennPOS
active	JJ	active JJ PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
protein	NN	protein NN PennPOS
.	.	. . NUPOS

Moreover	RB	moreover av NUPOS
,	,	, , NUPOS
induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
transition	NN	transition NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IMR90	NN	IMR90 NN PennPOS
cell	NN	cell NN PennPOS
line	NN	line NN PennPOS
with	IN	with pp NUPOS
2	CD	2 crd NUPOS
ng/ml	NN	ng/ml NN PennPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
increased	VBD	increase VBD PennPOS
steady	JJ	steady JJ PennPOS
state	NN	state NN PennPOS
AGT	NN	AGT NN PennPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
by	IN	by IN PennPOS
realtime	NN	realtime NN PennPOS
PCR	NN	pcr NN PennPOS
(	(	( ( NUPOS
8-fold	JJ	8-fold JJ PennPOS
,	,	, , NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
induced	VBN	induce VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
an	DT	a dt NUPOS
AGT	NN	AGT NN PennPOS
promoter-luciferase	NN	promoter-luciferase NN PennPOS
reporter	NN	reporter NN PennPOS
construct	NN	construct NN PennPOS
by	IN	by IN PennPOS
over	IN	over IN PennPOS
10-fold	JJ	10-fold JJ PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Antisense	JJ	antisense JJ PennPOS
oligonucleotides	NNS	oligonucleotide NNS PennPOS
against	IN	against pp NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
mRNA	NN	mRNA NN PennPOS
or	CC	or cc NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
neutralizing	NN	neutralizing NN PennPOS
antibodies	NNS	antibody NNS PennPOS
,	,	, , NUPOS
when	WRB	when c-crq NUPOS
applied	VBN	apply VBN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
HIPF	NN	HIPF NN PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
serum-free	JJ	serum-free JJ PennPOS
medium	NN	medium NN PennPOS
,	,	, , NUPOS
significantly	RB	significant av-j NUPOS
reduced	VBD	reduce VBD PennPOS
AGT	NN	AGT NN PennPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
lung	NN	lung NN PennPOS
sections	NNS	section NNS PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
patient	NN	patient NN PennPOS
biopsies	NNS	biopsy NNS PennPOS
,	,	, , NUPOS
immunoreactive	JJ	immunoreactive JJ PennPOS
AGT/ANGI	NN	AGT/ANGI NN PennPOS
proteins	NNS	protein NNS PennPOS
were	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
in	IN	in IN PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
,	,	, , NUPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
presumptive	JJ	presumptive JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
.	.	. . NUPOS

Together	RB	together av NUPOS
,	,	, , NUPOS
these	DT	these d NUPOS
data	NNS	datum NNS PennPOS
support	VBP	support VBP PennPOS
the	DT	the dt NUPOS
existence	NN	existence NN PennPOS
of	IN	of pp-f NUPOS
an	DT	a dt NUPOS
angiotensin/TGF-beta	NN	angiotensin/TGF-beta NN PennPOS
1	CD	1 crd NUPOS
``	``	`` `` NONE
autocrine	JJ	autocrine JJ PennPOS
loop	NN	loop NN PennPOS
''	''	'' '' NONE
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
and	CC	and cc NUPOS
also	RB	also av NUPOS
suggest	VBP	suggest VBP PennPOS
ANG	NN	ang NN PennPOS
peptide	NN	peptide NN PennPOS
expression	NN	expression NN PennPOS
by	IN	by IN PennPOS
epithelia	NN	epithelium NNS PennPOS
and	CC	and cc NUPOS
macrophages	NNS	macrophage NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
IPF	NN	IPF NN PennPOS
lung	NN	lung NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
findings	NNS	finding n2 NUPOS
may	MD	may vmb NUPOS
explain	VB	explain VBP PennPOS
the	DT	the dt NUPOS
ability	NN	ability NN PennPOS
of	IN	of pp-f NUPOS
ACE	NN	ace NN PennPOS
inhibitors	NNS	inhibitor NNS PennPOS
and	CC	and cc NUPOS
ANG	NN	ang NN PennPOS
receptor	NN	receptor NN PennPOS
antagonists	NNS	antagonist NNS PennPOS
to	TO	to p-acp NUPOS
block	VB	block VBP PennPOS
experimental	JJ	experimental JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
animals	NNS	animal NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
support	VBP	support VBP PennPOS
the	DT	the dt NUPOS
need	NN	need NN PennPOS
for	IN	for c-acp NUPOS
evaluation	NN	evaluation NN PennPOS
of	IN	of pp-f NUPOS
these	DT	these d NUPOS
agents	NNS	agent NNS PennPOS
for	IN	for c-acp NUPOS
potential	JJ	potential JJ PennPOS
treatment	NN	treatment NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

This	DT	this d NUPOS
manuscript	NN	manuscript NN PennPOS
discusses	VBZ	discuss VBZ PennPOS
the	DT	the dt NUPOS
data	NNS	datum NNS PennPOS
described	VBN	describe VBN PennPOS
above	IN	above IN PennPOS
and	CC	and cc NUPOS
their	PRP$	their po32 NUPOS
implications	NNS	implication NNS PennPOS
regarding	VBG	regard VBG PennPOS
IPF	NN	IPF NN PennPOS
pathogenesis	NN	pathogenesis NN PennPOS
.	.	. . NUPOS

