Sirtuin	NNP	Sirtuin NNP PennPOS
particularly	RB	particular av-j NUPOS
SIRT1	NN	SIRT1 NN PennPOS
,	,	, , NUPOS
SIRT3	NN	SIRT3 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
SIRT6	NN	SIRT6 NN PennPOS
,	,	, , NUPOS
are	VBP	be vbb NUPOS
well-known	JJ	well-known JJ PennPOS
mediators	NNS	mediator NNS PennPOS
of	IN	of pp-f NUPOS
aging	NN	aging NN PennPOS
;	:	; : NUPOS
however	RB	however a-acp NUPOS
,	,	, , NUPOS
limited	JJ	limited JJ PennPOS
data	NNS	datum NNS PennPOS
exist	VBP	exist VBP PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
contribution	NN	contribution NN PennPOS
of	IN	of pp-f NUPOS
sirtuins	NNS	sirtuin NNS PennPOS
to	TO	to p-acp NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
assessed	VBD	assess VBD PennPOS
the	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
all	DT	all d NUPOS
seven	CD	seven crd NUPOS
known	JJ	known j-vvn NUPOS
sirtuins	NNS	sirtuin NNS PennPOS
in	IN	in IN PennPOS
primary	JJ	primary JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
systemic	JJ	systemic JJ PennPOS
sclerosis-associated	JJ	sclerosis-associated JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
(	(	( ( NUPOS
SSc-ILD	NN	SSc-ILD NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
comparison	NN	comparison NN PennPOS
with	IN	with pp NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
healthy	JJ	healthy JJ PennPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
unbiased	JJ	unbiased JJ PennPOS
tests	NNS	test NNS PennPOS
revealed	VBD	reveal VBD PennPOS
a	DT	a dt NUPOS
tendency	NN	tendency NN PennPOS
for	IN	for c-acp NUPOS
all	DT	all d NUPOS
sirtuins	NNS	sirtuin NNS PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
expressed	VBN	express VBN PennPOS
at	IN	at pp NUPOS
lower	JJR	low JJR PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
controls	NNS	control NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
the	DT	the dt NUPOS
greatest	JJS	great JJS PennPOS
decrease	NN	decrease NN PennPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
with	IN	with pp NUPOS
SIRT7	NN	SIRT7 NN PennPOS
.	.	. . NUPOS

Similarly	RB	similar av-j NUPOS
,	,	, , NUPOS
SIRT7	NN	SIRT7 NN PennPOS
was	VBD	be vbd NUPOS
decreased	VBN	decrease VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
of	IN	of pp-f NUPOS
bleomycin-challenged	JJ	bleomycin-challenged JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
SIRT7	NN	SIRT7 NN PennPOS
with	IN	with pp NUPOS
siRNA	NN	siRNA NN PennPOS
in	IN	in IN PennPOS
cultured	VBN	culture vvn NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
an	DT	a dt NUPOS
increase	NN	increase NN PennPOS
in	IN	in IN PennPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
a-SMA	NN	a-SMA NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Reciprocally	RB	reciprocal av-j NUPOS
,	,	, , NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
SIRT7	NN	SIRT7 NN PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
lower	JJR	low JJR PennPOS
basal	JJ	basal JJ PennPOS
and	CC	and cc NUPOS
TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
COL1A1	NN	COL1A1 NN PennPOS
,	,	, , NUPOS
COL1A2	NN	COL1A2 NN PennPOS
,	,	, , NUPOS
COL3A1	NN	COL3A1 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
a-SMA	NN	a-SMA NN PennPOS
mRNAs	NNS	mrna NNS PennPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
a-SMA	NN	a-SMA NN PennPOS
proteins	NNS	protein NNS PennPOS
.	.	. . NUPOS

Induced	VBN	induce VBN PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
SIRT7	NN	SIRT7 NN PennPOS
had	VBD	have vhd NUPOS
no	DT	no dx NUPOS
effect	NN	effect NN PennPOS
on	IN	on IN PennPOS
endogenous	JJ	endogenous JJ PennPOS
TGF-b	NN	TGF-b NN PennPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
or	CC	or cc NUPOS
latent	JJ	latent JJ PennPOS
TGF-b	NN	TGF-b NN PennPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
SIRT7	NN	SIRT7 NN PennPOS
reduced	VBD	reduce VBD PennPOS
the	DT	the dt NUPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
Smad3	NN	Smad3 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
conclusion	NN	conclusion NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
decline	NN	decline NN PennPOS
in	IN	in IN PennPOS
SIRT7	NN	SIRT7 NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
has	VBZ	have vdz NUPOS
a	DT	a dt NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
effect	NN	effect NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
is	VBZ	be vbz NUPOS
mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
Smad3	NN	Smad3 NN PennPOS
levels	NNS	level NNS PennPOS
.	.	. . NUPOS

