MOXIBUSTION	NNP	MOXIBUSTION NNP PennPOS
treatment	NN	treatment NN PennPOS
.	.	. . NUPOS

After	IN	after c-acp NUPOS
four-week	JJ	four-week JJ PennPOS
treatment	NN	treatment NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
rats	NNS	rat NNS PennPOS
were	VBD	be vbd NUPOS
euthanized	VBN	euthanize VBN PennPOS
for	IN	for c-acp NUPOS
Hematoxylin	NNP	Hematoxylin NNP PennPOS
and	CC	and cc NUPOS
Eosin	NNP	Eosin NNP PennPOS
(	(	( ( NUPOS
H.E.	NNP	H.E. NNP PennPOS
)	)	) ) NUPOS
staining	NN	staining NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
IFN-y	NN	IFN-y NN PennPOS
protein	NN	protein NN PennPOS
and	CC	and cc NUPOS
mRNA	NN	mRNA NN PennPOS
detection	NN	detection NN PennPOS
in	IN	in IN PennPOS
lungs	NNS	lung NNS PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
the	DT	the dt NUPOS
model	NN	model NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
increased	VBN	increase VBN PennPOS
and	CC	and cc NUPOS
IFN-y	NN	IFN-y NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
decreased	VBN	decrease VBN PennPOS
at	IN	at pp NUPOS
both	DT	both d NUPOS
protein	NN	protein NN PennPOS
and	CC	and cc NUPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
comparison	NN	comparison NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
blank	JJ	blank JJ PennPOS
group	NN	group NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
the	DT	the dt NUPOS
moxibustion	NN	moxibustion NN PennPOS
and	CC	and cc NUPOS
prednisone	NN	prednisone NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
however	RB	however a-acp NUPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
was	VBD	be vbd NUPOS
decreased	VBN	decrease VBN PennPOS
and	CC	and cc NUPOS
IFN-y	NN	IFN-y NN PennPOS
was	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
at	IN	at pp NUPOS
both	DT	both d NUPOS
protein	NN	protein NN PennPOS
and	CC	and cc NUPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
comparison	NN	comparison NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
model	NN	model NN PennPOS
groups	NNS	group NNS PennPOS
.	.	. . NUPOS

Compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
prednisone	NN	prednisone NN PennPOS
,	,	, , NUPOS
moxibustion	NN	moxibustion NN PennPOS
showed	VBD	show VBN PennPOS
comparable	JJ	comparable JJ PennPOS
effect	NN	effect NN PennPOS
in	IN	in IN PennPOS
lowing	VBG	low vvg NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
>	JJR	> JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
better	JJR	good jc NUPOS
effect	NN	effect NN PennPOS
in	IN	in IN PennPOS
up-regulating	VBG	upregulate VBG PennPOS
IFN-y	NN	IFN-y NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
>	JJR	> JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
study	NN	study NN PennPOS
concludes	VBZ	conclude VBZ PennPOS
moxibustion	NN	moxibustion NN PennPOS
protected	VBD	protect VBD PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
downregulating	VBG	downregulate VBG PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
upregulating	VBG	upregulate VBG PennPOS
IFN-y	JJ	ifn-y JJ PennPOS
cytokines	NNS	cytokine NNS PennPOS
at	IN	at pp NUPOS
both	DT	both d NUPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
levels	NNS	level NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
was	VBD	be vbd NUPOS
comparable	JJ	comparable JJ PennPOS
to	TO	to p-acp NUPOS
prednisone	NN	prednisone NN PennPOS
.	.	. . NUPOS

Moxibustion	NNP	Moxibustion NNP PennPOS
could	MD	can vmd NUPOS
be	VB	be vbi NUPOS
used	VBN	use VBN PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
therapeutic	JJ	therapeutic JJ PennPOS
alternative	NN	alternative NN PennPOS
treatment	NN	treatment NN PennPOS
for	IN	for c-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

