Contribution	NN	contribution NN PennPOS
and	CC	and cc NUPOS
C5a	NN	C5a NN PennPOS
induces	VBZ	induce VBZ PennPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
matrix	NN	matrix NN PennPOS
synthesis	NN	synthesis NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
their	PRP$	their po32 NUPOS
respective	JJ	respective JJ PennPOS
receptors	NNS	receptor NNS PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
C3aR	NN	C3aR NN PennPOS
and	CC	and cc NUPOS
C5aR	NN	C5aR NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
using	VBG	use VBG PennPOS
bleomycin-injured	JJ	bleomycin-injured JJ PennPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
lungs	NNS	lung NNS PennPOS
,	,	, , NUPOS
elevated	JJ	elevated JJ PennPOS
local	JJ	local JJ PennPOS
C3a	NN	C3a NN PennPOS
and	CC	and cc NUPOS
C5a	NN	C5a NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
their	PRP$	their po32 NUPOS
receptors	NNS	receptor NNS PennPOS
via	IN	via IN PennPOS
pharmacologic	JJ	pharmacologic JJ PennPOS
and	CC	and cc NUPOS
RNA	NN	rna NN PennPOS
interference	NN	interference NN PennPOS
interventions	NNS	intervention NNS PennPOS
.	.	. . NUPOS

Histopathologic	JJ	histopathologic JJ PennPOS
examination	NN	examination NN PennPOS
revealed	VBD	reveal VBD PennPOS
an	DT	a dt NUPOS
arrest	NN	arrest NN PennPOS
in	IN	in IN PennPOS
disease	NN	disease NN PennPOS
progression	NN	progression NN PennPOS
and	CC	and cc NUPOS
attenuated	VBD	attenuate VBD PennPOS
lung	NN	lung NN PennPOS
collagen	NN	collagen NN PennPOS
deposition	NN	deposition NN PennPOS
(	(	( ( NUPOS
Masson	NNP	Masson np1 NUPOS
's	POS	's POS PennPOS
trichrome	NN	trichrome NN PennPOS
,	,	, , NUPOS
hydroxyproline	NN	hydroxyproline NN PennPOS
,	,	, , NUPOS
collagen	NN	collagen NN PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
a	DT	a dt NUPOS
1	CD	1 crd NUPOS
chain	NN	chain NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
a	DT	a dt NUPOS
2	CD	2 crd NUPOS
chain	NN	chain NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Pharmacologic	JJ	pharmacologic JJ PennPOS
or	CC	or cc NUPOS
RNA	NN	rna NN PennPOS
interference-specific	JJ	interference-specific JJ PennPOS
interventions	NNS	intervention NNS PennPOS
suppressed	VBD	suppress VBD PennPOS
complement	NN	complement NN PennPOS
activation	NN	activation NN PennPOS
(	(	( ( NUPOS
C3a	NN	C3a NN PennPOS
and	CC	and cc NUPOS
C5a	NN	C5a NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
soluble	JJ	soluble JJ PennPOS
terminal	JJ	terminal JJ PennPOS
complement	NN	complement NN PennPOS
complex	NN	complex NN PennPOS
formation	NN	formation NN PennPOS
(	(	( ( NUPOS
C5b-9	NN	C5b-9 NN PennPOS
)	)	) ) NUPOS
locally	RB	local RB PennPOS
and	CC	and cc NUPOS
active	JJ	active JJ PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
systemically	RB	systemic av-j NUPOS
.	.	. . NUPOS

C3aR/C5aR	NN	C3aR/C5aR NN PennPOS
antagonists	NNS	antagonist NNS PennPOS
suppressed	VBD	suppress VBD PennPOS
local	JJ	local JJ PennPOS
mRNA	NN	mRNA NN PennPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
tgfb2	NN	tgfb2 NN PennPOS
,	,	, , NUPOS
tgfbr1/2	NN	tgfbr1/2 NN PennPOS
,	,	, , NUPOS
ltbp1/2	NN	ltbp1/2 NN PennPOS
,	,	, , NUPOS
serpine1	NN	serpine1 NN PennPOS
,	,	, , NUPOS
tsp1	NN	tsp1 NN PennPOS
,	,	, , NUPOS
bmp1/4	NN	bmp1/4 NN PennPOS
,	,	, , NUPOS
pdgfbb	NN	pdgfbb NN PennPOS
,	,	, , NUPOS
igf1	NN	igf1 NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
restored	VBD	restore VBD PennPOS
the	DT	the dt NUPOS
proteoglycan	NN	proteoglycan NN PennPOS
,	,	, , NUPOS
dcn	NN	Dcn NN PennPOS
Clinically	RB	clinical RB PennPOS
,	,	, , NUPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
pathologically	RB	pathological RB PennPOS
normal	JJ	normal JJ PennPOS
human	JJ	human JJ PennPOS
subjects	NNS	subject NNS PennPOS
,	,	, , NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
presented	VBD	present VBD PennPOS
local	JJ	local JJ PennPOS
induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
C5aR	NN	C5aR NN PennPOS
,	,	, , NUPOS
local	JJ	local JJ PennPOS
and	CC	and cc NUPOS
systemic	JJ	systemic JJ PennPOS
induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
soluble	JJ	soluble JJ PennPOS
C5b-9	NN	C5b-9 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
amplified	VBD	amplify VBD PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
C3aR/C5aR	NN	C3aR/C5aR NN PennPOS
in	IN	in IN PennPOS
lesions	NNS	lesion NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
blockade	NN	blockade NN PennPOS
of	IN	of pp-f NUPOS
C3aR	NN	C3aR NN PennPOS
and	CC	and cc NUPOS
C5aR	NN	C5aR NN PennPOS
arrested	VBD	arrest VBD PennPOS
the	DT	the dt NUPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
attenuating	VBG	attenuate VBG PennPOS
local	JJ	local JJ PennPOS
complement	NN	complement NN PennPOS
activation	NN	activation NN PennPOS
and	CC	and cc NUPOS
TGF-b/bone	NN	TGF-b/bone NN PennPOS
morphologic	JJ	morphologic JJ PennPOS
protein	NN	protein NN PennPOS
signaling	NN	signaling NN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
restoring	VBG	restore VBG PennPOS
decorin	NN	decorin NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
suggests	VBZ	suggest VBZ PennPOS
a	DT	a dt NUPOS
promising	JJ	promising JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
strategy	NN	strategy NN PennPOS
for	IN	for c-acp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF.-Gu	NN	IPF.-Gu NN PennPOS
,	,	, , NUPOS
H.	NNP	H. np1 NUPOS
,	,	, , NUPOS
Fisher	NNP	fisher NN PennPOS
,	,	, , NUPOS
A.	NNP	A. np1 NUPOS
J.	NNP	J. np1 NUPOS
,	,	, , NUPOS
Mickler	NNP	Mickler np1 NUPOS
,	,	, , NUPOS
E.	NNP	E. np1 NUPOS
A.	NNP	A. np1 NUPOS
,	,	, , NUPOS
Duerson	NNP	Duerson np1 NUPOS
,	,	, , NUPOS
F.	NNP	F. np1 NUPOS
,	,	, , NUPOS
III	NNP	iii NN PennPOS
,	,	, , NUPOS
Cummings	NNP	Cummings np1 NUPOS
,	,	, , NUPOS
O.	NNP	O. np1 NUPOS
W.	NNP	W. np1 NUPOS
,	,	, , NUPOS
Peters-Golden	NNP	Peters-Golden NNP PennPOS
,	,	, , NUPOS
M.	NNP	m. n1 NUPOS
,	,	, , NUPOS
Twigg	NNP	Twigg np1 NUPOS
,	,	, , NUPOS
H.	NNP	H. np1 NUPOS
L.	NNP	L. np1 NUPOS
,	,	, , NUPOS
III	NNP	iii NN PennPOS
,	,	, , NUPOS
Woodruff	NNP	woodruff NN PennPOS
,	,	, , NUPOS
T.	NNP	T. np1 NUPOS
M.	NNP	m. n1 NUPOS
,	,	, , NUPOS
Wilkes	NNP	Wilkes np1 NUPOS
,	,	, , NUPOS
D.	NNP	D. NNP PennPOS
S.	NNP	S. np1 NUPOS
,	,	, , NUPOS
Vittal	NNP	Vittal NNP PennPOS
,	,	, , NUPOS
R.	NNP	R. np1 NUPOS
Contribution	NN	contribution NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
anaphylatoxin	NN	anaphylatoxin NN PennPOS
receptors	NNS	receptor NNS PennPOS
,	,	, , NUPOS
C3aR	NN	C3aR NN PennPOS
and	CC	and cc NUPOS
C5aR	NN	C5aR NN PennPOS
,	,	, , NUPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

