Ubiquitin	NNP	ubiquitin NN PennPOS
TGFb-1-induced	JJ	tgfb-1-induced JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
profibrotic	JJ	profibrotic JJ PennPOS
proteins	NNS	protein NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
fibronectin	NN	fibronectin NN PennPOS
(	(	( ( NUPOS
FN	NN	FN NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
a-SMA	NN	a-SMA NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Inhibition	NN	inhibition NN PennPOS
or	CC	or cc NUPOS
down-regulation	NN	down-regulation NN PennPOS
of	IN	of pp-f NUPOS
UCHL5	NN	UCHL5 NN PennPOS
reduced	VBD	reduce VBD PennPOS
Smad2/Smad3	NN	Smad2/Smad3 NN PennPOS
levels	NNS	level NNS PennPOS
and	CC	and cc NUPOS
TGFb-1-induced	JJ	tgfb-1-induced JJ PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
FN	NN	FN NN PennPOS
and	CC	and cc NUPOS
a-SMA	NN	a-SMA NN PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblast	NN	fibroblast NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
demonstrate	VBP	demonstrate VBP PennPOS
that	IN	that cst NUPOS
Smad2	NN	Smad2 NN PennPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
ubiquitination	NN	ubiquitination NN PennPOS
was	VBD	be vbd NUPOS
diminished	VBN	diminish VBN PennPOS
by	IN	by IN PennPOS
over-expression	NN	over-expression NN PennPOS
of	IN	of pp-f NUPOS
UCHL5	NN	UCHL5 NN PennPOS
,	,	, , NUPOS
while	IN	while cs NUPOS
it	PRP	it pn31 NUPOS
was	VBD	be vbd NUPOS
enhanced	VBN	enhance VBN PennPOS
by	IN	by IN PennPOS
inhibition	NN	inhibition NN PennPOS
or	CC	or cc NUPOS
down-regulation	NN	down-regulation NN PennPOS
of	IN	of pp-f NUPOS
UCHL5	NN	UCHL5 NN PennPOS
.	.	. . NUPOS

UCHL5	NN	UCHL5 NN PennPOS
is	VBZ	be vbz NUPOS
highly	RB	high av-j NUPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
.	.	. . NUPOS

UCHL5	NN	UCHL5 NN PennPOS
,	,	, , NUPOS
Smad2	NN	Smad2 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
levels	NNS	level NNS PennPOS
were	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
bleomycin-injured	JJ	bleomycin-injured JJ PennPOS
lungs	NNS	lung NNS PennPOS
.	.	. . NUPOS

Administration	NN	administration NN PennPOS
of	IN	of pp-f NUPOS
UCHL5	NN	UCHL5 NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
,	,	, , NUPOS
b-AP15	NN	b-AP15 NN PennPOS
,	,	, , NUPOS
reduced	VBD	reduce VBD PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
FN	NN	FN NN PennPOS
,	,	, , NUPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
collagen	NN	collagen NN PennPOS
,	,	, , NUPOS
Smad2/Smad3	NN	Smad2/Smad3 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
deposition	NN	deposition NN PennPOS
of	IN	of pp-f NUPOS
collagen	NN	collagen NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
studies	NNS	study NNS PennPOS
provide	VBP	provide VBP PennPOS
a	DT	a dt NUPOS
molecular	JJ	molecular JJ PennPOS
mechanism	NN	mechanism NN PennPOS
by	IN	by IN PennPOS
which	WDT	which r-crq NUPOS
UCHL5	NN	UCHL5 NN PennPOS
mitigates	VBZ	mitigate VBZ PennPOS
TGFb-1	NN	TGFb-1 NN PennPOS
signaling	NN	signaling NN PennPOS
by	IN	by IN PennPOS
stabilizing	VBG	stabilise VBG PennPOS
Smad2/Smad3	NN	Smad2/Smad3 NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
data	NNS	datum NNS PennPOS
indicate	VBP	indicate VBP PennPOS
that	IN	that cst NUPOS
UCHL5	NN	UCHL5 NN PennPOS
may	MD	may vmb NUPOS
contribute	VB	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
a	DT	a dt NUPOS
potential	JJ	potential JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
target	NN	target NN PennPOS
.	.	. . NUPOS

