Increased	VBN	increase VBN PennPOS
previously	RB	previous av-j NUPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
mRNAs	NNS	mrna NNS PennPOS
and	CC	and cc NUPOS
cognate	JJ	cognate JJ PennPOS
peptides	NNS	peptide NNS PennPOS
of	IN	of pp-f NUPOS
PDGF-A-and	NN	PDGF-A-and NN PennPOS
--	:	-- : NUPOS
B	NN	b NN PennPOS
and	CC	and cc NUPOS
TGF-alpha	NN	TGF-alpha NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
,	,	, , NUPOS
are	VBP	be vbb NUPOS
reduced	VBN	reduce VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
fibrosis-resistant	JJ	fibrosis-resistant JJ PennPOS
knockout	NN	knockout NN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
article	NN	article NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
that	IN	that cst NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
is	VBZ	be vbz NUPOS
included	VBN	include VBN PennPOS
in	IN	in IN PennPOS
this	DT	this d NUPOS
group	NN	group NN PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
,	,	, , NUPOS
supporting	VBG	support VBG PennPOS
the	DT	the dt NUPOS
postulate	VBP	postulate VBP PennPOS
that	IN	that cst NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
is	VBZ	be vbz NUPOS
necessary	JJ	necessary JJ PennPOS
for	IN	for c-acp NUPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
other	JJ	other JJ PennPOS
,	,	, , NUPOS
more	RBR	much RBR PennPOS
downstream	JJ	downstream JJ PennPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
consequent	JJ	consequent JJ PennPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

