Interleukin-17	NN	Interleukin-17 NN PennPOS
results	NNS	result NNS PennPOS
indicated	VBD	indicate VBD PennPOS
that	IN	that cst NUPOS
IL-17	NN	IL-17 NN PennPOS
can	MD	can vmb NUPOS
induce	VB	induce VBP PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
to	TO	to p-acp NUPOS
undergo	VB	undergo VBP PennPOS
morphological	JJ	morphological JJ PennPOS
changes	NNS	change NNS PennPOS
and	CC	and cc NUPOS
phenotypic	JJ	phenotypic JJ PennPOS
markers	NNS	marker NNS PennPOS
changes	NNS	change NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
down-regulated	VBN	downregulate VBN PennPOS
E-cad	NN	E-cad NN PennPOS
expression	NN	expression NN PennPOS
and	CC	and cc NUPOS
up-regulated	VBD	upregulate VBD PennPOS
a-SMA	NN	a-SMA NN PennPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

Additionally	RB	additional RB PennPOS
,	,	, , NUPOS
IL-17	NN	IL-17 NN PennPOS
enhanced	VBD	enhance VBD PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
expression	NN	expression NN PennPOS
and	CC	and cc NUPOS
stimulated	VBN	stimulate VBN PennPOS
Smad2/3	NN	Smad2/3 NN PennPOS
and	CC	and cc NUPOS
ERK1/2	NN	ERK1/2 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
in	IN	in IN PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
there	EX	there pc-acp NUPOS
were	VBD	be vbd NUPOS
no	DT	no dx NUPOS
significant	JJ	significant JJ PennPOS
differences	NNS	difference NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
phosphorylated	VBN	phosphorylate VBN PennPOS
JNK	NN	jnk NN PennPOS
in	IN	in IN PennPOS
A549	NN	A549 NN PennPOS
cells	NNS	cell NNS PennPOS
with	IN	with pp NUPOS
or	CC	or cc NUPOS
without	IN	without IN PennPOS
IL-17	NN	IL-17 NN PennPOS
treatment	NN	treatment NN PennPOS
.	.	. . NUPOS

SB431542	NN	SB431542 NN PennPOS
or	CC	or cc NUPOS
U0126	NN	U0126 NN PennPOS
treated	JJ	treated JJ PennPOS
cells	NNS	cell NNS PennPOS
showed	VBD	show VBN PennPOS
inhibited	VBN	inhibit VBN PennPOS
morphological	JJ	morphological JJ PennPOS
changes	NNS	change NNS PennPOS
and	CC	and cc NUPOS
phenotypic	JJ	phenotypic JJ PennPOS
markers	NNS	marker NNS PennPOS
expression	NN	expression NN PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
up-regulated	VBN	upregulate VBN PennPOS
E-cad	NN	E-cad NN PennPOS
expression	NN	expression NN PennPOS
and	CC	and cc NUPOS
down-regulated	VBD	downregulate VBD PennPOS
a-SMA	NN	a-SMA NN PennPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
summary	NN	summary NN PennPOS
,	,	, , NUPOS
our	PRP$	our po12 NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
IL-17	NN	IL-17 NN PennPOS
can	MD	can vmb NUPOS
induce	VB	induce VBP PennPOS
A549	NN	A549 NN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
to	TO	to p-acp NUPOS
undergo	VB	undergo VBP PennPOS
EMT	NN	emt NN PennPOS
via	IN	via IN PennPOS
the	DT	the dt NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
mediated	VBD	mediate VBD PennPOS
Smad2/3	NN	Smad2/3 NN PennPOS
and	CC	and cc NUPOS
ERK1/2	NN	ERK1/2 NN PennPOS
activation	NN	activation NN PennPOS
.	.	. . NUPOS

