Sorafenib	NNP	Sorafenib NNP PennPOS
to	TO	to p-acp NUPOS
injury	NN	injury NN PennPOS
.	.	. . NUPOS

During	IN	during pp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
transforming-growth-factor-b	NN	transforming-growth-factor-b NN PennPOS
(	(	( ( NUPOS
TGF-b	NN	TGF-b NN PennPOS
)	)	) ) NUPOS
signaling	NN	signaling NN PennPOS
is	VBZ	be vbz NUPOS
considered	VBN	consider VBN PennPOS
a	DT	a dt NUPOS
pivotal	JJ	pivotal JJ PennPOS
inducer	NN	inducer NN PennPOS
of	IN	of pp-f NUPOS
EMT	NN	emt NN PennPOS
and	CC	and cc NUPOS
fibroblast	NN	fibroblast NN PennPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
number	NN	number NN PennPOS
of	IN	of pp-f NUPOS
therapeutic	JJ	therapeutic JJ PennPOS
interventions	NNS	intervention NNS PennPOS
that	WDT	that WDT PennPOS
interfere	VBP	interfere VBP PennPOS
with	IN	with pp NUPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
have	VBP	have vhb NUPOS
been	VBN	be vbn NUPOS
developed	VBN	develop VBN PennPOS
to	TO	to p-acp NUPOS
reverse	VB	reverse VBP PennPOS
established	JJ	established JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
efficient	JJ	efficient JJ PennPOS
and	CC	and cc NUPOS
well-tolerated	JJ	well-tolerated JJ PennPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
agents	NNS	agent NNS PennPOS
are	VBP	be vbb NUPOS
not	RB	not xx NUPOS
currently	RB	current av-j NUPOS
available	JJ	available JJ PennPOS
.	.	. . NUPOS

Previously	RB	previous av-j NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
reported	VBD	report VBD PennPOS
the	DT	the dt NUPOS
identification	NN	identification NN PennPOS
of	IN	of pp-f NUPOS
sorafenib	NN	sorafenib NN PennPOS
to	TO	to p-acp NUPOS
antagonize	VB	antagonize VBP PennPOS
TGF-b	NN	TGF-b NN PennPOS
signaling	NN	signaling NN PennPOS
in	IN	in IN PennPOS
mouse	NN	mouse NN PennPOS
hepatocytes	NNS	hepatocyte NNS PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
manuscript	NN	manuscript NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
continued	VBD	continue VBD PennPOS
to	TO	to p-acp NUPOS
evaluate	VB	evaluate VBP PennPOS
the	DT	the dt NUPOS
antifibrotic	JJ	antifibrotic JJ PennPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
sorafenib	NN	sorafenib NN PennPOS
on	IN	on IN PennPOS
bleomycin	NN	bleomycin NN PennPOS
(	(	( ( NUPOS
BLM	NN	Blm NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
further	RB	further av-jc NUPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
sorafenib	NN	sorafenib NN PennPOS
not	RB	not xx NUPOS
only	RB	only av-j NUPOS
profoundly	RB	profound av-j NUPOS
inhibited	VBD	inhibit VBD PennPOS
TGF-b1-induced	JJ	tgf-b1-induced JJ PennPOS
EMT	NN	emt NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
also	RB	also av NUPOS
simultaneously	RB	simultaneous av-j NUPOS
reduced	VBD	reduce VBD PennPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
synthesis	NN	synthesis NN PennPOS
in	IN	in IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Additionally	RB	additional RB PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
presented	VBD	present VBD PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
evidence	NN	evidence NN PennPOS
that	IN	that cst NUPOS
sorafenib	NN	sorafenib NN PennPOS
inhibited	VBD	inhibit VBD PennPOS
the	DT	the dt NUPOS
symptoms	NNS	symptom NNS PennPOS
of	IN	of pp-f NUPOS
BLM-mediated	JJ	blm-mediated JJ PennPOS
EMT	NN	emt NN PennPOS
and	CC	and cc NUPOS
fibroblast	NN	fibroblast NN PennPOS
activation	NN	activation NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
,	,	, , NUPOS
warranting	VBG	warrant VBG PennPOS
the	DT	the dt NUPOS
therapeutic	JJ	therapeutic JJ PennPOS
potential	NN	potential NN PennPOS
of	IN	of pp-f NUPOS
this	DT	this d NUPOS
drug	NN	drug NN PennPOS
for	IN	for c-acp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

