[	(	[ ( NUPOS
Ost-4	NN	Ost-4 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
CD117	NN	CD117 NN PennPOS
(	(	( ( NUPOS
``	``	`` `` NONE
Dako	NNP	Dako NNP PennPOS
''	''	'' '' NONE
,	,	, , NUPOS
1:50	CD	1:50 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
CD68	NN	CD68 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
EMA	NN	EMA NN PennPOS
(	(	( ( NUPOS
``	``	`` `` NONE
Dako	NNP	Dako NNP PennPOS
''	''	'' '' NONE
,	,	, , NUPOS
1:100	CD	1:100 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Biotinylated	VBN	biotinylate VBN PennPOS
anti-mouse	JJ	anti-mouse JJ PennPOS
and	CC	and cc NUPOS
anti-rabbit	JJ	anti-rabbit JJ PennPOS
immunoglobulin	NN	immunoglobulin NN PennPOS
antibodies	NNS	antibody NNS PennPOS
(	(	( ( NUPOS
``	``	`` `` NONE
Dako	NNP	Dako NNP PennPOS
''	''	'' '' NONE
LSAB	NN	LSAB NN PennPOS
+	CC	+ CC PennPOS
KIT	NN	kit NN PennPOS
,	,	, , NUPOS
PEROXIDASE	NN	peroxidase NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
as	IN	as c-acp NUPOS
secondary	JJ	secondary JJ PennPOS
antibodies	NNS	antibody NNS PennPOS
.	.	. . NUPOS

All	PDT	all av-d NUPOS
the	DT	the dt NUPOS
quantitative	JJ	quantitative JJ PennPOS
and	CC	and cc NUPOS
semi-quantitative	JJ	semi-quantitative JJ PennPOS
data	NNS	datum NNS PennPOS
obtained	VBN	obtain VBN PennPOS
were	VBD	be vbd NUPOS
processed	VBN	process VBN PennPOS
by	IN	by IN PennPOS
variation	NN	variation NN PennPOS
statistics	NNS	statistics NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
compared	VBN	compare VBN PennPOS
IIPs	NNS	iip NNS PennPOS
were	VBD	be vbd NUPOS
shown	VBN	show VBN PennPOS
to	TO	to p-acp NUPOS
differ	VB	differ VBP PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
site	NN	site NN PennPOS
and	CC	and cc NUPOS
degree	NN	degree NN PennPOS
of	IN	of pp-f NUPOS
initial	JJ	initial JJ PennPOS
and	CC	and cc NUPOS
secondary	JJ	secondary JJ PennPOS
respiratory	JJ	respiratory JJ PennPOS
acinus	NN	acinus NN PennPOS
damages	NNS	damages NN PennPOS
caused	VBN	cause VBN PennPOS
by	IN	by IN PennPOS
the	DT	the dt NUPOS
aggressiveness	NN	aggressiveness NN PennPOS
of	IN	of pp-f NUPOS
an	DT	a dt NUPOS
inflammatory	JJ	inflammatory JJ PennPOS
infiltrate	NN	infiltrate NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
spread	NN	spread NN PennPOS
of	IN	of pp-f NUPOS
a	DT	a dt NUPOS
lesion	NN	lesion NN PennPOS
to	TO	to p-acp NUPOS
different	JJ	different JJ PennPOS
SCN	NN	scn NN PennPOS
areas	NNS	area NNS PennPOS
involved	VBN	involve VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
regeneration	NN	regeneration NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cell	NN	cell NN PennPOS
with	IN	with pp NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
is	VBZ	be vbz NUPOS
probably	RB	probable av-j NUPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
stem	NN	stem NN PennPOS
cell	NN	cell NN PennPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
evidenced	VBN	evidence VBN PennPOS
by	IN	by IN PennPOS
Oct-4	NN	Oct-4 NN PennPOS
,	,	, , NUPOS
Vimentin	NN	vimentin NN PennPOS
,	,	, , NUPOS
SMA	NN	sma NN PennPOS
,	,	, , NUPOS
CD117	NN	CD117 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
CD34	NN	CD34 NN PennPOS
expression	NN	expression NN PennPOS
by	IN	by IN PennPOS
these	DT	these d NUPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
considered	VBN	consider VBN PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
a	DT	a dt NUPOS
marker	NN	marker NN PennPOS
cell	NN	cell NN PennPOS
of	IN	of pp-f NUPOS
deep	JJ	deep JJ PennPOS
SCN	NN	scn NN PennPOS
damage	NN	damage NN PennPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
author	NN	author NN PennPOS
state	NN	state NN PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
clinical	JJ	clinical JJ PennPOS
course	NN	course NN PennPOS
and	CC	and cc NUPOS
degree	NN	degree NN PennPOS
of	IN	of pp-f NUPOS
morphological	JJ	morphological JJ PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
IPP	NN	ipp NN PennPOS
directly	RB	direct av-j NUPOS
depend	VB	depend VBP PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
severity	NN	severity NN PennPOS
and	CC	and cc NUPOS
depth	NN	depth NN PennPOS
of	IN	of pp-f NUPOS
damage	NN	damage NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
SCN	NN	scn NN PennPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
respiratory	JJ	respiratory JJ PennPOS
acinus	NN	acinus NN PennPOS
.	.	. . NUPOS

