Comparative	JJ	comparative JJ PennPOS
The	DT	the dt NUPOS
aim	NN	aim NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
present	JJ	present JJ PennPOS
immunohistochemical	JJ	immunohistochemical JJ PennPOS
study	NN	study NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
TGF-b	NN	TGF-b NN PennPOS
signalling	NN	signalling NN PennPOS
activity	NN	activity NN PennPOS
and	CC	and cc NUPOS
its	PRP$	its po31 NUPOS
known	JJ	known j-vvn NUPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
(	(	( ( NUPOS
ECM	NN	ecm NN PennPOS
)	)	) ) NUPOS
regulatory	JJ	regulatory JJ PennPOS
proteins	NNS	protein NNS PennPOS
,	,	, , NUPOS
latent	JJ	latent JJ PennPOS
TGF-b	NN	TGF-b NN PennPOS
binding	NN	binding NN PennPOS
protein	NN	protein NN PennPOS
(	(	( ( NUPOS
LTBP	NN	LTBP NN PennPOS
)	)	) ) NUPOS
-1	CD	-1 CD PennPOS
and	CC	and cc NUPOS
fibrillin-2	NN	fibrillin-2 NN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
of	IN	of pp-f NUPOS
WHWTs	NNS	whwt NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
healthy	JJ	healthy JJ PennPOS
WHWTs	NNS	whwt NNS PennPOS
and	CC	and cc NUPOS
to	TO	to p-acp NUPOS
compare	VB	compare VBP PennPOS
these	DT	these d NUPOS
with	IN	with pp NUPOS
findings	NNS	finding n2 NUPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
UIP	NNP	UIP NNP PennPOS
and	CC	and cc NUPOS
NSIP	NNP	NSIP NNP PennPOS
.	.	. . NUPOS

P-Smad2	NN	P-Smad2 NN PennPOS
immunoreactivity	NN	immunoreactivity NN PennPOS
,	,	, , NUPOS
indicating	VBG	indicate VBG PennPOS
TGF-b	NN	TGF-b NN PennPOS
signalling	NN	signalling NN PennPOS
activity	NN	activity NN PennPOS
,	,	, , NUPOS
was	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
WHWTs	NNS	whwt NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
relative	JJ	relative JJ PennPOS
to	TO	to p-acp NUPOS
healthy	JJ	healthy JJ PennPOS
WHWTs	NNS	whwt NNS PennPOS
and	CC	and cc NUPOS
expression	NN	expression NN PennPOS
was	VBD	be vbd NUPOS
localized	JJ	localized JJ PennPOS
predominantly	RB	predominant RB PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
altered	JJ	altered JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelium	NN	epithelium NN PennPOS
,	,	, , NUPOS
as	IN	as c-acp NUPOS
seen	VBN	see VBN PennPOS
in	IN	in IN PennPOS
both	CC	both CC PennPOS
UIP	NNP	UIP NNP PennPOS
and	CC	and cc NUPOS
NSIP	NNP	NSIP NNP PennPOS
.	.	. . NUPOS

Increased	VBN	increase VBN PennPOS
peribronchial	JJ	peribronchial JJ PennPOS
and	CC	and cc NUPOS
perivascular	JJ	perivascular JJ PennPOS
LTBP-1	NN	LTBP-1 NN PennPOS
immunoreactivity	NN	immunoreactivity NN PennPOS
was	VBD	be vbd NUPOS
seen	VBN	see VBN PennPOS
in	IN	in IN PennPOS
WHWTs	NNS	whwt NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
controls	NNS	control NNS PennPOS
,	,	, , NUPOS
possibly	RB	possible av-j NUPOS
indicating	VBG	indicate VBG PennPOS
the	DT	the dt NUPOS
importance	NN	importance NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
small	JJ	small JJ PennPOS
airways	NNS	airway NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
canine	JJ	canine JJ PennPOS
disease	NN	disease NN PennPOS
.	.	. . NUPOS

Alveolar	JJ	alveolar JJ PennPOS
LTPB-1	NN	LTPB-1 NN PennPOS
immunolabelling	NN	immunolabelling NN PennPOS
in	IN	in IN PennPOS
diseased	JJ	diseased JJ PennPOS
WHWTs	NNS	whwt NNS PennPOS
was	VBD	be vbd NUPOS
seen	VBN	see VBN PennPOS
mainly	RB	main av-j NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
altered	JJ	altered JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelium	NN	epithelium NN PennPOS
,	,	, , NUPOS
resembling	VBG	resemble VBG PennPOS
more	RBR	much RBR PennPOS
closely	RB	close av-j NUPOS
the	DT	the dt NUPOS
labelling	NN	labelling NN PennPOS
in	IN	in IN PennPOS
UIP	NNP	UIP NNP PennPOS
than	IN	than cs NUPOS
in	IN	in IN PennPOS
NSIP	NNP	NSIP NNP PennPOS
.	.	. . NUPOS

Alveolar	JJ	alveolar JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
fibrillin-2	NN	fibrillin-2 NN PennPOS
immunoreactivity	NN	immunoreactivity NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
is	VBZ	be vbz NUPOS
up-regulated	VBN	upregulate VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
people	NNS	people n2 NUPOS
with	IN	with pp NUPOS
UIP	NNP	UIP NNP PennPOS
,	,	, , NUPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
detected	VBN	detect VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
WHWTs	NNS	whwt NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
people	NNS	people n2 NUPOS
with	IN	with pp NUPOS
NSIP	NN	NSIP NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
no	DT	no dx NUPOS
significant	JJ	significant JJ PennPOS
difference	NN	difference NN PennPOS
was	VBD	be vbd NUPOS
seen	VBN	see VBN PennPOS
between	IN	between IN PennPOS
WHWTs	NNS	whwt NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
control	NN	control NN PennPOS
WHWTs	NNS	whwt NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
increased	VBN	increase VBN PennPOS
TGF-b	NN	TGF-b NN PennPOS
signalling	NN	signalling NN PennPOS
and	CC	and cc NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
ECM	NN	ecm NN PennPOS
regulatory	JJ	regulatory JJ PennPOS
proteins	NNS	protein NNS PennPOS
LTBP-1	NN	LTBP-1 NN PennPOS
and	CC	and cc NUPOS
fibrillin-2	NN	fibrillin-2 NN PennPOS
are	VBP	be vbb NUPOS
part	NN	part NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
molecular	JJ	molecular JJ PennPOS
pathophysiology	NN	pathophysiology NN PennPOS
of	IN	of pp-f NUPOS
canine	JJ	canine JJ PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

