Protective	JJ	protective JJ PennPOS
In	IN	in IN PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
stimulated	VBD	stimulate VBD PennPOS
HLF-1	NN	HLF-1 NN PennPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
GA	NN	ga NN PennPOS
reduced	VBD	reduce VBD PennPOS
HLF-1	NN	HLF-1 NN PennPOS
proliferation	NN	proliferation NN PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
decrease	NN	decrease NN PennPOS
in	IN	in IN PennPOS
platelet-derived	JJ	platelet-derived JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
PDGF	NN	PDGF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
fibroblast	NN	fibroblast NN PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
FGF-2	NN	FGF-2 NN PennPOS
)	)	) ) NUPOS
expressions	NNS	expression NNS PennPOS
.	.	. . NUPOS

In	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
,	,	, , NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
GA	NN	ga NN PennPOS
for	IN	for c-acp NUPOS
2	CD	2 crd NUPOS
weeks	NNS	week NNS PennPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
an	DT	a dt NUPOS
amelioration	NN	amelioration NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
BLM-induced	JJ	blm-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
rats	NNS	rat NNS PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
lower	JJR	low JJR PennPOS
VASH-2	NN	VASH-2 NN PennPOS
.	.	. . NUPOS

Instead	RB	instead av NUPOS
,	,	, , NUPOS
it	PRP	it pn31 NUPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
a	DT	a dt NUPOS
higher	JJR	high JJR PennPOS
VASH-1	NN	VASH-1 NN PennPOS
expression	NN	expression NN PennPOS
at	IN	at pp NUPOS
early	JJ	early JJ PennPOS
stage	NN	stage NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
at	IN	at pp NUPOS
1	CD	1 crd NUPOS
mg/kg	NN	mg/kg NN PennPOS
,	,	, , NUPOS
with	IN	with pp NUPOS
reductions	NNS	reduction NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
pathological	JJ	pathological JJ PennPOS
score	NN	score NN PennPOS
,	,	, , NUPOS
collagen	NN	collagen NN PennPOS
deposition	NN	deposition NN PennPOS
,	,	, , NUPOS
a-SMA	NN	a-SMA NN PennPOS
,	,	, , NUPOS
PDGF	NN	PDGF NN PennPOS
and	CC	and cc NUPOS
FGF-2	NN	FGF-2 NN PennPOS
expressions	NNS	expression NNS PennPOS
at	IN	at pp NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
stage	NN	stage NN PennPOS
at	IN	at pp NUPOS
0.5	CD	0.5 CD PennPOS
mg/kg	NN	mg/kg NN PennPOS
and	CC	and cc NUPOS
1	CD	1 crd NUPOS
mg/kg	NN	mg/kg NN PennPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
summary	NN	summary NN PennPOS
,	,	, , NUPOS
GA	NN	ga NN PennPOS
reversed	VBD	reverse VBD PennPOS
EMT	NNP	emt NN PennPOS
and	CC	and cc NUPOS
EndoMT	NNP	EndoMT NNP PennPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
HLF-1	NN	HLF-1 NN PennPOS
proliferation	NN	proliferation NN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
and	CC	and cc NUPOS
prevented	VBD	prevent VBD PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
by	IN	by IN PennPOS
modulating	VBG	modulate VBG PennPOS
VASH-2	NN	VASH-2 NN PennPOS
/	:	/ : NUPOS
VASH-1	NN	VASH-1 NN PennPOS
and	CC	and cc NUPOS
suppressing	VBG	suppress VBG PennPOS
the	DT	the dt NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
/	:	/ : NUPOS
Smad3	NN	Smad3 NN PennPOS
pathway	NN	pathway NN PennPOS
.	.	. . NUPOS

