Establishment	NN	establishment NN PennPOS
,	,	, , NUPOS
IL-6	NN	IL-6 NN PennPOS
,	,	, , NUPOS
IL-10	NN	IL-10 NN PennPOS
,	,	, , NUPOS
IL-17A	NN	IL-17A NN PennPOS
,	,	, , NUPOS
MIG	NNP	MIG NNP PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
supernatants	NNS	supernatant NNS PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
were	VBD	be vbd NUPOS
closely	RB	close av-j NUPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
intervention	NN	intervention NN PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
IL-17A	NN	IL-17A NN PennPOS
antibody	NN	antibody NN PennPOS
to	TO	to p-acp NUPOS
AE	NN	AE NN PennPOS
was	VBD	be vbd NUPOS
explored	VBN	explore VBN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
By	IN	by IN PennPOS
week	NN	week NN PennPOS
4	CD	4 crd NUPOS
after	IN	after c-acp NUPOS
the	DT	the dt NUPOS
second	JJ	second JJ PennPOS
BLM	NNP	Blm NN PennPOS
administration	NN	administration NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
mortality	NN	mortality NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
group	NN	group NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
greater	JJR	great JJR PennPOS
(	(	( ( NUPOS
45	CD	45 crd NUPOS
%	NN	% NN PennPOS
,	,	, , NUPOS
9/20	CD	9/20 CD PennPOS
)	)	) ) NUPOS
than	IN	than cs NUPOS
that	DT	that d NUPOS
in	IN	in IN PennPOS
stable-IPF	JJ	stable-ipf JJ PennPOS
group	NN	group NN PennPOS
(	(	( ( NUPOS
0/18	CD	0/18 CD PennPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
=	JJ	= JJ PennPOS
.0017	CD	.0017 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
average	JJ	average JJ PennPOS
body	NN	body NN PennPOS
weight	NN	weight NN PennPOS
in	IN	in IN PennPOS
AE-IPF	NN	AE-IPF NN PennPOS
group	NN	group NN PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
lower	JJR	low JJR PennPOS
than	IN	than cs NUPOS
that	DT	that d NUPOS
in	IN	in IN PennPOS
stable	JJ	stable JJ PennPOS
group	NN	group NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
.0001	CD	.0001 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
AE-IPF	NN	AE-IPF NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
inflammation	NN	inflammation NN PennPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
were	VBD	be vbd NUPOS
severer	JJR	severe jc NUPOS
by	IN	by IN PennPOS
histopathology	NN	histopathology NN PennPOS
analysis	NN	analysis NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
,	,	, , NUPOS
IL-17A	NN	IL-17A NN PennPOS
,	,	, , NUPOS
MIG	NN	MIG NN PennPOS
(	(	( ( NUPOS
CXCL-9	NN	CXCL-9 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-6	NN	IL-6 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
AE	NN	AE NN PennPOS
group	NN	group NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
percentages	NNS	percentage NNS PennPOS
of	IN	of pp-f NUPOS
neutrophils	NNS	neutrophil NNS PennPOS
and	CC	and cc NUPOS
Th17	NN	Th17 NN PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
in	IN	in IN PennPOS
AE	NNP	AE NN PennPOS
group	NN	group NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
.01	CD	.01 CD PennPOS
;	:	; : NUPOS
P	NN	p NN PennPOS
=	JJ	= JJ PennPOS
.0281	CD	.0281 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

IL-17A	JJ	il-17a JJ PennPOS
antibody	NN	antibody NN PennPOS
could	MD	can vmd NUPOS
attenuated	VBD	attenuate VBD PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
inflammation	NN	inflammation NN PennPOS
induced	VBN	induce VBN PennPOS
by	IN	by IN PennPOS
twice	RB	twice av NUPOS
BLM	NNP	Blm NN PennPOS
challenges	NNS	challenge NNS PennPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
A	DT	a dt NUPOS
mouse	NN	mouse NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
can	MD	can vmb NUPOS
be	VB	be vbi NUPOS
established	VBN	establish VBN PennPOS
using	VBG	use VBG PennPOS
two	CD	two crd NUPOS
administrations	NNS	administration NNS PennPOS
of	IN	of pp-f NUPOS
BLM	NNP	Blm NN PennPOS
;	:	; : NUPOS
Th17	NN	Th17 NN PennPOS
cells	NNS	cell NNS PennPOS
may	MD	may vmb NUPOS
play	VB	play VBP PennPOS
a	DT	a dt NUPOS
key	JJ	key JJ PennPOS
role	NN	role NN PennPOS
during	IN	during pp NUPOS
the	DT	the dt NUPOS
pathological	JJ	pathological JJ PennPOS
process	NN	process NN PennPOS
of	IN	of pp-f NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
.	.	. . NUPOS

