Increased	VBN	increase VBN PennPOS
obstructive	JJ	obstructive JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
disease	NN	disease NN PennPOS
(	(	( ( NUPOS
COPD	NN	copd NN PennPOS
)	)	) ) NUPOS
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
33	CD	33 CD PennPOS
,	,	, , NUPOS
CFIP	NNP	CFIP NNP PennPOS
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
44	CD	44 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Extent	NN	extent NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
was	VBD	be vbd NUPOS
assessed	VBN	assess VBN PennPOS
by	IN	by IN PennPOS
fibrosing	JJ	fibrosing JJ PennPOS
score	NN	score NN PennPOS
(	(	( ( NUPOS
FS	NN	FS NN PennPOS
)	)	) ) NUPOS
of	IN	of pp-f NUPOS
computed	JJ	computed JJ PennPOS
tomography	NN	tomography NN PennPOS
(	(	( ( NUPOS
CT	NN	ct NN PennPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
FS1-4	NN	FS1-4 NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Immunohistochemical	JJ	immunohistochemical JJ PennPOS
evaluation	NN	evaluation NN PennPOS
of	IN	of pp-f NUPOS
COX-2	NN	COX-2 NN PennPOS
was	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
to	TO	to p-acp NUPOS
find	VB	find VBP PennPOS
PGE2	NN	PGE2 NN PennPOS
producing	VBG	produce VBG PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Human	JJ	human JJ PennPOS
bronchial	JJ	bronchial JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
HBEC	NNS	hbec NNS PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
(	(	( ( NUPOS
LFB	NN	LFB NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
in	IN	in IN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
experiments	NNS	experiment NNS PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
Compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
control	VB	control VBP PennPOS
,	,	, , NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
levels	NNS	level NNS PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
elevated	JJ	elevated JJ PennPOS
in	IN	in IN PennPOS
CFIP	NNP	CFIP NNP PennPOS
.	.	. . NUPOS

PGE-MUM	NN	PGE-MUM NN PennPOS
levels	NNS	level NNS PennPOS
were	VBD	be vbd NUPOS
positively	RB	positive av-j NUPOS
correlated	VBN	correlate VBN PennPOS
with	IN	with pp NUPOS
FS	NN	FS NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
inversely	RB	inverse av-j NUPOS
correlated	VBD	correlate VBD PennPOS
with	IN	with pp NUPOS
%	NN	% NN PennPOS
DLCO	NN	DLCO NN PennPOS
in	IN	in IN PennPOS
IP	NNP	IP NN PennPOS
(	(	( ( NUPOS
FS	NNP	FS NN PennPOS
1-3	CD	1-3 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

COX-2	NN	COX-2 NN PennPOS
was	VBD	be vbd NUPOS
highly	RB	high av-j NUPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
metaplastic	JJ	metaplastic JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
lower	JJR	low JJR PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
EP2	NN	EP2 NN PennPOS
receptor	NN	receptor NN PennPOS
was	VBD	be vbd NUPOS
demonstrated	VBN	demonstrate VBN PennPOS
in	IN	in IN PennPOS
LFB	NN	LFB NN PennPOS
derived	VBN	derive VBN PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

TGF-b	NN	TGF-b NN PennPOS
induced	VBD	induce VBD PennPOS
COX-2	NN	COX-2 NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
HBEC	NN	HBEC NN PennPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion NNS PennPOS
:	:	: : NUPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
,	,	, , NUPOS
elevated	JJ	elevated JJ PennPOS
in	IN	in IN PennPOS
CFIP	NNP	CFIP NNP PennPOS
,	,	, , NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
promising	JJ	promising JJ PennPOS
biomarker	NN	biomarker NN PennPOS
reflecting	VBG	reflect VBG PennPOS
disease	NN	disease NN PennPOS
activity	NN	activity NN PennPOS
.	.	. . NUPOS

Metaplastic	JJ	metaplastic JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
can	MD	can vmb NUPOS
be	VB	be vbi NUPOS
a	DT	a dt NUPOS
source	NN	source NN PennPOS
of	IN	of pp-f NUPOS
elevated	JJ	elevated JJ PennPOS
PGE-MUM	NN	PGE-MUM NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

