Sphingolipids	NNS	sphingolipid NNS PennPOS
by	IN	by IN PennPOS
Sphingosine	NN	sphingosine NN PennPOS
kinases	NNS	kinase NNS PennPOS
(	(	( ( NUPOS
SphKs	NNS	sphk NNS PennPOS
)	)	) ) NUPOS
1	CD	1 crd NUPOS
NN	NN NONE NONE
2	CD	2 crd NUPOS
and	CC	and cc NUPOS
catabolism	NN	catabolism NN PennPOS
by	IN	by IN PennPOS
S1P	NN	S1P NN PennPOS
phosphatases	NNS	phosphatase NNS PennPOS
and	CC	and cc NUPOS
S1P	NN	S1P NN PennPOS
lyase	NN	lyase NN PennPOS
(	(	( ( NUPOS
S1PL	NN	S1PL NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
is	VBZ	be vbz NUPOS
not	RB	not xx NUPOS
well	RB	well av NUPOS
defined	VBN	define VBN PennPOS
.	.	. . NUPOS

Microarray	NN	Microarray NN PennPOS
analysis	NN	analysis NN PennPOS
of	IN	of pp-f NUPOS
blood	NN	blood NN PennPOS
mononuclear	JJ	mononuclear JJ PennPOS
cells	NNS	cell NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
SphK1	NN	SphK1 NN PennPOS
-	:	- : NUPOS
,	,	, , NUPOS
SphK2	NN	SphK2 NN PennPOS
-	:	- : NUPOS
or	CC	or cc NUPOS
S1PL-knockout	JJ	s1pl-knockout JJ PennPOS
mice	NNS	mouse n2 NUPOS
and	CC	and cc NUPOS
SphK	NN	SphK NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
to	TO	to p-acp NUPOS
assess	VB	assess VBP PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
S1P	NN	S1P NN PennPOS
in	IN	in IN PennPOS
fibrogenesis	NN	fibrogenesis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
negatively	RB	negative av-jn NUPOS
correlated	VBD	correlate VBD PennPOS
with	IN	with pp NUPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
and	CC	and cc NUPOS
survival	NN	survival NN PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Further	RB	further av-jc NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
and	CC	and cc NUPOS
S1PL	NN	S1PL NN PennPOS
were	VBD	be vbd NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
bleomycin-challenged	JJ	bleomycin-challenged JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Genetic	JJ	genetic JJ PennPOS
knockdown	NN	knockdown NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
SphK2	NN	SphK2 NN PennPOS
,	,	, , NUPOS
ameliorated	VBN	ameliorate VBN PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
while	IN	while cs NUPOS
deletion	NN	deletion NN PennPOS
of	IN	of pp-f NUPOS
S1PL	NN	S1PL NN PennPOS
(	(	( ( NUPOS
SGPL1	NN	SGPL1 NN PennPOS
(	(	( ( NUPOS
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-	:	- : NUPOS
)	)	) ) NUPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
potentiated	VBD	potentiate VBD PennPOS
fibrosis	NN	fibrosis NN PennPOS
post-bleomycin	JJ	post-bleomycin JJ PennPOS
challenge	NN	challenge NN PennPOS
.	.	. . NUPOS

TGF-b	NN	TGF-b NN PennPOS
increased	VBD	increase VBD PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
and	CC	and cc NUPOS
S1PL	NN	S1PL NN PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
knockdown	NN	knockdown NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
or	CC	or cc NUPOS
treatment	NN	treatment NN PennPOS
with	IN	with pp NUPOS
SphK	NN	SphK NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
S1P	NN	S1P NN PennPOS
generation	NN	generation NN PennPOS
and	CC	and cc NUPOS
TGF-b	NN	TGF-b NN PennPOS
mediated	JJ	mediated JJ PennPOS
signal	NN	signal NN PennPOS
transduction	NN	transduction NN PennPOS
.	.	. . NUPOS

Over-expression	NN	Over-expression NN PennPOS
of	IN	of pp-f NUPOS
S1PL	NN	S1PL NN PennPOS
attenuated	VBD	attenuate VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
TGF-b	NN	TGF-b NN PennPOS
secretion	NN	secretion NN PennPOS
and	CC	and cc NUPOS
S1P	NN	S1P NN PennPOS
mediated	VBD	mediate VBD PennPOS
differentiation	NN	differentiation NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
through	IN	through IN PennPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
autophagy	NN	autophagy NN PennPOS
.	.	. . NUPOS

Administration	NN	administration NN PennPOS
of	IN	of pp-f NUPOS
SphK1	NN	SphK1 NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
8	CD	8 crd NUPOS
days	NNS	day n2 NUPOS
post-bleomycin	JJ	post-bleomycin JJ PennPOS
challenge	NN	challenge NN PennPOS
reduced	VBD	reduce VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
mortality	NN	mortality NN PennPOS
and	CC	and cc NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
SphK1	NN	SphK1 NN PennPOS
and	CC	and cc NUPOS
S1PL	NN	S1PL NN PennPOS
play	VBP	play VBP PennPOS
critical	JJ	critical JJ PennPOS
roles	NNS	role NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathology	NN	pathology NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
novel	JJ	novel JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
targets	NNS	target NNS PennPOS
.	.	. . NUPOS

