MicroRNA-101	NN	MicroRNA-101 O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
by	IN	by O TermTag
inhibiting	VBG	inhibit O TermTag
NFATc2	NN	NFATc2 O TermTag
signaling	NN	signaling O TermTag
via	IN	via O TermTag
targeting	VBG	target O TermTag
Frizzled	JJ	frizzle O TermTag
receptor	NN	receptor O TermTag
4/6	CD	4/6 O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
by	IN	by O TermTag
inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
SMAD2/3	NN	SMAD2/3 GENE TermTag
signaling	NN	signaling O TermTag
via	IN	via O TermTag
targeting	VBG	target O TermTag
the	DT	the O TermTag
TGF-b	NN	TGF-b GENE TermTag
receptor	NN	receptor O TermTag
1	CD	1 crd NUPOS
.	.	. . NUPOS

Adenovirus-mediated	JJ	adenovirus-mediated O TermTag
miR-101	NN	miR-101 O TermTag
gene	NN	gene O TermTag
transfer	NN	transfer O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
mouse	NN	mouse O TermTag
lung	NN	lung O TermTag
attenuated	VBD	attenuate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
improved	VBD	improve O TermTag
lung	NN	lung O TermTag
function	NN	function O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
data	NNS	datum O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
miR-101	NN	miR-101 O TermTag
is	VBZ	be O TermTag
an	DT	a O TermTag
anti-fibrotic	JJ	anti-fibrotic O TermTag
microRNA	NN	microRNA O TermTag
and	CC	and O TermTag
a	DT	a dt NUPOS
potential	JJ	potential O TermTag
therapeutic	JJ	therapeutic O TermTag
target	NN	target O TermTag
for	IN	for O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

