NOX4/NADPH	NN	NOX4/NADPH O TermTag
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
expression	NN	expression O TermTag
,	,	, , NUPOS
reactive	JJ	reactive O TermTag
oxygen	NN	oxygen O TermTag
species	NNS	specie O TermTag
production	NN	production O TermTag
and	CC	and O TermTag
Smad2/3	NN	Smad2/3 GENE TermTag
phosphorylation	NN	phosphorylation O TermTag
were	VBD	be O TermTag
quantified	VBN	quantify O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
absence	NN	absence O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
presence	NN	presence O TermTag
of	IN	of O TermTag
incubation	NN	incubation O TermTag
with	IN	with O TermTag
TGFbeta1	NN	TGFbeta1 GENE TermTag
.	.	. . NUPOS

Migration	NN	migration O TermTag
of	IN	of O TermTag
platelet-derived	JJ	platelet-derived O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
PDGF	NN	PDGF O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
fibroblasts	NNS	fibroblast O TermTag
was	VBD	be O TermTag
also	RB	also O TermTag
assessed	VBN	assess O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
It	PRP	it O TermTag
was	VBD	be O TermTag
found	VBN	find O TermTag
that	IN	that O TermTag
(	(	( ( NUPOS
1	LS	1 LS PennPOS
)	)	) ) NUPOS
NOX4	NN	NOX4 GENE TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
upregulated	VBN	upregulate O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
correlated	VBD	correlate O TermTag
with	IN	with O TermTag
mRNA	NN	mRNA O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
and	CC	and O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
mRNA	NN	mRNA O TermTag
;	:	; : NUPOS
(	(	( ( NUPOS
2	LS	2 LS PennPOS
)	)	) ) NUPOS
TGFbeta1	NN	TGFbeta1 GENE TermTag
upregulated	VBD	upregulate O TermTag
NOX4	NN	NOX4 GENE TermTag
,	,	, , NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
and	CC	and O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
expression	NN	expression O TermTag
in	IN	in O TermTag
control	NN	control O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
fibroblasts	NNS	fibroblast O TermTag
;	:	; : NUPOS
(	(	( ( NUPOS
3	LS	3 LS PennPOS
)	)	) ) NUPOS
the	DT	the O TermTag
change	NN	change O TermTag
in	IN	in O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
and	CC	and O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
expression	NN	expression O TermTag
in	IN	in O TermTag
response	NN	response O TermTag
to	TO	to O TermTag
TGFbeta1	NN	TGFbeta1 GENE TermTag
was	VBD	be O TermTag
inhibited	VBN	inhibit O TermTag
by	IN	by O TermTag
antioxidants	NNS	antioxidant O TermTag
and	CC	and O TermTag
by	IN	by O TermTag
a	DT	a dt NUPOS
NOX4	NN	NOX4 GENE TermTag
small	JJ	small O TermTag
interfering	VBG	interfere O TermTag
RNA	NN	rna O TermTag
(	(	( ( NUPOS
siRNA	NN	siRNA O TermTag
)	)	) ) NUPOS
;	:	; : NUPOS
(	(	( ( NUPOS
4	LS	4 LS PennPOS
)	)	) ) NUPOS
NOX4	NN	NOX4 GENE TermTag
modulated	VBD	modulate O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
and	CC	and O TermTag
procollagen	NN	procollagen O TermTag
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 O TermTag
)	)	) ) NUPOS
expression	NN	expression O TermTag
by	IN	by O TermTag
controlling	VBG	control O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
Smad2/3	NN	Smad2/3 GENE TermTag
;	:	; : NUPOS
and	CC	and O TermTag
(	(	( ( NUPOS
5	LS	5 LS PennPOS
)	)	) ) NUPOS
NOX4	NN	NOX4 GENE TermTag
modulated	VBD	modulate O TermTag
PDGF-induced	JJ	pdgf-induced O TermTag
fibroblast	NN	fibroblast O TermTag
migration	NN	migration O TermTag
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
NOX4	NN	NOX4 GENE TermTag
is	VBZ	be O TermTag
critical	JJ	critical O TermTag
for	IN	for O TermTag
modulation	NN	modulation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
pulmonary	JJ	pulmonary O TermTag
myofibroblast	NN	myofibroblast O TermTag
phenotype	NN	phenotype O TermTag
in	IN	in O TermTag
IPF	NNP	IPF O TermTag
,	,	, , NUPOS
probably	RB	probable O TermTag
by	IN	by O TermTag
modulating	VBG	modulate O TermTag
the	DT	the O TermTag
response	NN	response O TermTag
to	TO	to O TermTag
TGFbeta1	NN	TGFbeta1 GENE TermTag
and	CC	and O TermTag
PDGF	NN	PDGF O TermTag
.	.	. . NUPOS

