Association	NNP	association O TermTag
.	.	. . NUPOS

To	TO	to O TermTag
gain	VB	gain O TermTag
insights	NNS	insight O TermTag
into	IN	into O TermTag
the	DT	the O TermTag
pathobiology	NN	pathobiology O TermTag
of	IN	of O TermTag
AE-IPF	NN	AE-IPF O TermTag
through	IN	through O TermTag
the	DT	the O TermTag
beneficial	JJ	beneficial O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
analyzed	VBD	analyse O TermTag
the	DT	the O TermTag
profile	NN	profile O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
adsorbed	VBN	adsorb O TermTag
onto	IN	onto O TermTag
PMX-fibers	NNS	pmx-fiber O TermTag
used	VBN	use O TermTag
in	IN	in O TermTag
9	CD	9 crd NUPOS
AE-IPF	NN	AE-IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
addition	NN	addition O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
sera	NN	serum O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
AE-IPF	NN	AE-IPF O TermTag
patients	NNS	patient O TermTag
collected	VBN	collect O TermTag
immediately	RB	immediate O TermTag
before	IN	before O TermTag
and	CC	and O TermTag
after	IN	after O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
,	,	, , NUPOS
9	CD	9 crd NUPOS
stable	JJ	stable O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
and	CC	and O TermTag
8	CD	8 crd NUPOS
healthy	JJ	healthy O TermTag
individuals	NNS	individual O TermTag
were	VBD	be O TermTag
also	RB	also O TermTag
analyzed	VBN	analyse O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
serum	NN	serum O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
including	VBG	include O TermTag
IL-9	NN	IL-9 O TermTag
,	,	, , NUPOS
IL-12	NN	IL-12 O TermTag
,	,	, , NUPOS
IL-17	NN	IL-17 GENE TermTag
,	,	, , NUPOS
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
VEGF	NN	vegf GENE TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
decreased	VBN	decrease O TermTag
immediately	RB	immediate O TermTag
after	IN	after O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.02	CD	0.02 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
VEGF	NN	vegf GENE TermTag
and	CC	and O TermTag
IL-12	NN	IL-12 O TermTag
were	VBD	be O TermTag
most	RBS	much O TermTag
prominently	RB	prominent O TermTag
reduced	VBN	reduce O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
addition	NN	addition O TermTag
to	TO	to O TermTag
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
VEGF	NN	vegf GENE TermTag
,	,	, , NUPOS
IL-1b	NN	IL-1b GENE TermTag
,	,	, , NUPOS
IL-1ra	NN	IL-1ra O TermTag
,	,	, , NUPOS
IL-8	NN	IL-8 GENE TermTag
,	,	, , NUPOS
IL-23	NN	IL-23 O TermTag
,	,	, , NUPOS
FGF	NN	FGF O TermTag
basic	JJ	basic O TermTag
,	,	, , NUPOS
GM-CSF	NN	gm-csf O TermTag
,	,	, , NUPOS
IP-10	NN	IP-10 GENE TermTag
,	,	, , NUPOS
RANTES	NN	RANTES GENE TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
were	VBD	be O TermTag
eluted	VBN	elute O TermTag
from	IN	from O TermTag
used	VBN	use O TermTag
PMX-fibers	NNS	pmx-fiber O TermTag
.	.	. . NUPOS

Interestingly	RB	interesting O TermTag
,	,	, , NUPOS
improved	VBD	improve O TermTag
pulmonary	JJ	pulmonary O TermTag
oxygenation	NN	oxygenation O TermTag
after	IN	after O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
was	VBD	be O TermTag
correlated	VBN	correlate O TermTag
well	RB	well O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
quantities	NNS	quantity O TermTag
of	IN	of O TermTag
eluted	VBN	elute O TermTag
VEGF	NN	vegf GENE TermTag
.	.	. . NUPOS

These	DT	these O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
adsorption	NN	adsorption O TermTag
of	IN	of O TermTag
proinflammatory	JJ	proinflammatory O TermTag
,	,	, , NUPOS
profibrotic	JJ	profibrotic O TermTag
and	CC	and O TermTag
proangiogenic	JJ	proangiogenic O TermTag
cytokines	NNS	cytokine O TermTag
onto	IN	onto O TermTag
PMX-fibers	NNS	pmx-fiber O TermTag
is	VBZ	be O TermTag
one	CD	one O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
mechanisms	NNS	mechanism O TermTag
of	IN	of O TermTag
action	NN	action O TermTag
of	IN	of O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
in	IN	in O TermTag
AE-IPF	NN	AE-IPF O TermTag
.	.	. . NUPOS

Notably	RB	notable O TermTag
,	,	, , NUPOS
removal	NN	removal O TermTag
of	IN	of O TermTag
VEGF	NN	vegf GENE TermTag
by	IN	by O TermTag
PMX-DHP	NN	PMX-DHP O TermTag
may	MD	may O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
rapid	JJ	rapid O TermTag
improvement	NN	improvement O TermTag
in	IN	in O TermTag
oxygenation	NN	oxygenation O TermTag
by	IN	by O TermTag
suppressing	VBG	suppress O TermTag
vascular	JJ	vascular O TermTag
permeability	NN	permeability O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
.	.	. . NUPOS

