Increased	VBN	increase O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Immunohistochemical	JJ	immunohistochemical O TermTag
evaluation	NN	evaluation O TermTag
of	IN	of O TermTag
COX-2	NN	COX-2 GENE TermTag
was	VBD	be O TermTag
performed	VBN	perform O TermTag
to	TO	to O TermTag
find	VB	find O TermTag
PGE2	NN	PGE2 O TermTag
producing	VBG	produce O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Human	JJ	human O TermTag
bronchial	JJ	bronchial O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
HBEC	NNS	hbec O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
(	(	( ( NUPOS
LFB	NN	LFB O TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
used	VBN	use O TermTag
in	IN	in O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
experiments	NNS	experiment O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
Compared	VBN	compare O TermTag
to	TO	to O TermTag
control	VB	control O TermTag
,	,	, , NUPOS
PGE-MUM	NN	PGE-MUM O TermTag
levels	NNS	level O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
elevated	JJ	elevated O TermTag
in	IN	in O TermTag
CFIP	NNP	CFIP O TermTag
.	.	. . NUPOS

PGE-MUM	NN	PGE-MUM O TermTag
levels	NNS	level O TermTag
were	VBD	be O TermTag
positively	RB	positive O TermTag
correlated	VBN	correlate O TermTag
with	IN	with O TermTag
FS	NN	FS O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
inversely	RB	inverse O TermTag
correlated	VBD	correlate O TermTag
with	IN	with O TermTag
%	NN	% NN PennPOS
DLCO	NN	DLCO O TermTag
in	IN	in O TermTag
IP	NNP	IP O TermTag
(	(	( ( NUPOS
FS	NNP	FS O TermTag
1-3	CD	1-3 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

COX-2	NN	COX-2 GENE TermTag
was	VBD	be O TermTag
highly	RB	high O TermTag
expressed	VBN	express O TermTag
in	IN	in O TermTag
metaplastic	JJ	metaplastic O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
lower	JJR	low O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
EP2	NN	EP2 O TermTag
receptor	NN	receptor O TermTag
was	VBD	be O TermTag
demonstrated	VBN	demonstrate O TermTag
in	IN	in O TermTag
LFB	NN	LFB O TermTag
derived	VBN	derive O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

TGF-b	NN	TGF-b GENE TermTag
induced	VBD	induce O TermTag
COX-2	NN	COX-2 GENE TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
HBEC	NN	HBEC O TermTag
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
PGE-MUM	NN	PGE-MUM O TermTag
,	,	, , NUPOS
elevated	JJ	elevated O TermTag
in	IN	in O TermTag
CFIP	NNP	CFIP O TermTag
,	,	, , NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
promising	JJ	promising O TermTag
biomarker	NN	biomarker O TermTag
reflecting	VBG	reflect O TermTag
disease	NN	disease O TermTag
activity	NN	activity O TermTag
.	.	. . NUPOS

Metaplastic	JJ	metaplastic O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
can	MD	can O TermTag
be	VB	be O TermTag
a	DT	a dt NUPOS
source	NN	source O TermTag
of	IN	of O TermTag
elevated	JJ	elevated O TermTag
PGE-MUM	NN	PGE-MUM O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

