Establishment	NN	establishment O TermTag
(	(	( ( NUPOS
IL-4	NN	IL-4 GENE TermTag
,	,	, , NUPOS
IL-6	NN	IL-6 GENE TermTag
,	,	, , NUPOS
IL-10	NN	IL-10 GENE TermTag
,	,	, , NUPOS
IL-17A	NN	IL-17A GENE TermTag
,	,	, , NUPOS
MIG	NNP	MIG GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
BALF	NN	BALF O TermTag
supernatants	NNS	supernatant O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
were	VBD	be O TermTag
closely	RB	close O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
AE-IPF	NN	AE-IPF O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
intervention	NN	intervention O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
IL-17A	NN	IL-17A GENE TermTag
antibody	NN	antibody O TermTag
to	TO	to O TermTag
AE	NN	AE O TermTag
was	VBD	be O TermTag
explored	VBN	explore O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
By	IN	by O TermTag
week	NN	week O TermTag
4	CD	4 crd NUPOS
after	IN	after O TermTag
the	DT	the O TermTag
second	JJ	second O TermTag
BLM	NNP	Blm O TermTag
administration	NN	administration O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
mortality	NN	mortality O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
AE-IPF	NN	AE-IPF O TermTag
group	NN	group O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
greater	JJR	great O TermTag
(	(	( ( NUPOS
45	CD	45 O TermTag
%	NN	% NN PennPOS
,	,	, , NUPOS
9/20	CD	9/20 O TermTag
)	)	) ) NUPOS
than	IN	than O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
stable-IPF	JJ	stable-ipf O TermTag
group	NN	group O TermTag
(	(	( ( NUPOS
0/18	CD	0/18 O TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
=	JJ	= JJ PennPOS
.0017	CD	.0017 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
average	JJ	average O TermTag
body	NN	body O TermTag
weight	NN	weight O TermTag
in	IN	in O TermTag
AE-IPF	NN	AE-IPF O TermTag
group	NN	group O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
lower	JJR	low O TermTag
than	IN	than O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
stable	JJ	stable O TermTag
group	NN	group O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
.0001	CD	.0001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in O TermTag
AE-IPF	NN	AE-IPF O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
inflammation	NN	inflammation O TermTag
and	CC	and O TermTag
fibrosis	NN	fibrosis O TermTag
were	VBD	be O TermTag
severer	JJR	severe O TermTag
by	IN	by O TermTag
histopathology	NN	histopathology O TermTag
analysis	NN	analysis O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
BALF	NN	BALF O TermTag
,	,	, , NUPOS
IL-17A	NN	IL-17A GENE TermTag
,	,	, , NUPOS
MIG	NN	MIG GENE TermTag
(	(	( ( NUPOS
CXCL-9	NN	CXCL-9 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
IL-6	NN	IL-6 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
AE	NN	AE O TermTag
group	NN	group O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
percentages	NNS	percentage O TermTag
of	IN	of O TermTag
neutrophils	NNS	neutrophil O TermTag
and	CC	and O TermTag
Th17	NN	Th17 O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
BALF	NN	BALF O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
in	IN	in O TermTag
AE	NNP	AE O TermTag
group	NN	group O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
.01	CD	.01 O TermTag
;	:	; : NUPOS
P	NN	p NN PennPOS
=	JJ	= JJ PennPOS
.0281	CD	.0281 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

IL-17A	JJ	il-17a GENE TermTag
antibody	NN	antibody O TermTag
could	MD	can O TermTag
attenuated	VBD	attenuate O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
inflammation	NN	inflammation O TermTag
induced	VBN	induce O TermTag
by	IN	by O TermTag
twice	RB	twice O TermTag
BLM	NNP	Blm O TermTag
challenges	NNS	challenge O TermTag
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
A	DT	a dt NUPOS
mouse	NN	mouse O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
AE-IPF	NN	AE-IPF O TermTag
can	MD	can O TermTag
be	VB	be O TermTag
established	VBN	establish O TermTag
using	VBG	use O TermTag
two	CD	two O TermTag
administrations	NNS	administration O TermTag
of	IN	of O TermTag
BLM	NNP	Blm O TermTag
;	:	; : NUPOS
Th17	NN	Th17 O TermTag
cells	NNS	cell O TermTag
may	MD	may O TermTag
play	VB	play O TermTag
a	DT	a dt NUPOS
key	JJ	key O TermTag
role	NN	role O TermTag
during	IN	during O TermTag
the	DT	the O TermTag
pathological	JJ	pathological O TermTag
process	NN	process O TermTag
of	IN	of O TermTag
AE-IPF	NN	AE-IPF O TermTag
.	.	. . NUPOS

