Contribution	NN	contribution O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
C3a	NN	C3a GENE TermTag
and	CC	and O TermTag
C5a	NN	C5a GENE TermTag
induces	VBZ	induce O TermTag
mesenchymal	JJ	mesenchymal O TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
matrix	NN	matrix O TermTag
synthesis	NN	synthesis O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
their	PRP$	their O TermTag
respective	JJ	respective O TermTag
receptors	NNS	receptor O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
C3aR	NN	C3aR GENE TermTag
and	CC	and O TermTag
C5aR	NN	C5aR GENE TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
using	VBG	use O TermTag
bleomycin-injured	JJ	bleomycin-injured O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
fibrotic	JJ	fibrotic O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
elevated	JJ	elevated O TermTag
local	JJ	local O TermTag
C3a	NN	C3a GENE TermTag
and	CC	and O TermTag
C5a	NN	C5a GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
their	PRP$	their O TermTag
receptors	NNS	receptor O TermTag
via	IN	via O TermTag
pharmacologic	JJ	pharmacologic O TermTag
and	CC	and O TermTag
RNA	NN	rna O TermTag
interference	NN	interference O TermTag
interventions	NNS	intervention O TermTag
.	.	. . NUPOS

Histopathologic	JJ	histopathologic O TermTag
examination	NN	examination O TermTag
revealed	VBD	reveal O TermTag
an	DT	a O TermTag
arrest	NN	arrest O TermTag
in	IN	in O TermTag
disease	NN	disease O TermTag
progression	NN	progression O TermTag
and	CC	and O TermTag
attenuated	VBD	attenuate O TermTag
lung	NN	lung O TermTag
collagen	NN	collagen O TermTag
deposition	NN	deposition O TermTag
(	(	( ( NUPOS
Masson	NNP	Masson O TermTag
's	POS	's O TermTag
trichrome	NN	trichrome O TermTag
,	,	, , NUPOS
hydroxyproline	NN	hydroxyproline O TermTag
,	,	, , NUPOS
collagen	NN	collagen O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
a	DT	a dt NUPOS
1	CD	1 crd NUPOS
chain	NN	chain O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
collagen	NN	collagen O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
a	DT	a dt NUPOS
2	CD	2 crd NUPOS
chain	NN	chain O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Pharmacologic	JJ	pharmacologic O TermTag
or	CC	or O TermTag
RNA	NN	rna O TermTag
interference-specific	JJ	interference-specific O TermTag
interventions	NNS	intervention O TermTag
suppressed	VBD	suppress O TermTag
complement	NN	complement O TermTag
activation	NN	activation O TermTag
(	(	( ( NUPOS
C3a	NN	C3a GENE TermTag
and	CC	and O TermTag
C5a	NN	C5a GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
soluble	JJ	soluble O TermTag
terminal	JJ	terminal O TermTag
complement	NN	complement O TermTag
complex	NN	complex O TermTag
formation	NN	formation O TermTag
(	(	( ( NUPOS
C5b-9	NN	C5b-9 O TermTag
)	)	) ) NUPOS
locally	RB	local O TermTag
and	CC	and O TermTag
active	JJ	active O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
systemically	RB	systemic O TermTag
.	.	. . NUPOS

C3aR/C5aR	NN	C3aR/C5aR O TermTag
antagonists	NNS	antagonist O TermTag
suppressed	VBD	suppress O TermTag
local	JJ	local O TermTag
mRNA	NN	mRNA O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
tgfb2	NN	tgfb2 GENE TermTag
,	,	, , NUPOS
tgfbr1/2	NN	tgfbr1/2 GENE TermTag
,	,	, , NUPOS
ltbp1/2	NN	ltbp1/2 GENE TermTag
,	,	, , NUPOS
serpine1	NN	serpine1 GENE TermTag
,	,	, , NUPOS
tsp1	NN	tsp1 GENE TermTag
,	,	, , NUPOS
bmp1/4	NN	bmp1/4 O TermTag
,	,	, , NUPOS
pdgfbb	NN	pdgfbb O TermTag
,	,	, , NUPOS
igf1	NN	igf1 GENE TermTag
,	,	, , NUPOS
but	CC	but O TermTag
restored	VBD	restore O TermTag
the	DT	the O TermTag
proteoglycan	NN	proteoglycan O TermTag
,	,	, , NUPOS
dcn	NN	Dcn O TermTag
Clinically	RB	clinical O TermTag
,	,	, , NUPOS
compared	VBN	compare O TermTag
with	IN	with O TermTag
pathologically	RB	pathological O TermTag
normal	JJ	normal O TermTag
human	JJ	human O TermTag
subjects	NNS	subject O TermTag
,	,	, , NUPOS
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
presented	VBD	present O TermTag
local	JJ	local O TermTag
induction	NN	induction O TermTag
of	IN	of O TermTag
C5aR	NN	C5aR GENE TermTag
,	,	, , NUPOS
local	JJ	local O TermTag
and	CC	and O TermTag
systemic	JJ	systemic O TermTag
induction	NN	induction O TermTag
of	IN	of O TermTag
soluble	JJ	soluble O TermTag
C5b-9	NN	C5b-9 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
amplified	VBD	amplify O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
C3aR/C5aR	NN	C3aR/C5aR O TermTag
in	IN	in O TermTag
lesions	NNS	lesion O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
blockade	NN	blockade O TermTag
of	IN	of O TermTag
C3aR	NN	C3aR GENE TermTag
and	CC	and O TermTag
C5aR	NN	C5aR GENE TermTag
arrested	VBD	arrest O TermTag
the	DT	the O TermTag
progression	NN	progression O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
attenuating	VBG	attenuate O TermTag
local	JJ	local O TermTag
complement	NN	complement O TermTag
activation	NN	activation O TermTag
and	CC	and O TermTag
TGF-b/bone	NN	TGF-b/bone O TermTag
morphologic	JJ	morphologic O TermTag
protein	NN	protein O TermTag
signaling	NN	signaling O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
restoring	VBG	restore O TermTag
decorin	NN	decorin O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
suggests	VBZ	suggest O TermTag
a	DT	a dt NUPOS
promising	JJ	promising O TermTag
therapeutic	JJ	therapeutic O TermTag
strategy	NN	strategy O TermTag
for	IN	for O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF.-Gu	NN	IPF.-Gu O TermTag
,	,	, , NUPOS
H.	NNP	H. O TermTag
,	,	, , NUPOS
Fisher	NNP	fisher O TermTag
,	,	, , NUPOS
A.	NNP	A. O TermTag
J.	NNP	J. O TermTag
,	,	, , NUPOS
Mickler	NNP	Mickler O TermTag
,	,	, , NUPOS
E.	NNP	E. O TermTag
A.	NNP	A. O TermTag
,	,	, , NUPOS
Duerson	NNP	Duerson O TermTag
,	,	, , NUPOS
F.	NNP	F. O TermTag
,	,	, , NUPOS
III	NNP	iii O TermTag
,	,	, , NUPOS
Cummings	NNP	Cummings O TermTag
,	,	, , NUPOS
O.	NNP	O. O TermTag
W.	NNP	W. O TermTag
,	,	, , NUPOS
Peters-Golden	NNP	Peters-Golden O TermTag
,	,	, , NUPOS
M.	NNP	m. O TermTag
,	,	, , NUPOS
Twigg	NNP	Twigg O TermTag
,	,	, , NUPOS
H.	NNP	H. O TermTag
L.	NNP	L. O TermTag
,	,	, , NUPOS
III	NNP	iii O TermTag
,	,	, , NUPOS
Woodruff	NNP	woodruff O TermTag
,	,	, , NUPOS
T.	NNP	T. O TermTag
M.	NNP	m. O TermTag
,	,	, , NUPOS
Wilkes	NNP	Wilkes O TermTag
,	,	, , NUPOS
D.	NNP	D. O TermTag
S.	NNP	S. O TermTag
,	,	, , NUPOS
Vittal	NNP	Vittal O TermTag
,	,	, , NUPOS
R.	NNP	R. O TermTag
Contribution	NN	contribution O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
anaphylatoxin	NN	anaphylatoxin O TermTag
receptors	NNS	receptor O TermTag
,	,	, , NUPOS
C3aR	NN	C3aR GENE TermTag
and	CC	and O TermTag
C5aR	NN	C5aR GENE TermTag
,	,	, , NUPOS
to	TO	to O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

