Sirtuin	NNP	Sirtuin O TermTag
mediators	NNS	mediator O TermTag
of	IN	of O TermTag
aging	NN	aging O TermTag
;	:	; : NUPOS
however	RB	however O TermTag
,	,	, , NUPOS
limited	JJ	limited O TermTag
data	NNS	datum O TermTag
exist	VBP	exist O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
contribution	NN	contribution O TermTag
of	IN	of O TermTag
sirtuins	NNS	sirtuin O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
assessed	VBD	assess O TermTag
the	DT	the O TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
all	DT	all O TermTag
seven	CD	seven O TermTag
known	JJ	known O TermTag
sirtuins	NNS	sirtuin O TermTag
in	IN	in O TermTag
primary	JJ	primary O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
systemic	JJ	systemic O TermTag
sclerosis-associated	JJ	sclerosis-associated O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
(	(	( ( NUPOS
SSc-ILD	NN	SSc-ILD O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
comparison	NN	comparison O TermTag
with	IN	with O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
healthy	JJ	healthy O TermTag
controls	NNS	control O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
unbiased	JJ	unbiased O TermTag
tests	NNS	test O TermTag
revealed	VBD	reveal O TermTag
a	DT	a dt NUPOS
tendency	NN	tendency O TermTag
for	IN	for O TermTag
all	DT	all O TermTag
sirtuins	NNS	sirtuin O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
expressed	VBN	express O TermTag
at	IN	at O TermTag
lower	JJR	low O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
the	DT	the O TermTag
greatest	JJS	great O TermTag
decrease	NN	decrease O TermTag
was	VBD	be O TermTag
observed	VBN	observe O TermTag
with	IN	with O TermTag
SIRT7	NN	SIRT7 O TermTag
.	.	. . NUPOS

Similarly	RB	similar O TermTag
,	,	, , NUPOS
SIRT7	NN	SIRT7 O TermTag
was	VBD	be O TermTag
decreased	VBN	decrease O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
of	IN	of O TermTag
bleomycin-challenged	JJ	bleomycin-challenged O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
SIRT7	NN	SIRT7 O TermTag
with	IN	with O TermTag
siRNA	NN	siRNA O TermTag
in	IN	in O TermTag
cultured	VBN	culture O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
an	DT	a O TermTag
increase	NN	increase O TermTag
in	IN	in O TermTag
collagen	NN	collagen O TermTag
and	CC	and O TermTag
a-smooth-muscle-actin	NN	a-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
a-SMA	NN	a-SMA GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Reciprocally	RB	reciprocal O TermTag
,	,	, , NUPOS
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
SIRT7	NN	SIRT7 O TermTag
resulted	VBD	result O TermTag
in	IN	in O TermTag
lower	JJR	low O TermTag
basal	JJ	basal O TermTag
and	CC	and O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
COL1A1	NN	COL1A1 GENE TermTag
,	,	, , NUPOS
COL1A2	NN	COL1A2 GENE TermTag
,	,	, , NUPOS
COL3A1	NN	COL3A1 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
a-SMA	NN	a-SMA GENE TermTag
mRNAs	NNS	mrna O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
collagen	NN	collagen O TermTag
and	CC	and O TermTag
a-SMA	NN	a-SMA GENE TermTag
proteins	NNS	protein O TermTag
.	.	. . NUPOS

Induced	VBN	induce O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
SIRT7	NN	SIRT7 O TermTag
had	VBD	have O TermTag
no	DT	no O TermTag
effect	NN	effect O TermTag
on	IN	on O TermTag
endogenous	JJ	endogenous O TermTag
TGF-b	NN	TGF-b GENE TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
or	CC	or O TermTag
latent	JJ	latent O TermTag
TGF-b	NN	TGF-b GENE TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
SIRT7	NN	SIRT7 O TermTag
reduced	VBD	reduce O TermTag
the	DT	the O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
Smad3	NN	Smad3 GENE TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
conclusion	NN	conclusion O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
decline	NN	decline O TermTag
in	IN	in O TermTag
SIRT7	NN	SIRT7 O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
has	VBZ	have O TermTag
a	DT	a dt NUPOS
profibrotic	JJ	profibrotic O TermTag
effect	NN	effect O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
is	VBZ	be O TermTag
mediated	VBN	mediate O TermTag
by	IN	by O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
Smad3	NN	Smad3 GENE TermTag
levels	NNS	level O TermTag
.	.	. . NUPOS

