[	(	[ ( NUPOS
0.28	CD	0.28 O TermTag
)	)	) ) NUPOS
or	CC	or O TermTag
that	IN	that O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
(	(	( ( NUPOS
0.91	CD	0.91 O TermTag
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-	:	- : NUPOS
0.16	CD	0.16 O TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
,	,	, , NUPOS
UIP	NNP	UIP O TermTag
versus	CC	versus O TermTag
NSIP	NNP	NSIP O TermTag
or	CC	or O TermTag
control	NN	control O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
whereas	IN	whereas O TermTag
the	DT	the O TermTag
ratio	NN	ratio O TermTag
of	IN	of O TermTag
IL-13	NN	IL-13 GENE TermTag
to	TO	to O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
in	IN	in O TermTag
NSIP	NN	NSIP O TermTag
was	VBD	be O TermTag
similar	JJ	similar O TermTag
to	TO	to O TermTag
that	DT	that O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
normal	JJ	normal O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
only	RB	only O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
expressed	VBD	express O TermTag
these	DT	these O TermTag
cytokines	NNS	cytokine O TermTag
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
different	JJ	different O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL-8	NN	IL-8 GENE TermTag
and	CC	and O TermTag
b-FGF	NN	b-FGF GENE TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
and	CC	and O TermTag
NSIP	NNP	NSIP O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
balance	NN	balance O TermTag
of	IN	of O TermTag
IL-13	NN	IL-13 GENE TermTag
/	:	/ : NUPOS
IFN-gamma	NN	IFN-gamma GENE TermTag
may	MD	may O TermTag
be	VB	be O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
different	JJ	different O TermTag
pathogenesis	NN	pathogenesis O TermTag
in	IN	in O TermTag
these	DT	these O TermTag
two	CD	two O TermTag
diseases	NNS	disease O TermTag
.	.	. . NUPOS

