Comparative	JJ	comparative O TermTag
the	DT	the O TermTag
present	JJ	present O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
investigate	VB	investigate O TermTag
TGF-b	NN	TGF-b GENE TermTag
signalling	NN	signalling O TermTag
activity	NN	activity O TermTag
and	CC	and O TermTag
its	PRP$	its O TermTag
known	JJ	known O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
(	(	( ( NUPOS
ECM	NN	ecm O TermTag
)	)	) ) NUPOS
regulatory	JJ	regulatory O TermTag
proteins	NNS	protein O TermTag
,	,	, , NUPOS
latent	JJ	latent O TermTag
TGF-b	NN	TGF-b GENE TermTag
binding	NN	binding O TermTag
protein	NN	protein O TermTag
(	(	( ( NUPOS
LTBP	NN	LTBP O TermTag
)	)	) ) NUPOS
-1	CD	-1 O TermTag
and	CC	and O TermTag
fibrillin-2	NN	fibrillin-2 O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
of	IN	of O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
healthy	JJ	healthy O TermTag
WHWTs	NNS	whwt O TermTag
and	CC	and O TermTag
to	TO	to O TermTag
compare	VB	compare O TermTag
these	DT	these O TermTag
with	IN	with O TermTag
findings	NNS	finding O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
UIP	NNP	UIP O TermTag
and	CC	and O TermTag
NSIP	NNP	NSIP O TermTag
.	.	. . NUPOS

P-Smad2	NN	P-Smad2 O TermTag
immunoreactivity	NN	immunoreactivity O TermTag
,	,	, , NUPOS
indicating	VBG	indicate O TermTag
TGF-b	NN	TGF-b GENE TermTag
signalling	NN	signalling O TermTag
activity	NN	activity O TermTag
,	,	, , NUPOS
was	VBD	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
relative	JJ	relative O TermTag
to	TO	to O TermTag
healthy	JJ	healthy O TermTag
WHWTs	NNS	whwt O TermTag
and	CC	and O TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
localized	JJ	localized O TermTag
predominantly	RB	predominant O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
altered	JJ	altered O TermTag
alveolar	JJ	alveolar O TermTag
epithelium	NN	epithelium O TermTag
,	,	, , NUPOS
as	IN	as O TermTag
seen	VBN	see O TermTag
in	IN	in O TermTag
both	CC	both O TermTag
UIP	NNP	UIP O TermTag
and	CC	and O TermTag
NSIP	NNP	NSIP O TermTag
.	.	. . NUPOS

Increased	VBN	increase O TermTag
peribronchial	JJ	peribronchial O TermTag
and	CC	and O TermTag
perivascular	JJ	perivascular O TermTag
LTBP-1	NN	LTBP-1 O TermTag
immunoreactivity	NN	immunoreactivity O TermTag
was	VBD	be O TermTag
seen	VBN	see O TermTag
in	IN	in O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
,	,	, , NUPOS
possibly	RB	possible O TermTag
indicating	VBG	indicate O TermTag
the	DT	the O TermTag
importance	NN	importance O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
small	JJ	small O TermTag
airways	NNS	airway O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
canine	JJ	canine O TermTag
disease	NN	disease O TermTag
.	.	. . NUPOS

Alveolar	JJ	alveolar O TermTag
LTPB-1	NN	LTPB-1 O TermTag
immunolabelling	NN	immunolabelling O TermTag
in	IN	in O TermTag
diseased	JJ	diseased O TermTag
WHWTs	NNS	whwt O TermTag
was	VBD	be O TermTag
seen	VBN	see O TermTag
mainly	RB	main O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
altered	JJ	altered O TermTag
alveolar	JJ	alveolar O TermTag
epithelium	NN	epithelium O TermTag
,	,	, , NUPOS
resembling	VBG	resemble O TermTag
more	RBR	much O TermTag
closely	RB	close O TermTag
the	DT	the O TermTag
labelling	NN	labelling O TermTag
in	IN	in O TermTag
UIP	NNP	UIP O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
NSIP	NNP	NSIP O TermTag
.	.	. . NUPOS

Alveolar	JJ	alveolar O TermTag
interstitial	JJ	interstitial O TermTag
fibrillin-2	NN	fibrillin-2 O TermTag
immunoreactivity	NN	immunoreactivity O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
is	VBZ	be O TermTag
up-regulated	VBN	upregulate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
people	NNS	people O TermTag
with	IN	with O TermTag
UIP	NNP	UIP O TermTag
,	,	, , NUPOS
was	VBD	be O TermTag
also	RB	also O TermTag
detected	VBN	detect O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
people	NNS	people O TermTag
with	IN	with O TermTag
NSIP	NN	NSIP O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
no	DT	no O TermTag
significant	JJ	significant O TermTag
difference	NN	difference O TermTag
was	VBD	be O TermTag
seen	VBN	see O TermTag
between	IN	between O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
control	NN	control O TermTag
WHWTs	NNS	whwt O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
increased	VBN	increase O TermTag
TGF-b	NN	TGF-b GENE TermTag
signalling	NN	signalling O TermTag
and	CC	and O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
ECM	NN	ecm O TermTag
regulatory	JJ	regulatory O TermTag
proteins	NNS	protein O TermTag
LTBP-1	NN	LTBP-1 O TermTag
and	CC	and O TermTag
fibrillin-2	NN	fibrillin-2 O TermTag
are	VBP	be O TermTag
part	NN	part O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
molecular	JJ	molecular O TermTag
pathophysiology	NN	pathophysiology O TermTag
of	IN	of O TermTag
canine	JJ	canine O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

