Angiotensin-TGF-beta-1	NN	Angiotensin-TGF-beta-1 O TermTag
Incubation	NN	incubation O TermTag
of	IN	of O TermTag
HIPF	NN	HIPF O TermTag
fibrotic	JJ	fibrotic O TermTag
isolates	NNS	isolate O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
ANGII	NN	ANGII GENE TermTag
receptor	NN	receptor O TermTag
antagonist	NN	antagonist O TermTag
saralasin	NN	saralasin O TermTag
reduced	VBD	reduce O TermTag
both	CC	both O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
active	JJ	active O TermTag
protein	NN	protein O TermTag
,	,	, , NUPOS
suggesting	VBG	suggest O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
constitutive	JJ	constitutive O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
AGT	NN	AGT O TermTag
drives	VBZ	drive O TermTag
the	DT	the O TermTag
higher	JJR	high O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
by	IN	by O TermTag
the	DT	the O TermTag
HIPF	NN	HIPF O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

Consistent	JJ	consistent O TermTag
with	IN	with O TermTag
this	DT	this O TermTag
premise	NN	premise O TermTag
,	,	, , NUPOS
treatment	NN	treatment O TermTag
of	IN	of O TermTag
either	CC	either O TermTag
the	DT	the O TermTag
primary	JJ	primary O TermTag
NLFs	NNS	nlf O TermTag
or	CC	or O TermTag
the	DT	the O TermTag
WI38	NN	WI38 O TermTag
cell	NN	cell O TermTag
line	NN	line O TermTag
with	IN	with O TermTag
10	CD	10 O TermTag
(	(	( ( NUPOS
-7	CD	-7 O TermTag
)	)	) ) NUPOS
M	NN	m NN PennPOS
ANGII	NN	ANGII GENE TermTag
increased	VBD	increase O TermTag
both	CC	both O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
soluble	JJ	soluble O TermTag
active	JJ	active O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
protein	NN	protein O TermTag
.	.	. . NUPOS

Moreover	RB	moreover O TermTag
,	,	, , NUPOS
induction	NN	induction O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
myofibroblast	NN	myofibroblast O TermTag
transition	NN	transition O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
IMR90	NN	IMR90 O TermTag
cell	NN	cell O TermTag
line	NN	line O TermTag
with	IN	with O TermTag
2	CD	2 crd NUPOS
ng/ml	NN	ng/ml O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
increased	VBD	increase O TermTag
steady	JJ	steady O TermTag
state	NN	state O TermTag
AGT	NN	AGT O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
by	IN	by O TermTag
realtime	NN	realtime O TermTag
PCR	NN	pcr O TermTag
(	(	( ( NUPOS
8-fold	JJ	8-fold O TermTag
,	,	, , NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
induced	VBN	induce O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
an	DT	a O TermTag
AGT	NN	AGT O TermTag
promoter-luciferase	NN	promoter-luciferase O TermTag
reporter	NN	reporter O TermTag
construct	NN	construct O TermTag
by	IN	by O TermTag
over	IN	over O TermTag
10-fold	JJ	10-fold O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Antisense	JJ	antisense O TermTag
oligonucleotides	NNS	oligonucleotide O TermTag
against	IN	against O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
mRNA	NN	mRNA O TermTag
or	CC	or O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
neutralizing	NN	neutralizing O TermTag
antibodies	NNS	antibody O TermTag
,	,	, , NUPOS
when	WRB	when O TermTag
applied	VBN	apply O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
fibrotic	JJ	fibrotic O TermTag
HIPF	NN	HIPF O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
serum-free	JJ	serum-free O TermTag
medium	NN	medium O TermTag
,	,	, , NUPOS
significantly	RB	significant O TermTag
reduced	VBD	reduce O TermTag
AGT	NN	AGT O TermTag
expression	NN	expression O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
lung	NN	lung O TermTag
sections	NNS	section O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
patient	NN	patient O TermTag
biopsies	NNS	biopsy O TermTag
,	,	, , NUPOS
immunoreactive	JJ	immunoreactive O TermTag
AGT/ANGI	NN	AGT/ANGI O TermTag
proteins	NNS	protein O TermTag
were	VBD	be O TermTag
detected	VBN	detect O TermTag
in	IN	in O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
,	,	, , NUPOS
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
presumptive	JJ	presumptive O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
.	.	. . NUPOS

Together	RB	together O TermTag
,	,	, , NUPOS
these	DT	these O TermTag
data	NNS	datum O TermTag
support	VBP	support O TermTag
the	DT	the O TermTag
existence	NN	existence O TermTag
of	IN	of O TermTag
an	DT	a O TermTag
angiotensin/TGF-beta	NN	angiotensin/TGF-beta O TermTag
1	CD	1 crd NUPOS
``	``	`` O TermTag
autocrine	JJ	autocrine O TermTag
loop	NN	loop O TermTag
''	''	'' O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
and	CC	and O TermTag
also	RB	also O TermTag
suggest	VBP	suggest O TermTag
ANG	NN	ang O TermTag
peptide	NN	peptide O TermTag
expression	NN	expression O TermTag
by	IN	by O TermTag
epithelia	NN	epithelium O TermTag
and	CC	and O TermTag
macrophages	NNS	macrophage O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
IPF	NN	IPF O TermTag
lung	NN	lung O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
findings	NNS	finding O TermTag
may	MD	may O TermTag
explain	VB	explain O TermTag
the	DT	the O TermTag
ability	NN	ability O TermTag
of	IN	of O TermTag
ACE	NN	ace GENE TermTag
inhibitors	NNS	inhibitor O TermTag
and	CC	and O TermTag
ANG	NN	ang O TermTag
receptor	NN	receptor O TermTag
antagonists	NNS	antagonist O TermTag
to	TO	to O TermTag
block	VB	block O TermTag
experimental	JJ	experimental O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
animals	NNS	animal O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
support	VBP	support O TermTag
the	DT	the O TermTag
need	NN	need O TermTag
for	IN	for O TermTag
evaluation	NN	evaluation O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
agents	NNS	agent O TermTag
for	IN	for O TermTag
potential	JJ	potential O TermTag
treatment	NN	treatment O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

This	DT	this O TermTag
manuscript	NN	manuscript O TermTag
discusses	VBZ	discuss O TermTag
the	DT	the O TermTag
data	NNS	datum O TermTag
described	VBN	describe O TermTag
above	IN	above O TermTag
and	CC	and O TermTag
their	PRP$	their O TermTag
implications	NNS	implication O TermTag
regarding	VBG	regard O TermTag
IPF	NN	IPF O TermTag
pathogenesis	NN	pathogenesis O TermTag
.	.	. . NUPOS

