Elevated	JJ	elevated O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

Besides	IN	besides O TermTag
,	,	, , NUPOS
serum	NN	serum O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
,	,	, , NUPOS
LC	NN	lc O TermTag
and	CC	and O TermTag
CC	NN	cc O TermTag
were	VBD	be O TermTag
9.60	CD	9.60 O TermTag
1.41	CD	1.41 O TermTag
ng/mL	NN	ng/mL O TermTag
,	,	, , NUPOS
9.82	CD	9.82 O TermTag
0.72	CD	0.72 O TermTag
ng/mL	NN	ng/mL O TermTag
and	CC	and O TermTag
5.41	CD	5.41 O TermTag
1.07	CD	1.07 O TermTag
ng/mL	NN	ng/mL O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
serum	NN	serum O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
LC	NN	lc O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
those	DT	those O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
CC	NN	cc O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
concentrations	NNS	concentration O TermTag
of	IN	of O TermTag
sL1-CAM	NN	sL1-CAM O TermTag
both	CC	both O TermTag
in	IN	in O TermTag
BALF	NN	BALF O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
serum	NN	serum O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
are	VBP	be O TermTag
markedly	RB	marked O TermTag
increased	VBN	increase O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
controls	NNS	control O TermTag
.	.	. . NUPOS

This	DT	this O TermTag
indicates	VBZ	indicate O TermTag
that	IN	that O TermTag
L1-CAM	NN	L1-CAM O TermTag
might	MD	may O TermTag
be	VB	be O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
that	DT	that O TermTag
of	IN	of O TermTag
LC	NN	lc O TermTag
.	.	. . NUPOS

