Overproduction	NN	overproduction O TermTag
production	NN	production O TermTag
.	.	. . NUPOS

IFN-gamma	NN	IFN-gamma GENE TermTag
suppressed	VBD	suppress O TermTag
spontaneous	JJ	spontaneous O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
even	RB	even O TermTag
in	IN	in O TermTag
SOCS1-deficient	JJ	socs1-deficient O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
indicating	VBG	indicate O TermTag
that	IN	that O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
inhibition	NN	inhibition O TermTag
is	VBZ	be O TermTag
SOCS1-independent	JJ	socs1-independent O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
contrast	NN	contrast O TermTag
,	,	, , NUPOS
IFN-gamma	NN	IFN-gamma GENE TermTag
suppressed	VBD	suppress O TermTag
the	DT	the O TermTag
increase	NN	increase O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
induced	VBN	induce O TermTag
by	IN	by O TermTag
IL-4	NN	IL-4 GENE TermTag
in	IN	in O TermTag
wild	JJ	wild O TermTag
type	NN	type O TermTag
fibroblasts	NNS	fibroblast O TermTag
but	CC	but O TermTag
not	RB	not O TermTag
SOCS1-deficient	JJ	socs1-deficient O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
suggesting	VBG	suggest O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
acted	VBD	act O TermTag
exclusively	RB	exclusive O TermTag
via	IN	via O TermTag
SOCS1	NN	SOCS1 GENE TermTag
in	IN	in O TermTag
this	DT	this O TermTag
case	NN	case O TermTag
.	.	. . NUPOS

Following	VBG	follow O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
stimulation	NN	stimulation O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
amount	NN	amount O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
mRNA	NN	mRNA O TermTag
expressed	VBN	express O TermTag
by	IN	by O TermTag
IPF	NN	IPF O TermTag
fibroblasts	NNS	fibroblast O TermTag
was	VBD	be O TermTag
comparable	JJ	comparable O TermTag
to	TO	to O TermTag
that	DT	that O TermTag
of	IN	of O TermTag
normal	JJ	normal O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Thus	RB	thus O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
extent	NN	extent O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
increase	NN	increase O TermTag
after	IN	after O TermTag
stimulation	NN	stimulation O TermTag
by	IN	by O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
extent	NN	extent O TermTag
to	TO	to O TermTag
which	WDT	which O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
inhibited	VBD	inhibit O TermTag
collagen	NN	collagen O TermTag
production	NN	production O TermTag
was	VBD	be O TermTag
also	RB	also O TermTag
larger	JJR	large O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
fibroblasts	NNS	fibroblast O TermTag
than	IN	than O TermTag
in	IN	in O TermTag
normal	JJ	normal O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
exaggerated	JJ	exaggerated O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
collagen	NN	collagen O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
is	VBZ	be O TermTag
causally	RB	causal O TermTag
related	JJ	related O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
diminished	VBN	diminish O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
IPF	NN	IPF O TermTag
fibroblasts	NNS	fibroblast O TermTag
are	VBP	be O TermTag
more	RBR	much O TermTag
susceptible	JJ	susceptible O TermTag
to	TO	to O TermTag
IFN-gamma	NN	IFN-gamma GENE TermTag
because	IN	because O TermTag
of	IN	of O TermTag
decreased	VBN	decrease O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SOCS1	NN	SOCS1 GENE TermTag
.	.	. . NUPOS

